,call_type,received_timestamp,disptach_timestamp,dispatch_time,coordinates
2699,Structure Fire,0 days 23:17:42.000000000,0 days 23:18:55.000000000,0 days 00:01:13.000000000,37.76505134 -122.419669
2700,Medical Incident,0 days 15:40:36.000000000,0 days 15:40:57.000000000,0 days 00:00:21.000000000,37.80531094 -122.4126984
2701,Medical Incident,0 days 11:10:32.000000000,0 days 11:11:43.000000000,0 days 00:01:11.000000000,37.77247753 -122.3895185
2702,Train / Rail Incident,0 days 04:53:54.000000000,0 days 05:15:06.000000000,0 days 00:21:12.000000000,37.80816798 -122.4166347
2703,Medical Incident,0 days 15:40:29.000000000,0 days 15:42:41.000000000,0 days 00:02:12.000000000,37.79267912 -122.3968535
2704,Medical Incident,0 days 10:13:20.000000000,0 days 10:15:33.000000000,0 days 00:02:13.000000000,37.79230698 -122.4108438
2705,Medical Incident,0 days 12:29:02.000000000,0 days 12:30:46.000000000,0 days 00:01:44.000000000,37.75430859 -122.424144
2706,Structure Fire,0 days 21:04:50.000000000,0 days 21:07:29.000000000,0 days 00:02:39.000000000,37.73238073 -122.378268
2707,Medical Incident,0 days 19:48:14.000000000,0 days 19:49:13.000000000,0 days 00:00:59.000000000,37.78640961 -122.4080362
2708,Vehicle Fire,0 days 21:45:56.000000000,0 days 21:46:03.000000000,0 days 00:00:07.000000000,37.77912854 -122.4080301
2709,Alarms,0 days 23:13:02.000000000,0 days 23:14:36.000000000,0 days 00:01:34.000000000,37.71839561 -122.4486052
2710,Medical Incident,0 days 02:01:34.000000000,0 days 02:03:16.000000000,0 days 00:01:42.000000000,37.79883609 -122.4062732
2711,Medical Incident,0 days 19:22:41.000000000,0 days 19:24:33.000000000,0 days 00:01:52.000000000,37.77128553 -122.4132043
2712,Medical Incident,0 days 22:16:32.000000000,0 days 22:19:06.000000000,0 days 00:02:34.000000000,37.7586966 -122.3970571
2713,Structure Fire,0 days 12:03:12.000000000,0 days 12:05:38.000000000,0 days 00:02:26.000000000,37.78719998 -122.4090394
2714,Medical Incident,0 days 10:18:35.000000000,0 days 10:19:53.000000000,0 days 00:01:18.000000000,37.78486624 -122.4127821
2715,Outside Fire,0 days 05:30:51.000000000,0 days 05:33:08.000000000,0 days 00:02:17.000000000,37.78791853 -122.4042776
2716,Alarms,0 days 10:47:22.000000000,0 days 10:49:08.000000000,0 days 00:01:46.000000000,37.79305 -122.4228712
2717,Traffic Collision,0 days 20:43:36.000000000,0 days 20:46:10.000000000,0 days 00:02:34.000000000,37.75517394 -122.4766224
2718,Medical Incident,0 days 00:08:26.000000000,0 days 00:09:35.000000000,0 days 00:01:09.000000000,37.73971001 -122.4119916
2719,Medical Incident,0 days 10:53:46.000000000,0 days 10:55:58.000000000,0 days 00:02:12.000000000,37.74957409 -122.476228
2720,Medical Incident,0 days 00:41:30.000000000,0 days 00:45:35.000000000,0 days 00:04:05.000000000,37.78149633 -122.4750905
2721,Medical Incident,0 days 22:02:26.000000000,0 days 22:03:33.000000000,0 days 00:01:07.000000000,37.79797053 -122.4365131
2722,Medical Incident,0 days 21:09:45.000000000,0 days 21:14:45.000000000,0 days 00:05:00.000000000,37.79318061 -122.4081471
2723,Medical Incident,0 days 05:06:09.000000000,0 days 05:11:49.000000000,0 days 00:05:40.000000000,37.79413509 -122.3964199
2724,Alarms,0 days 08:15:44.000000000,0 days 08:17:52.000000000,0 days 00:02:08.000000000,37.7824485 -122.4163274
2725,Medical Incident,0 days 21:47:48.000000000,0 days 21:51:31.000000000,0 days 00:03:43.000000000,37.71650618 -122.3904178
2726,Medical Incident,0 days 21:13:32.000000000,0 days 21:14:06.000000000,0 days 00:00:34.000000000,37.77879789 -122.4225207
2727,Medical Incident,0 days 23:44:55.000000000,0 days 23:44:55.000000000,0 days 00:00:00.000000000,37.78384277 -122.4227674
2728,Medical Incident,0 days 08:23:21.000000000,0 days 08:26:45.000000000,0 days 00:03:24.000000000,37.77507443 -122.421768
2729,Medical Incident,0 days 16:49:43.000000000,0 days 16:54:33.000000000,0 days 00:04:50.000000000,37.80447756 -122.4446146
2730,Medical Incident,0 days 18:56:33.000000000,0 days 18:58:37.000000000,0 days 00:02:04.000000000,37.79215726 -122.4192434
2731,Medical Incident,0 days 03:06:19.000000000,0 days 03:09:03.000000000,0 days 00:02:44.000000000,37.78086102 -122.4890161
2732,Medical Incident,0 days 18:55:42.000000000,0 days 18:57:31.000000000,0 days 00:01:49.000000000,37.76103977 -122.4192137
2733,Outside Fire,0 days 05:52:27.000000000,0 days 05:54:15.000000000,0 days 00:01:48.000000000,37.807854 -122.418255
2734,Medical Incident,0 days 13:17:36.000000000,0 days 13:19:03.000000000,0 days 00:01:27.000000000,37.76088893 -122.4350007
2735,Medical Incident,0 days 10:06:04.000000000,0 days 10:07:03.000000000,0 days 00:00:59.000000000,37.74828588 -122.4170443
2736,Medical Incident,0 days 06:38:21.000000000,0 days 06:40:52.000000000,0 days 00:02:31.000000000,37.74491872 -122.4757732
2737,Alarms,0 days 08:15:44.000000000,0 days 08:17:52.000000000,0 days 00:02:08.000000000,37.783052 -122.4200103
2738,Medical Incident,0 days 14:29:59.000000000,0 days 14:31:44.000000000,0 days 00:01:45.000000000,37.71650618 -122.3904178
2739,Structure Fire,0 days 12:03:12.000000000,0 days 12:05:38.000000000,0 days 00:02:26.000000000,37.77483757 -122.416555
2740,Medical Incident,0 days 03:02:17.000000000,0 days 03:04:23.000000000,0 days 00:02:06.000000000,37.78486624 -122.4127821
2741,Medical Incident,0 days 07:28:37.000000000,0 days 07:32:53.000000000,0 days 00:04:16.000000000,37.82954341 -122.3756999
2742,Alarms,0 days 15:32:00.000000000,0 days 15:33:39.000000000,0 days 00:01:39.000000000,37.75356457 -122.3956354
2743,Medical Incident,0 days 20:39:34.000000000,0 days 20:41:56.000000000,0 days 00:02:22.000000000,37.78983683 -122.4033445
2744,Alarms,0 days 18:46:33.000000000,0 days 18:48:04.000000000,0 days 00:01:31.000000000,37.78429938 -122.4101413
2745,Medical Incident,0 days 04:00:14.000000000,0 days 04:01:30.000000000,0 days 00:01:16.000000000,37.74795863 -122.467418
2746,Structure Fire,0 days 16:51:12.000000000,0 days 16:51:50.000000000,0 days 00:00:38.000000000,37.79046107 -122.3966897
2747,Medical Incident,0 days 17:36:07.000000000,0 days 17:38:43.000000000,0 days 00:02:36.000000000,37.80440729 -122.4133589
2748,Medical Incident,0 days 15:31:22.000000000,0 days 15:33:18.000000000,0 days 00:01:56.000000000,37.82472164 -122.3749664
2749,Medical Incident,0 days 14:29:59.000000000,0 days 14:31:44.000000000,0 days 00:01:45.000000000,37.78331089 -122.4175288
2750,Medical Incident,0 days 22:02:26.000000000,0 days 22:07:56.000000000,0 days 00:05:30.000000000,37.77483757 -122.416555
2751,Medical Incident,0 days 12:57:22.000000000,0 days 12:59:30.000000000,0 days 00:02:08.000000000,37.79318061 -122.4081471
2752,Traffic Collision,0 days 20:26:10.000000000,0 days 20:48:59.000000000,0 days 00:22:49.000000000,37.7766832 -122.4549828
2753,Medical Incident,0 days 22:50:24.000000000,0 days 22:51:44.000000000,0 days 00:01:20.000000000,37.73243402 -122.3838033
2754,Medical Incident,0 days 03:05:40.000000000,0 days 03:13:46.000000000,0 days 00:08:06.000000000,37.75483798 -122.4153277
2755,Medical Incident,0 days 18:52:02.000000000,0 days 18:52:58.000000000,0 days 00:00:56.000000000,37.77633298 -122.3940351
2756,Traffic Collision,0 days 18:53:26.000000000,0 days 18:53:55.000000000,0 days 00:00:29.000000000,37.73395045 -122.4896992
2757,Medical Incident,0 days 09:40:16.000000000,0 days 09:42:35.000000000,0 days 00:02:19.000000000,37.7696026 -122.4263094
2758,Medical Incident,0 days 16:48:11.000000000,0 days 16:53:12.000000000,0 days 00:05:01.000000000,37.71226467 -122.4729324
2759,Medical Incident,0 days 17:03:25.000000000,0 days 17:10:13.000000000,0 days 00:06:48.000000000,37.7306107 -122.4758628
2760,Medical Incident,0 days 19:39:27.000000000,0 days 19:39:56.000000000,0 days 00:00:29.000000000,37.72063221 -122.437984
2761,Medical Incident,0 days 20:51:27.000000000,0 days 20:54:05.000000000,0 days 00:02:38.000000000,37.78383852 -122.4137755
2762,Alarms,0 days 12:47:08.000000000,0 days 12:50:36.000000000,0 days 00:03:28.000000000,37.77908938 -122.4319258
2763,Medical Incident,0 days 22:43:37.000000000,0 days 22:45:41.000000000,0 days 00:02:04.000000000,37.76698711 -122.4278572
2764,Structure Fire,0 days 16:51:12.000000000,0 days 16:51:50.000000000,0 days 00:00:38.000000000,37.76354593 -122.4787325
2765,Medical Incident,0 days 10:30:10.000000000,0 days 10:34:17.000000000,0 days 00:04:07.000000000,37.80440729 -122.4133589
2766,Medical Incident,0 days 11:00:38.000000000,0 days 11:02:24.000000000,0 days 00:01:46.000000000,37.77143376 -122.4277809
2767,Medical Incident,0 days 00:52:53.000000000,0 days 00:54:43.000000000,0 days 00:01:50.000000000,37.77514707 -122.4192556
2768,Citizen Assist / Service Call,0 days 17:09:22.000000000,0 days 17:12:57.000000000,0 days 00:03:35.000000000,37.78906674 -122.4094078
2769,Medical Incident,0 days 03:02:17.000000000,0 days 03:04:23.000000000,0 days 00:02:06.000000000,37.719129 -122.4582392
2770,Outside Fire,0 days 02:53:40.000000000,0 days 02:56:34.000000000,0 days 00:02:54.000000000,37.82954341 -122.3756999
2771,Structure Fire,0 days 16:51:12.000000000,0 days 16:51:50.000000000,0 days 00:00:38.000000000,37.78682753 -122.4199279
2772,Medical Incident,0 days 11:10:32.000000000,0 days 11:11:43.000000000,0 days 00:01:11.000000000,37.80440729 -122.4133589
2773,Medical Incident,0 days 04:27:41.000000000,0 days 04:29:44.000000000,0 days 00:02:03.000000000,37.80816798 -122.4166347
2774,Citizen Assist / Service Call,0 days 13:31:37.000000000,0 days 13:33:10.000000000,0 days 00:01:33.000000000,37.77879789 -122.4225207
2775,Alarms,0 days 04:24:42.000000000,0 days 04:28:17.000000000,0 days 00:03:35.000000000,37.76807361 -122.4124242
2776,Medical Incident,0 days 19:36:49.000000000,0 days 19:38:52.000000000,0 days 00:02:03.000000000,37.77386178 -122.413046
2777,Medical Incident,0 days 19:05:30.000000000,0 days 19:07:36.000000000,0 days 00:02:06.000000000,37.73607883 -122.3897231
2778,Medical Incident,0 days 16:24:19.000000000,0 days 16:27:13.000000000,0 days 00:02:54.000000000,37.78968885 -122.4129131
2779,Traffic Collision,0 days 12:38:58.000000000,0 days 12:50:19.000000000,0 days 00:11:21.000000000,37.77774474 -122.439207
2780,Medical Incident,0 days 13:12:53.000000000,0 days 13:13:22.000000000,0 days 00:00:29.000000000,37.77903729 -122.41062
2781,Medical Incident,0 days 16:59:57.000000000,0 days 17:02:40.000000000,0 days 00:02:43.000000000,37.78445273 -122.4084932
2782,Outside Fire,0 days 22:15:27.000000000,0 days 22:17:33.000000000,0 days 00:02:06.000000000,37.71830372 -122.3923879
2783,Medical Incident,0 days 14:37:41.000000000,0 days 14:39:21.000000000,0 days 00:01:40.000000000,37.78833684 -122.3888995
2784,Alarms,0 days 17:35:22.000000000,0 days 17:37:22.000000000,0 days 00:02:00.000000000,37.7825474 -122.4122479
2785,Structure Fire,0 days 21:04:50.000000000,0 days 21:06:30.000000000,0 days 00:01:40.000000000,37.73448127 -122.3919121
2786,Alarms,0 days 17:35:22.000000000,0 days 17:37:22.000000000,0 days 00:02:00.000000000,37.78640961 -122.4080362
2787,Structure Fire,0 days 23:25:39.000000000,0 days 23:29:29.000000000,0 days 00:03:50.000000000,37.73448127 -122.3919121
2788,Alarms,0 days 12:02:48.000000000,0 days 12:04:23.000000000,0 days 00:01:35.000000000,37.76642861 -122.45211
2789,Medical Incident,0 days 13:03:25.000000000,0 days 13:08:38.000000000,0 days 00:05:13.000000000,37.80542259 -122.4259589
2790,Medical Incident,0 days 06:12:11.000000000,0 days 06:16:52.000000000,0 days 00:04:41.000000000,37.77555491 -122.4404673
2791,Medical Incident,0 days 18:19:17.000000000,0 days 18:22:42.000000000,0 days 00:03:25.000000000,37.7869902 -122.4106839
2792,Structure Fire,0 days 12:03:12.000000000,0 days 12:05:38.000000000,0 days 00:02:26.000000000,37.76775042 -122.4295304
2793,Medical Incident,0 days 22:08:34.000000000,0 days 22:11:33.000000000,0 days 00:02:59.000000000,37.78486624 -122.4127821
2794,Medical Incident,0 days 18:34:55.000000000,0 days 18:35:08.000000000,0 days 00:00:13.000000000,37.78325042 -122.414216
2795,Medical Incident,0 days 21:32:26.000000000,0 days 21:35:06.000000000,0 days 00:02:40.000000000,37.78117722 -122.4116999
2796,Medical Incident,0 days 11:12:45.000000000,0 days 11:13:49.000000000,0 days 00:01:04.000000000,37.77333766 -122.4091485
2797,Medical Incident,0 days 10:24:09.000000000,0 days 10:26:44.000000000,0 days 00:02:35.000000000,37.76972086 -122.4179492
2798,Medical Incident,0 days 09:49:33.000000000,0 days 09:51:40.000000000,0 days 00:02:07.000000000,37.73077955 -122.4552321
2799,Medical Incident,0 days 18:19:43.000000000,0 days 18:21:49.000000000,0 days 00:02:06.000000000,37.74747921 -122.4813063
2800,Medical Incident,0 days 08:26:56.000000000,0 days 08:28:32.000000000,0 days 00:01:36.000000000,37.75810086 -122.4145468
2801,Structure Fire,0 days 08:00:35.000000000,0 days 08:00:40.000000000,0 days 00:00:05.000000000,37.76178483 -122.4350137
2802,Medical Incident,0 days 19:31:09.000000000,0 days 19:34:41.000000000,0 days 00:03:32.000000000,37.78640961 -122.4080362
2803,Medical Incident,0 days 18:25:42.000000000,0 days 18:28:13.000000000,0 days 00:02:31.000000000,37.78153743 -122.4095183
2804,Medical Incident,0 days 00:08:26.000000000,0 days 00:09:35.000000000,0 days 00:01:09.000000000,37.74221638 -122.4734191
2805,Medical Incident,0 days 03:02:17.000000000,0 days 03:04:23.000000000,0 days 00:02:06.000000000,37.74957409 -122.476228
2806,Medical Incident,0 days 21:14:35.000000000,0 days 21:19:24.000000000,0 days 00:04:49.000000000,37.82954341 -122.3756999
2807,Medical Incident,0 days 18:55:42.000000000,0 days 18:57:31.000000000,0 days 00:01:49.000000000,37.78491247 -122.4086486
2808,Medical Incident,0 days 13:12:53.000000000,0 days 13:13:22.000000000,0 days 00:00:29.000000000,37.807854 -122.418255
2809,Water Rescue,0 days 10:19:35.000000000,0 days 10:22:45.000000000,0 days 00:03:10.000000000,37.78445273 -122.4084932
2810,Alarms,0 days 15:55:46.000000000,0 days 15:57:38.000000000,0 days 00:01:52.000000000,37.79804495 -122.3963671
2811,Medical Incident,0 days 10:24:09.000000000,0 days 10:26:44.000000000,0 days 00:02:35.000000000,37.76497779 -122.4664456
2812,Medical Incident,0 days 12:29:02.000000000,0 days 12:30:27.000000000,0 days 00:01:25.000000000,37.73077955 -122.4552321
2813,Medical Incident,0 days 16:48:11.000000000,0 days 16:53:12.000000000,0 days 00:05:01.000000000,37.73238073 -122.378268
2814,Alarms,0 days 02:21:41.000000000,0 days 02:23:11.000000000,0 days 00:01:30.000000000,37.7306107 -122.4758628
2815,Medical Incident,0 days 05:06:09.000000000,0 days 05:09:38.000000000,0 days 00:03:29.000000000,37.77685246 -122.419455
2816,Citizen Assist / Service Call,0 days 14:51:22.000000000,0 days 14:53:56.000000000,0 days 00:02:34.000000000,37.7824485 -122.4163274
2817,Outside Fire,0 days 00:01:59.000000000,0 days 00:05:14.000000000,0 days 00:03:15.000000000,37.78947882 -122.4145611
2818,Train / Rail Incident,0 days 04:53:54.000000000,0 days 05:15:06.000000000,0 days 00:21:12.000000000,37.74616295 -122.3940489
2819,Medical Incident,0 days 15:52:49.000000000,0 days 15:54:33.000000000,0 days 00:01:44.000000000,37.79267912 -122.3968535
2820,Medical Incident,0 days 21:13:55.000000000,0 days 21:15:51.000000000,0 days 00:01:56.000000000,37.78255696 -122.4163494
2821,Medical Incident,0 days 11:34:54.000000000,0 days 11:40:29.000000000,0 days 00:05:35.000000000,37.77762424 -122.3999811
2822,Structure Fire,0 days 23:25:39.000000000,0 days 23:29:29.000000000,0 days 00:03:50.000000000,37.75199404 -122.4091229
2823,Medical Incident,0 days 16:59:57.000000000,0 days 17:02:40.000000000,0 days 00:02:43.000000000,37.76642861 -122.45211
2824,Medical Incident,0 days 07:40:09.000000000,0 days 07:40:37.000000000,0 days 00:00:28.000000000,37.71830372 -122.3923879
2825,Medical Incident,0 days 17:46:29.000000000,0 days 17:46:38.000000000,0 days 00:00:09.000000000,37.77269482 -122.4221883
2826,Medical Incident,0 days 16:35:52.000000000,0 days 16:38:20.000000000,0 days 00:02:28.000000000,37.77144882 -122.391172
2827,Medical Incident,0 days 16:28:14.000000000,0 days 16:34:23.000000000,0 days 00:06:09.000000000,37.7301191 -122.3873152
2828,Medical Incident,0 days 18:44:48.000000000,0 days 18:49:52.000000000,0 days 00:05:04.000000000,37.77753424 -122.4408637
2829,Medical Incident,0 days 22:52:43.000000000,0 days 22:54:37.000000000,0 days 00:01:54.000000000,37.78316343 -122.4115993
2830,Medical Incident,0 days 02:06:06.000000000,0 days 02:12:34.000000000,0 days 00:06:28.000000000,37.71226467 -122.4729324
2831,Medical Incident,0 days 13:10:05.000000000,0 days 13:11:03.000000000,0 days 00:00:58.000000000,37.74919905 -122.4145932
2832,Alarms,0 days 13:17:07.000000000,0 days 13:18:27.000000000,0 days 00:01:20.000000000,37.76571899 -122.4095207
2833,Medical Incident,0 days 21:34:05.000000000,0 days 21:36:04.000000000,0 days 00:01:59.000000000,37.79388531 -122.4128518
2834,Medical Incident,0 days 21:23:25.000000000,0 days 21:27:08.000000000,0 days 00:03:43.000000000,37.78114586 -122.409026
2835,Medical Incident,0 days 12:34:18.000000000,0 days 12:44:29.000000000,0 days 00:10:11.000000000,37.78316343 -122.4115993
2836,Structure Fire,0 days 02:35:10.000000000,0 days 02:35:16.000000000,0 days 00:00:06.000000000,37.72976037 -122.3733604
2837,Alarms,0 days 17:35:22.000000000,0 days 17:37:22.000000000,0 days 00:02:00.000000000,37.79531294 -122.3979748
2838,Medical Incident,0 days 15:21:24.000000000,0 days 15:24:08.000000000,0 days 00:02:44.000000000,37.73448127 -122.3919121
2839,Medical Incident,0 days 12:17:12.000000000,0 days 12:18:37.000000000,0 days 00:01:25.000000000,37.78398364 -122.446072
2840,Alarms,0 days 10:56:16.000000000,0 days 10:58:17.000000000,0 days 00:02:01.000000000,37.78318152 -122.437809
2841,Traffic Collision,0 days 12:38:58.000000000,0 days 12:41:03.000000000,0 days 00:02:05.000000000,37.80539124 -122.4448002
2842,Fuel Spill,0 days 12:19:03.000000000,0 days 12:23:27.000000000,0 days 00:04:24.000000000,37.77903729 -122.41062
2843,Outside Fire,0 days 05:52:27.000000000,0 days 05:54:15.000000000,0 days 00:01:48.000000000,37.78853817 -122.4362964
2844,Alarms,0 days 04:25:58.000000000,0 days 04:28:47.000000000,0 days 00:02:49.000000000,37.76088893 -122.4350007
2845,Medical Incident,0 days 15:49:19.000000000,0 days 15:50:30.000000000,0 days 00:01:11.000000000,37.72713728 -122.378969
2846,Medical Incident,0 days 10:13:53.000000000,0 days 10:16:17.000000000,0 days 00:02:24.000000000,37.78087726 -122.4145069
2847,Medical Incident,0 days 05:46:54.000000000,0 days 05:48:28.000000000,0 days 00:01:34.000000000,37.77996805 -122.4269014
2848,Medical Incident,0 days 22:02:26.000000000,0 days 22:03:33.000000000,0 days 00:01:07.000000000,37.78384277 -122.4227674
2849,Gas Leak (Natural and LP Gases),0 days 14:05:56.000000000,0 days 14:08:16.000000000,0 days 00:02:20.000000000,37.79318061 -122.4081471
2850,Train / Rail Incident,0 days 04:53:54.000000000,0 days 05:15:06.000000000,0 days 00:21:12.000000000,37.77993369 -122.428614
2851,Medical Incident,0 days 12:35:54.000000000,0 days 12:36:32.000000000,0 days 00:00:38.000000000,37.79267912 -122.3968535
2852,Medical Incident,0 days 16:24:19.000000000,0 days 16:27:13.000000000,0 days 00:02:54.000000000,37.77771244 -122.4127367
2853,Medical Incident,0 days 08:37:53.000000000,0 days 08:38:16.000000000,0 days 00:00:23.000000000,37.77774474 -122.439207
2854,Outside Fire,0 days 01:54:22.000000000,0 days 01:57:24.000000000,0 days 00:03:02.000000000,37.76972086 -122.4179492
2855,Medical Incident,0 days 23:14:35.000000000,0 days 23:18:06.000000000,0 days 00:03:31.000000000,37.73015769 -122.3759892
2856,Medical Incident,0 days 09:49:33.000000000,0 days 09:51:40.000000000,0 days 00:02:07.000000000,37.78626844 -122.4129972
2857,Medical Incident,0 days 16:28:14.000000000,0 days 16:34:23.000000000,0 days 00:06:09.000000000,37.74747921 -122.4813063
2858,Medical Incident,0 days 19:09:40.000000000,0 days 19:11:20.000000000,0 days 00:01:40.000000000,37.77753424 -122.4408637
2859,Water Rescue,0 days 10:19:35.000000000,0 days 10:26:58.000000000,0 days 00:07:23.000000000,37.78034755 -122.406488
2860,Medical Incident,0 days 05:48:37.000000000,0 days 05:52:35.000000000,0 days 00:03:58.000000000,37.79804495 -122.3963671
2861,Medical Incident,0 days 22:02:16.000000000,0 days 22:10:38.000000000,0 days 00:08:22.000000000,37.75210113 -122.4008952
2862,Alarms,0 days 15:55:46.000000000,0 days 16:03:07.000000000,0 days 00:07:21.000000000,37.72200064 -122.4394357
2863,Medical Incident,0 days 08:59:51.000000000,0 days 09:02:55.000000000,0 days 00:03:04.000000000,37.76497779 -122.4664456
2864,Structure Fire,0 days 23:25:39.000000000,0 days 23:29:29.000000000,0 days 00:03:50.000000000,37.78114586 -122.409026
2865,Medical Incident,0 days 00:47:28.000000000,0 days 00:53:11.000000000,0 days 00:05:43.000000000,37.76642861 -122.45211
2866,Water Rescue,0 days 10:19:35.000000000,0 days 10:22:45.000000000,0 days 00:03:10.000000000,37.77779521 -122.3915231
2867,Medical Incident,0 days 00:21:48.000000000,0 days 00:22:30.000000000,0 days 00:00:42.000000000,37.79804495 -122.3963671
2868,Medical Incident,0 days 00:21:48.000000000,0 days 00:22:30.000000000,0 days 00:00:42.000000000,37.74790059 -122.4717535
2869,Structure Fire,0 days 16:51:12.000000000,0 days 16:51:50.000000000,0 days 00:00:38.000000000,37.74790059 -122.4717535
2870,Medical Incident,0 days 19:31:09.000000000,0 days 19:34:41.000000000,0 days 00:03:32.000000000,37.80440729 -122.4133589
2871,Medical Incident,0 days 07:44:40.000000000,0 days 07:45:30.000000000,0 days 00:00:50.000000000,37.78153743 -122.4095183
2872,Medical Incident,0 days 13:11:33.000000000,0 days 13:14:07.000000000,0 days 00:02:34.000000000,37.76929129 -122.4065158
2873,Medical Incident,0 days 12:45:03.000000000,0 days 12:46:17.000000000,0 days 00:01:14.000000000,37.73238073 -122.378268
2874,Medical Incident,0 days 10:53:08.000000000,0 days 10:56:33.000000000,0 days 00:03:25.000000000,37.78331089 -122.4175288
2875,Medical Incident,0 days 18:39:38.000000000,0 days 18:41:20.000000000,0 days 00:01:42.000000000,37.72847605 -122.4154293
2876,Medical Incident,0 days 21:21:38.000000000,0 days 21:26:34.000000000,0 days 00:04:56.000000000,37.77667245 -122.3945574
2877,Medical Incident,0 days 09:33:17.000000000,0 days 09:34:29.000000000,0 days 00:01:12.000000000,37.76010129 -122.4214252
2878,Medical Incident,0 days 16:23:42.000000000,0 days 16:23:53.000000000,0 days 00:00:11.000000000,37.7731448 -122.3914729
2879,Medical Incident,0 days 13:41:57.000000000,0 days 13:43:20.000000000,0 days 00:01:23.000000000,37.77021017 -122.445345
2880,Medical Incident,0 days 21:39:39.000000000,0 days 21:39:55.000000000,0 days 00:00:16.000000000,37.79307213 -122.4081252
2881,Medical Incident,0 days 06:45:42.000000000,0 days 06:49:43.000000000,0 days 00:04:01.000000000,37.72993469 -122.3977444
2882,Medical Incident,0 days 11:37:59.000000000,0 days 11:41:14.000000000,0 days 00:03:15.000000000,37.7890669 -122.3923394
2883,Medical Incident,0 days 22:50:24.000000000,0 days 22:51:44.000000000,0 days 00:01:20.000000000,37.76625361 -122.425864
2884,Medical Incident,0 days 10:21:37.000000000,0 days 10:24:51.000000000,0 days 00:03:14.000000000,37.75483798 -122.4153277
2885,Citizen Assist / Service Call,0 days 20:29:03.000000000,0 days 20:31:26.000000000,0 days 00:02:23.000000000,37.77644368 -122.4097748
2886,Water Rescue,0 days 10:19:35.000000000,0 days 10:22:45.000000000,0 days 00:03:10.000000000,37.7817321 -122.4697676
2887,Medical Incident,0 days 02:34:03.000000000,0 days 02:35:52.000000000,0 days 00:01:49.000000000,37.79804495 -122.3963671
2888,Medical Incident,0 days 15:47:09.000000000,0 days 15:48:28.000000000,0 days 00:01:19.000000000,37.77604635 -122.4112888
2889,Medical Incident,0 days 12:34:18.000000000,0 days 12:34:32.000000000,0 days 00:00:14.000000000,37.73753926 -122.4003985
2890,Alarms,0 days 10:19:57.000000000,0 days 10:23:44.000000000,0 days 00:03:47.000000000,37.72976037 -122.3733604
2891,Medical Incident,0 days 07:47:27.000000000,0 days 07:49:14.000000000,0 days 00:01:47.000000000,37.76712423 -122.39764
2892,Medical Incident,0 days 22:39:16.000000000,0 days 22:39:41.000000000,0 days 00:00:25.000000000,37.77973891 -122.4071595
2893,Alarms,0 days 10:36:23.000000000,0 days 10:37:44.000000000,0 days 00:01:21.000000000,37.79215071 -122.3944511
2894,Alarms,0 days 10:19:57.000000000,0 days 10:23:44.000000000,0 days 00:03:47.000000000,37.79824546 -122.4357937
2895,Alarms,0 days 10:47:22.000000000,0 days 10:49:08.000000000,0 days 00:01:46.000000000,37.76712423 -122.39764
2896,Medical Incident,0 days 21:05:44.000000000,0 days 21:10:17.000000000,0 days 00:04:33.000000000,37.75517394 -122.4766224
2897,Medical Incident,0 days 13:51:22.000000000,0 days 13:54:13.000000000,0 days 00:02:51.000000000,37.7459563 -122.4542399
2898,Medical Incident,0 days 07:37:37.000000000,0 days 07:39:25.000000000,0 days 00:01:48.000000000,37.77514707 -122.4192556
2899,Medical Incident,0 days 04:32:45.000000000,0 days 04:33:16.000000000,0 days 00:00:31.000000000,37.7850961 -122.4127588
2900,Medical Incident,0 days 20:12:52.000000000,0 days 20:14:08.000000000,0 days 00:01:16.000000000,37.76177683 -122.4351517
2901,Medical Incident,0 days 14:31:35.000000000,0 days 14:37:32.000000000,0 days 00:05:57.000000000,37.78578701 -122.4125478
2902,Medical Incident,0 days 04:00:14.000000000,0 days 04:01:30.000000000,0 days 00:01:16.000000000,37.77985107 -122.5094329
2903,Medical Incident,0 days 18:04:30.000000000,0 days 18:07:30.000000000,0 days 00:03:00.000000000,37.79046107 -122.3966897
2904,Medical Incident,0 days 21:32:38.000000000,0 days 21:34:32.000000000,0 days 00:01:54.000000000,37.80858332 -122.4159225
2905,Medical Incident,0 days 23:14:35.000000000,0 days 23:18:06.000000000,0 days 00:03:31.000000000,37.73520816 -122.4117059
2906,Medical Incident,0 days 11:05:30.000000000,0 days 11:06:53.000000000,0 days 00:01:23.000000000,37.78626844 -122.4129972
2907,Outside Fire,0 days 12:41:22.000000000,0 days 12:43:24.000000000,0 days 00:02:02.000000000,37.77530725 -122.4574433
2908,Medical Incident,0 days 19:31:09.000000000,0 days 19:34:41.000000000,0 days 00:03:32.000000000,37.78079148 -122.3996162
2909,Traffic Collision,0 days 20:26:10.000000000,0 days 20:27:09.000000000,0 days 00:00:59.000000000,37.78153743 -122.4095183
2910,Medical Incident,0 days 14:40:57.000000000,0 days 14:42:01.000000000,0 days 00:01:04.000000000,37.73243402 -122.3838033
2911,Medical Incident,0 days 05:48:37.000000000,0 days 05:53:22.000000000,0 days 00:04:45.000000000,37.8038818 -122.4148703
2912,Elevator / Escalator Rescue,0 days 15:16:23.000000000,0 days 15:18:21.000000000,0 days 00:01:58.000000000,37.75210113 -122.4008952
2913,Medical Incident,0 days 18:18:47.000000000,0 days 18:20:54.000000000,0 days 00:02:07.000000000,37.7875045 -122.4141637
