"call_type	received_timestamp	disptach_timestamp"
"Medical Incident	 12:41:58	 12:44:58"
"Structure Fire	 01:22:18	 01:22:25"
"Medical Incident	 07:41:36	 07:44:55"
"Medical Incident	 09:45:39	 09:48:04"
"Medical Incident	 20:45:17	 20:49:45"
"Medical Incident	 23:16:54	 23:20:00"
"Structure Fire	 13:27:31	 13:27:36"
"Medical Incident	 04:14:19	 04:14:35"
"Traffic Collision	 12:23:11	 12:25:28"
"Medical Incident	 10:16:03	 10:20:42"
"Medical Incident	 19:33:18	 19:35:43"
"Alarms	 12:47:08	 12:50:36"
"Medical Incident	 15:31:22	 15:31:59"
"Medical Incident	 23:56:15	 23:57:23"
"Medical Incident	 17:03:25	 17:08:25"
"Medical Incident	 16:28:14	 16:35:31"
"Medical Incident	 10:06:04	 10:08:41"
"Medical Incident	 17:44:50	 17:48:58"
"Outside Fire	 04:29:31	 04:32:42"
"Medical Incident	 10:31:23	 10:37:30"
"Medical Incident	 22:19:23	 22:27:21"
"Medical Incident	 22:22:34	 22:23:27"
"Traffic Collision	 07:08:20	 07:08:33"
"Medical Incident	 06:38:21	 06:40:52"
"Outside Fire	 05:30:51	 05:33:08"
"Citizen Assist / Service Call	 08:21:11	 08:23:58"
"Alarms	 00:52:41	 00:55:16"
"Structure Fire	 16:51:12	 16:51:50"
"Alarms	 04:24:42	 04:28:17"
"Medical Incident	 10:01:22	 10:03:28"
"Alarms	 12:02:48	 12:04:23"
"Citizen Assist / Service Call	 08:21:11	 08:23:58"
"Train / Rail Incident	 04:53:54	 05:15:06"
"Medical Incident	 15:40:29	 15:46:30"
"Medical Incident	 12:50:11	 12:51:22"
"Alarms	 19:35:19	 19:37:31"
"Medical Incident	 12:00:03	 12:00:46"
"Medical Incident	 22:16:32	 22:19:06"
"Alarms	 02:21:41	 02:23:11"
"Structure Fire	 23:17:42	 23:18:55"
"Medical Incident	 16:35:52	 16:38:20"
"Outside Fire	 02:25:51	 02:25:51"
"Medical Incident	 00:28:50	 00:29:23"
"Medical Incident	 18:29:45	 18:32:11"
"Medical Incident	 00:41:30	 00:45:35"
"Medical Incident	 08:13:02	 08:15:01"
"Medical Incident	 02:48:40	 02:49:30"
"Medical Incident	 10:17:02	 10:19:09"
"Medical Incident	 02:34:03	 02:35:52"
"Medical Incident	 22:19:08	 22:21:25"
"Medical Incident	 16:25:48	 16:28:00"
"Structure Fire	 02:35:10	 02:35:16"
"Medical Incident	 13:27:21	 13:28:33"
"Alarms	 09:19:00	 09:20:18"
"Medical Incident	 19:31:09	 19:34:41"
"Citizen Assist / Service Call	 14:28:51	 14:30:36"
"Medical Incident	 08:33:44	 08:35:34"
"Water Rescue	 10:19:35	 10:22:45"
"Medical Incident	 12:41:58	 12:44:58"
"Medical Incident	 10:31:08	 10:39:47"
"Medical Incident	 10:17:02	 10:19:09"
"Structure Fire	 01:22:18	 01:22:25"
"Medical Incident	 13:13:31	 13:15:49"
"Medical Incident	 19:39:27	 19:48:21"
"Medical Incident	 13:17:36	 13:19:03"
"Medical Incident	 14:40:57	 14:42:01"
"Medical Incident	 10:31:08	 10:32:15"
"Citizen Assist / Service Call	 14:09:35	 14:11:26"
"Medical Incident	 17:04:04	 17:05:14"
"Medical Incident	 08:41:45	 08:44:19"
"Medical Incident	 09:47:25	 09:48:58"
"Alarms	 01:48:55	 01:50:58"
"Medical Incident	 05:49:54	 05:51:39"
"Structure Fire	 23:17:42	 23:18:55"
"Smoke Investigation (Outside)	 13:03:09	 13:03:22"
"Medical Incident	 17:04:04	 17:05:14"
"Medical Incident	 10:06:04	 10:06:30"
"Medical Incident	 23:43:40	 23:48:47"
"Structure Fire	 23:17:42	 23:18:55"
"Medical Incident	 15:40:36	 15:40:57"
"Medical Incident	 11:10:32	 11:11:43"
"Train / Rail Incident	 04:53:54	 05:15:06"
"Medical Incident	 15:40:29	 15:42:41"
"Medical Incident	 10:13:20	 10:15:33"
"Medical Incident	 12:29:02	 12:30:46"
"Structure Fire	 21:04:50	 21:07:29"
"Medical Incident	 19:48:14	 19:49:13"
"Vehicle Fire	 21:45:56	 21:46:03"
"Alarms	 23:13:02	 23:14:36"
"Medical Incident	 02:01:34	 02:03:16"
"Medical Incident	 19:22:41	 19:24:33"
"Medical Incident	 22:16:32	 22:19:06"
"Structure Fire	 12:03:12	 12:05:38"
"Medical Incident	 10:18:35	 10:19:53"
"Outside Fire	 05:30:51	 05:33:08"
"Alarms	 10:47:22	 10:49:08"
"Traffic Collision	 20:43:36	 20:46:10"
"Medical Incident	 00:08:26	 00:09:35"
"Medical Incident	 10:53:46	 10:55:58"
"Medical Incident	 00:41:30	 00:45:35"
"Medical Incident	 22:02:26	 22:03:33"
"Medical Incident	 21:09:45	 21:14:45"
"Medical Incident	 05:06:09	 05:11:49"
"Alarms	 08:15:44	 08:17:52"
"Medical Incident	 21:47:48	 21:51:31"
"Medical Incident	 21:13:32	 21:14:06"
"Medical Incident	 23:44:55	 23:44:55"
"Medical Incident	 08:23:21	 08:26:45"
"Medical Incident	 16:49:43	 16:54:33"
"Medical Incident	 18:56:33	 18:58:37"
"Medical Incident	 03:06:19	 03:09:03"
"Medical Incident	 18:55:42	 18:57:31"
"Outside Fire	 05:52:27	 05:54:15"
"Medical Incident	 13:17:36	 13:19:03"
"Medical Incident	 10:06:04	 10:07:03"
"Medical Incident	 06:38:21	 06:40:52"
"Alarms	 08:15:44	 08:17:52"
"Medical Incident	 14:29:59	 14:31:44"
"Structure Fire	 12:03:12	 12:05:38"
"Medical Incident	 03:02:17	 03:04:23"
"Medical Incident	 07:28:37	 07:32:53"
"Alarms	 15:32:00	 15:33:39"
"Medical Incident	 20:39:34	 20:41:56"
"Alarms	 18:46:33	 18:48:04"
"Medical Incident	 04:00:14	 04:01:30"
"Structure Fire	 16:51:12	 16:51:50"
"Medical Incident	 17:36:07	 17:38:43"
"Medical Incident	 15:31:22	 15:33:18"
"Medical Incident	 14:29:59	 14:31:44"
"Medical Incident	 22:02:26	 22:07:56"
"Medical Incident	 12:57:22	 12:59:30"
"Traffic Collision	 20:26:10	 20:48:59"
"Medical Incident	 22:50:24	 22:51:44"
"Medical Incident	 03:05:40	 03:13:46"
"Medical Incident	 18:52:02	 18:52:58"
"Traffic Collision	 18:53:26	 18:53:55"
"Medical Incident	 09:40:16	 09:42:35"
"Medical Incident	 16:48:11	 16:53:12"
"Medical Incident	 17:03:25	 17:10:13"
"Medical Incident	 19:39:27	 19:39:56"
"Medical Incident	 20:51:27	 20:54:05"
"Alarms	 12:47:08	 12:50:36"
"Medical Incident	 22:43:37	 22:45:41"
"Structure Fire	 16:51:12	 16:51:50"
"Medical Incident	 10:30:10	 10:34:17"
"Medical Incident	 11:00:38	 11:02:24"
"Medical Incident	 00:52:53	 00:54:43"
"Citizen Assist / Service Call	 17:09:22	 17:12:57"
"Medical Incident	 03:02:17	 03:04:23"
"Outside Fire	 02:53:40	 02:56:34"
"Structure Fire	 16:51:12	 16:51:50"
"Medical Incident	 11:10:32	 11:11:43"
"Medical Incident	 04:27:41	 04:29:44"
"Citizen Assist / Service Call	 13:31:37	 13:33:10"
"Alarms	 04:24:42	 04:28:17"
"Medical Incident	 19:36:49	 19:38:52"
"Medical Incident	 19:05:30	 19:07:36"
"Medical Incident	 16:24:19	 16:27:13"
"Traffic Collision	 12:38:58	 12:50:19"
"Medical Incident	 13:12:53	 13:13:22"
"Medical Incident	 16:59:57	 17:02:40"
"Outside Fire	 22:15:27	 22:17:33"
"Medical Incident	 14:37:41	 14:39:21"
"Alarms	 17:35:22	 17:37:22"
"Structure Fire	 21:04:50	 21:06:30"
"Alarms	 17:35:22	 17:37:22"
"Structure Fire	 23:25:39	 23:29:29"
"Alarms	 12:02:48	 12:04:23"
"Medical Incident	 13:03:25	 13:08:38"
"Medical Incident	 06:12:11	 06:16:52"
"Medical Incident	 18:19:17	 18:22:42"
"Structure Fire	 12:03:12	 12:05:38"
"Medical Incident	 22:08:34	 22:11:33"
"Medical Incident	 18:34:55	 18:35:08"
"Medical Incident	 21:32:26	 21:35:06"
"Medical Incident	 11:12:45	 11:13:49"
"Medical Incident	 10:24:09	 10:26:44"
"Medical Incident	 09:49:33	 09:51:40"
"Medical Incident	 18:19:43	 18:21:49"
"Medical Incident	 08:26:56	 08:28:32"
"Structure Fire	 08:00:35	 08:00:40"
"Medical Incident	 19:31:09	 19:34:41"
"Medical Incident	 18:25:42	 18:28:13"
"Medical Incident	 00:08:26	 00:09:35"
"Medical Incident	 03:02:17	 03:04:23"
"Medical Incident	 21:14:35	 21:19:24"
"Medical Incident	 18:55:42	 18:57:31"
"Medical Incident	 13:12:53	 13:13:22"
"Water Rescue	 10:19:35	 10:22:45"
"Alarms	 15:55:46	 15:57:38"
"Medical Incident	 10:24:09	 10:26:44"
"Medical Incident	 12:29:02	 12:30:27"
"Medical Incident	 16:48:11	 16:53:12"
"Alarms	 02:21:41	 02:23:11"
"Medical Incident	 05:06:09	 05:09:38"
"Citizen Assist / Service Call	 14:51:22	 14:53:56"
"Outside Fire	 00:01:59	 00:05:14"
"Train / Rail Incident	 04:53:54	 05:15:06"
"Medical Incident	 15:52:49	 15:54:33"
"Medical Incident	 21:13:55	 21:15:51"
"Medical Incident	 11:34:54	 11:40:29"
"Structure Fire	 23:25:39	 23:29:29"
"Medical Incident	 16:59:57	 17:02:40"
"Medical Incident	 07:40:09	 07:40:37"
"Medical Incident	 17:46:29	 17:46:38"
"Medical Incident	 16:35:52	 16:38:20"
"Medical Incident	 16:28:14	 16:34:23"
"Medical Incident	 18:44:48	 18:49:52"
"Medical Incident	 22:52:43	 22:54:37"
"Medical Incident	 02:06:06	 02:12:34"
"Medical Incident	 13:10:05	 13:11:03"
"Alarms	 13:17:07	 13:18:27"
"Medical Incident	 21:34:05	 21:36:04"
"Medical Incident	 21:23:25	 21:27:08"
"Medical Incident	 12:34:18	 12:44:29"
"Structure Fire	 02:35:10	 02:35:16"
"Alarms	 17:35:22	 17:37:22"
"Medical Incident	 15:21:24	 15:24:08"
"Medical Incident	 12:17:12	 12:18:37"
"Alarms	 10:56:16	 10:58:17"
"Traffic Collision	 12:38:58	 12:41:03"
"Fuel Spill	 12:19:03	 12:23:27"
"Outside Fire	 05:52:27	 05:54:15"
"Alarms	 04:25:58	 04:28:47"
"Medical Incident	 15:49:19	 15:50:30"
"Medical Incident	 10:13:53	 10:16:17"
"Medical Incident	 05:46:54	 05:48:28"
"Medical Incident	 22:02:26	 22:03:33"
"Gas Leak (Natural and LP Gases)	 14:05:56	 14:08:16"
"Train / Rail Incident	 04:53:54	 05:15:06"
"Medical Incident	 12:35:54	 12:36:32"
"Medical Incident	 16:24:19	 16:27:13"
"Medical Incident	 08:37:53	 08:38:16"
"Outside Fire	 01:54:22	 01:57:24"
"Medical Incident	 23:14:35	 23:18:06"
"Medical Incident	 09:49:33	 09:51:40"
"Medical Incident	 16:28:14	 16:34:23"
"Medical Incident	 19:09:40	 19:11:20"
"Water Rescue	 10:19:35	 10:26:58"
"Medical Incident	 05:48:37	 05:52:35"
"Medical Incident	 22:02:16	 22:10:38"
"Alarms	 15:55:46	 16:03:07"
"Medical Incident	 08:59:51	 09:02:55"
"Structure Fire	 23:25:39	 23:29:29"
"Medical Incident	 00:47:28	 00:53:11"
"Water Rescue	 10:19:35	 10:22:45"
"Medical Incident	 00:21:48	 00:22:30"
"Medical Incident	 00:21:48	 00:22:30"
"Structure Fire	 16:51:12	 16:51:50"
"Medical Incident	 19:31:09	 19:34:41"
"Medical Incident	 07:44:40	 07:45:30"
"Medical Incident	 13:11:33	 13:14:07"
"Medical Incident	 12:45:03	 12:46:17"
"Medical Incident	 10:53:08	 10:56:33"
"Medical Incident	 18:39:38	 18:41:20"
"Medical Incident	 21:21:38	 21:26:34"
"Medical Incident	 09:33:17	 09:34:29"
"Medical Incident	 16:23:42	 16:23:53"
"Medical Incident	 13:41:57	 13:43:20"
"Medical Incident	 21:39:39	 21:39:55"
"Medical Incident	 06:45:42	 06:49:43"
"Medical Incident	 11:37:59	 11:41:14"
"Medical Incident	 22:50:24	 22:51:44"
"Medical Incident	 10:21:37	 10:24:51"
"Citizen Assist / Service Call	 20:29:03	 20:31:26"
"Water Rescue	 10:19:35	 10:22:45"
"Medical Incident	 02:34:03	 02:35:52"
"Medical Incident	 15:47:09	 15:48:28"
"Medical Incident	 12:34:18	 12:34:32"
"Alarms	 10:19:57	 10:23:44"
"Medical Incident	 07:47:27	 07:49:14"
"Medical Incident	 22:39:16	 22:39:41"
"Alarms	 10:36:23	 10:37:44"
"Alarms	 10:19:57	 10:23:44"
"Alarms	 10:47:22	 10:49:08"
"Medical Incident	 21:05:44	 21:10:17"
"Medical Incident	 13:51:22	 13:54:13"
"Medical Incident	 07:37:37	 07:39:25"
"Medical Incident	 04:32:45	 04:33:16"
"Medical Incident	 20:12:52	 20:14:08"
"Medical Incident	 14:31:35	 14:37:32"
"Medical Incident	 04:00:14	 04:01:30"
"Medical Incident	 18:04:30	 18:07:30"
"Medical Incident	 21:32:38	 21:34:32"
"Medical Incident	 23:14:35	 23:18:06"
"Medical Incident	 11:05:30	 11:06:53"
"Outside Fire	 12:41:22	 12:43:24"
"Medical Incident	 19:31:09	 19:34:41"
"Traffic Collision	 20:26:10	 20:27:09"
"Medical Incident	 14:40:57	 14:42:01"
"Medical Incident	 05:48:37	 05:53:22"
"Elevator / Escalator Rescue	 15:16:23	 15:18:21"
"Medical Incident	 18:18:47	 18:20:54"
"Medical Incident	 18:56:33	 18:58:37"
"Medical Incident	 09:02:56	 09:06:23"
"Medical Incident	 19:34:24	 19:36:51"
"Outside Fire	 20:58:55	 21:00:24"
"Medical Incident	 08:57:21	 08:59:20"
"Alarms	 08:15:44	 08:17:52"
"Alarms	 18:46:33	 18:48:04"
"Other	 19:51:11	 19:53:48"
"Structure Fire	 23:25:39	 23:29:29"
"Traffic Collision	 16:38:20	 16:40:04"
"Medical Incident	 12:35:54	 12:37:21"
"Medical Incident	 07:55:01	 07:56:57"
"Medical Incident	 00:11:46	 00:14:51"
"Medical Incident	 18:19:17	 18:43:24"
"Medical Incident	 03:06:19	 03:09:03"
"Medical Incident	 08:16:46	 08:19:08"
"Alarms	 18:25:02	 18:26:25"
"Medical Incident	 23:39:45	 23:42:43"
"Medical Incident	 12:14:09	 12:14:50"
"Medical Incident	 01:37:34	 01:38:16"
"Medical Incident	 00:21:48	 00:30:22"
"Medical Incident	 17:03:25	 17:08:25"
"Medical Incident	 12:14:09	 12:14:50"
"Gas Leak (Natural and LP Gases)	 14:05:56	 14:08:16"
"Medical Incident	 11:36:10	 11:38:24"
"Medical Incident	 18:42:45	 18:44:23"
"Alarms	 10:36:23	 10:37:44"
"Traffic Collision	 20:15:33	 20:16:10"
"Medical Incident	 00:35:31	 00:39:16"
"Alarms	 04:17:47	 04:20:14"
"Citizen Assist / Service Call	 04:07:39	 04:10:04"
"Medical Incident	 12:45:03	 12:46:17"
"Medical Incident	 23:39:45	 23:42:43"
"Medical Incident	 21:16:48	 21:18:04"
"Medical Incident	 07:48:59	 07:51:02"
"Structure Fire	 12:03:12	 12:05:38"
"Medical Incident	 12:45:03	 12:46:17"
"Train / Rail Incident	 04:53:54	 05:15:06"
"Medical Incident	 10:30:10	 10:36:37"
"Medical Incident	 10:18:35	 10:19:53"
"Alarms	 09:19:00	 09:20:18"
"Medical Incident	 21:41:11	 21:44:09"
"Structure Fire	 23:25:39	 23:31:57"
"Medical Incident	 10:33:32	 10:35:08"
"Medical Incident	 16:49:43	 16:54:33"
"Medical Incident	 17:43:06	 17:43:41"
"Alarms	 02:21:41	 02:23:11"
"Structure Fire	 23:17:42	 23:18:55"
"Medical Incident	 14:51:23	 14:51:33"
"Medical Incident	 14:30:35	 14:40:03"
"Medical Incident	 00:28:50	 00:29:23"
"Medical Incident	 11:55:00	 11:57:10"
"Outside Fire	 10:10:10	 10:10:53"
"Citizen Assist / Service Call	 16:24:46	 16:26:18"
"Alarms	 15:55:46	 15:57:38"
"Medical Incident	 18:19:43	 18:21:49"
"Alarms	 18:25:02	 18:26:25"
"Medical Incident	 18:04:30	 18:07:30"
"Medical Incident	 11:05:30	 11:06:53"
"Alarms	 18:46:33	 18:48:04"
"Medical Incident	 21:16:48	 21:18:04"
"Medical Incident	 09:21:11	 09:23:14"
"Medical Incident	 10:30:10	 10:34:17"
"Medical Incident	 17:42:58	 17:47:00"
"Medical Incident	 21:27:05	 21:29:19"
"Alarms	 12:47:08	 12:50:36"
"Medical Incident	 16:20:25	 16:20:37"
"Medical Incident	 06:38:46	 06:42:16"
"Medical Incident	 01:59:43	 02:00:41"
"Alarms	 19:35:19	 19:37:31"
"Medical Incident	 09:45:39	 09:48:04"
"Medical Incident	 17:36:07	 17:38:43"
"Medical Incident	 17:38:43	 17:42:17"
"Alarms	 13:17:07	 13:18:27"
"Medical Incident	 02:39:20	 02:40:13"
"Medical Incident	 14:41:29	 14:43:33"
"Medical Incident	 09:57:07	 10:02:37"
"Structure Fire	 12:03:12	 12:05:38"
"Medical Incident	 05:49:54	 05:51:39"
"Medical Incident	 14:25:19	 14:26:51"
"Medical Incident	 20:48:29	 20:51:46"
"Structure Fire	 14:23:39	 14:23:48"
"Outside Fire	 00:01:59	 00:05:14"
"Traffic Collision	 12:38:58	 12:41:03"
"Medical Incident	 14:40:57	 14:43:04"
"Alarms	 10:47:22	 10:49:08"
"Medical Incident	 23:44:55	 23:45:13"
"Alarms	 15:32:00	 15:33:39"
"Medical Incident	 17:40:05	 17:40:22"
"Medical Incident	 09:05:49	 09:08:12"
"Medical Incident	 17:56:37	 18:01:02"
"Alarms	 23:13:02	 23:14:36"
"Medical Incident	 10:31:23	 10:39:27"
"Medical Incident	 14:31:35	 14:33:11"
"Medical Incident	 00:52:53	 00:54:43"
"Medical Incident	 14:06:43	 14:09:04"
"Medical Incident	 09:53:14	 09:55:27"
"Medical Incident	 19:22:41	 19:24:33"
"Medical Incident	 21:32:38	 21:34:06"
"Medical Incident	 08:41:45	 08:44:19"
"Alarms	 23:12:05	 23:14:08"
"Medical Incident	 14:14:10	 14:14:19"
"Structure Fire	 08:00:35	 08:00:40"
"Medical Incident	 09:33:17	 09:34:29"
"Fuel Spill	 12:19:03	 12:23:27"
"Alarms	 15:32:00	 15:33:39"
"Structure Fire	 00:40:33	 00:41:38"
"Medical Incident	 09:40:16	 09:42:35"
"Medical Incident	 15:21:53	 15:22:00"
"Medical Incident	 18:23:34	 18:24:33"
"Medical Incident	 22:00:12	 22:00:59"
"Medical Incident	 09:07:15	 09:07:44"
"Medical Incident	 14:31:35	 14:33:11"
"Medical Incident	 08:52:04	 08:52:04"
"Medical Incident	 10:53:08	 11:25:01"
"Alarms	 04:17:47	 04:20:14"
"Structure Fire	 00:38:02	 00:38:54"
"Medical Incident	 18:23:34	 18:24:33"
"Medical Incident	 00:55:36	 00:59:38"
"Medical Incident	 01:10:19	 01:15:08"
"Structure Fire	 16:51:12	 16:51:50"
"Traffic Collision	 18:53:26	 18:53:55"
"Alarms	 00:52:41	 00:55:16"
"Alarms	 03:47:43	 03:49:21"
"Medical Incident	 08:51:40	 08:53:20"
"Medical Incident	 11:58:34	 11:59:07"
"Medical Incident	 00:08:26	 00:09:35"
"Medical Incident	 13:13:31	 13:15:11"
"Water Rescue	 10:19:35	 10:22:45"
"Medical Incident	 15:08:18	 15:11:43"
"Train / Rail Incident	 04:53:54	 05:15:06"
"Medical Incident	 21:32:26	 21:35:06"
"Medical Incident	 19:23:52	 19:25:20"
"Structure Fire	 16:51:12	 16:51:50"
"Smoke Investigation (Outside)	 13:03:09	 13:03:22"
"Medical Incident	 02:46:08	 02:46:20"
"Structure Fire	 14:23:39	 14:23:48"
"Medical Incident	 13:27:21	 13:28:33"
"Medical Incident	 14:25:19	 14:25:57"
"Medical Incident	 19:41:21	 19:43:13"
"Medical Incident	 09:24:47	 09:25:45"
"Elevator / Escalator Rescue	 16:34:11	 16:37:34"
"Structure Fire	 12:03:12	 12:05:38"
"Medical Incident	 03:06:19	 03:09:03"
"Medical Incident	 13:41:57	 13:43:59"
"Medical Incident	 08:51:40	 08:53:20"
"Medical Incident	 14:54:19	 14:54:56"
"Medical Incident	 14:40:57	 14:43:04"
"Water Rescue	 10:19:35	 10:22:45"
"Traffic Collision	 07:15:39	 07:15:39"
"Medical Incident	 13:41:57	 13:43:20"
"Medical Incident	 08:12:49	 08:13:11"
"Medical Incident	 08:33:44	 08:35:34"
"Medical Incident	 03:53:13	 03:55:36"
"Medical Incident	 16:15:49	 16:16:14"
"Medical Incident	 14:14:10	 14:14:19"
"Water Rescue	 10:19:35	 10:22:45"
"Medical Incident	 22:02:16	 22:11:31"
"Medical Incident	 15:21:24	 15:24:08"
"Alarms	 03:47:43	 03:49:21"
"Medical Incident	 17:38:43	 17:42:17"
"Medical Incident	 09:47:25	 09:48:58"
"Medical Incident	 19:26:01	 19:28:05"
"Medical Incident	 00:02:55	 00:02:55"
"Structure Fire	 23:17:42	 23:18:55"
"Structure Fire	 16:51:12	 16:51:50"
"Alarms	 10:56:16	 10:58:17"
"Medical Incident	 07:48:59	 07:51:02"
"Medical Incident	 19:33:18	 19:35:43"
"Medical Incident	 00:52:53	 00:56:50"
"Outside Fire	 05:52:27	 05:54:15"
"Medical Incident	 23:14:40	 23:35:08"
"Medical Incident	 07:28:37	 07:32:53"
"Structure Fire	 16:51:12	 16:51:50"
"Structure Fire	 23:25:39	 23:29:29"
"Alarms	 04:25:58	 04:28:47"
"Medical Incident	 10:33:32	 10:35:08"
"Medical Incident	 04:38:40	 04:41:27"
"Outside Fire	 01:54:22	 01:57:24"
"Alarms	 13:17:07	 13:18:27"
"Medical Incident	 04:27:41	 04:34:58"
"Medical Incident	 10:15:19	 10:18:07"
"Medical Incident	 21:13:32	 21:14:06"
"Medical Incident	 09:50:43	 09:53:14"
"Structure Fire	 12:03:12	 12:05:38"
"Medical Incident	 09:12:57	 09:15:02"
"Medical Incident	 20:16:01	 20:17:04"
"Medical Incident	 10:30:10	 10:34:38"
"Medical Incident	 09:27:39	 09:29:36"
"Medical Incident	 17:43:06	 17:43:41"
"Water Rescue	 10:19:35	 10:22:45"
"Other	 09:44:28	 09:45:47"
"Medical Incident	 17:42:58	 17:47:00"
"Alarms	 23:12:05	 23:14:08"
"Medical Incident	 13:44:03	 13:46:10"
"Medical Incident	 10:31:23	 10:35:45"
"Traffic Collision	 13:03:28	 13:04:55"
"Medical Incident	 12:34:18	 12:34:32"
"Smoke Investigation (Outside)	 13:03:09	 13:03:22"
"Medical Incident	 06:45:42	 06:49:43"
"Medical Incident	 21:39:39	 21:39:55"
"Medical Incident	 02:48:40	 02:50:56"
"Medical Incident	 18:25:42	 18:28:13"
"Medical Incident	 07:19:05	 07:21:22"
"Medical Incident	 13:44:03	 13:59:22"
"Medical Incident	 18:44:48	 18:49:52"
"Medical Incident	 18:18:47	 18:20:54"
"Medical Incident	 10:13:53	 10:14:33"
"Outside Fire	 00:00:52	 00:03:58"
"Medical Incident	 09:49:33	 09:54:26"
"Medical Incident	 05:31:39	 05:33:59"
"Medical Incident	 18:29:45	 18:32:11"
"Medical Incident	 15:52:49	 15:54:33"
"Vehicle Fire	 21:45:56	 21:46:03"
"Medical Incident	 09:59:46	 10:00:57"
"Alarms	 01:48:55	 01:50:58"
"Medical Incident	 20:12:52	 20:14:08"
"Medical Incident	 15:22:39	 15:25:18"
"Water Rescue	 10:19:35	 10:22:45"
"Medical Incident	 12:50:11	 12:51:22"
"Medical Incident	 09:35:59	 09:36:24"
"Medical Incident	 19:31:09	 19:34:41"
"Medical Incident	 01:37:34	 01:38:16"
"Medical Incident	 01:17:47	 01:20:20"
"Medical Incident	 14:40:57	 14:42:30"
"Medical Incident	 17:43:06	 17:43:41"
"Medical Incident	 11:55:00	 11:57:10"
"Traffic Collision	 20:15:33	 20:16:10"
"Medical Incident	 11:58:34	 11:59:07"
"Medical Incident	 17:46:29	 17:46:38"
"Medical Incident	 00:35:31	 00:39:16"
"Outside Fire	 04:29:31	 04:32:42"
"Alarms	 04:24:42	 04:28:17"
"Medical Incident	 04:27:41	 04:29:44"
"Medical Incident	 14:54:19	 14:54:56"
"Medical Incident	 09:05:49	 09:08:12"
"Structure Fire	 00:40:33	 00:41:38"
"Medical Incident	 04:23:56	 04:27:05"
"Outside Fire	 04:29:31	 04:34:58"
"Medical Incident	 09:49:33	 09:57:12"
"Medical Incident	 15:47:09	 15:48:28"
"Traffic Collision	 20:26:10	 20:27:09"
"Medical Incident	 12:44:18	 12:45:24"
"Medical Incident	 23:56:15	 23:57:23"
"Medical Incident	 21:23:25	 21:27:08"
"Medical Incident	 19:48:14	 19:49:13"
"Medical Incident	 01:08:09	 01:12:44"
"Train / Rail Incident	 04:53:54	 05:15:06"
"Outside Fire	 00:01:59	 00:05:14"
"Medical Incident	 09:47:25	 09:48:58"
"Electrical Hazard	 03:10:23	 03:12:16"
"Structure Fire	 23:17:42	 23:18:55"
"Medical Incident	 03:14:41	 03:16:57"
"Water Rescue	 10:19:35	 10:22:45"
"Medical Incident	 15:21:53	 15:22:00"
"Medical Incident	 05:31:39	 05:33:59"
"Alarms	 12:02:48	 12:04:23"
"Medical Incident	 10:13:53	 10:14:33"
"Medical Incident	 22:11:49	 22:26:16"
"Traffic Collision	 07:08:20	 07:08:33"
"Traffic Collision	 16:38:20	 16:40:04"
"Medical Incident	 15:08:18	 15:11:43"
"Medical Incident	 02:24:02	 02:25:02"
"Alarms	 04:25:58	 04:28:47"
"Medical Incident	 05:22:15	 05:23:14"
"Traffic Collision	 15:53:34	 15:54:01"
"Medical Incident	 14:25:19	 14:25:57"
"Alarms	 18:25:02	 18:26:25"
"Medical Incident	 21:32:38	 21:34:06"
"Train / Rail Incident	 04:53:54	 05:15:06"
"Medical Incident	 13:20:40	 13:22:16"
"Medical Incident	 00:57:29	 00:58:01"
"Medical Incident	 07:55:01	 07:58:38"
"Medical Incident	 11:24:36	 11:24:52"
"Fuel Spill	 12:19:03	 12:23:27"
"Medical Incident	 22:00:12	 22:00:59"
"Medical Incident	 19:41:53	 19:46:15"
"Medical Incident	 01:48:59	 01:49:49"
"Medical Incident	 07:47:27	 07:49:14"
"Medical Incident	 22:22:34	 22:23:27"
"Medical Incident	 21:32:26	 21:35:33"
"Medical Incident	 00:11:46	 00:14:51"
"Alarms	 10:56:16	 10:58:17"
"Medical Incident	 15:06:02	 15:07:44"
"Alarms	 15:55:46	 15:57:38"
"Medical Incident	 12:17:12	 12:18:37"
"Medical Incident	 13:20:40	 13:22:16"
"Medical Incident	 15:08:46	 15:09:21"
"Medical Incident	 14:25:19	 14:25:57"
"Medical Incident	 12:00:03	 12:00:46"
"Medical Incident	 00:36:42	 00:38:12"
"Medical Incident	 23:16:54	 23:20:00"
"Medical Incident	 22:52:43	 23:07:42"
"Medical Incident	 15:48:39	 15:51:08"
"Medical Incident	 21:05:44	 21:10:17"
"Structure Fire	 12:03:12	 12:05:38"
"Medical Incident	 16:43:11	 16:47:33"
"Medical Incident	 21:01:30	 21:03:57"
"Structure Fire	 23:25:39	 23:30:43"
"Medical Incident	 23:05:52	 23:11:01"
"Train / Rail Incident	 04:53:54	 05:15:06"
"Traffic Collision	 20:43:36	 20:46:10"
"Train / Rail Incident	 04:53:54	 05:15:06"
"Medical Incident	 05:22:15	 05:23:14"
"Gas Leak (Natural and LP Gases)	 14:05:56	 14:08:16"
"Medical Incident	 15:49:19	 15:50:30"
"Alarms	 04:17:47	 04:20:14"
"Medical Incident	 17:12:28	 17:13:29"
"Outside Fire	 20:59:59	 21:03:28"
"Train / Rail Incident	 04:53:54	 05:15:06"
"Medical Incident	 01:08:09	 01:12:44"
"Structure Fire	 13:27:31	 13:27:36"
