,call_type,received_timestamp,disptach_timestamp,dispatch_time
3144,Medical Incident,0 days 00:35:31.000000000,0 days 00:39:16.000000000,0 days 00:03:45.000000000
3145,Outside Fire,0 days 04:29:31.000000000,0 days 04:32:42.000000000,0 days 00:03:11.000000000
3146,Alarms,0 days 04:24:42.000000000,0 days 04:28:17.000000000,0 days 00:03:35.000000000
3147,Medical Incident,0 days 04:27:41.000000000,0 days 04:29:44.000000000,0 days 00:02:03.000000000
3148,Medical Incident,0 days 14:54:19.000000000,0 days 14:54:56.000000000,0 days 00:00:37.000000000
3149,Medical Incident,0 days 09:05:49.000000000,0 days 09:08:12.000000000,0 days 00:02:23.000000000
3150,Structure Fire,0 days 00:40:33.000000000,0 days 00:41:38.000000000,0 days 00:01:05.000000000
3151,Medical Incident,0 days 04:23:56.000000000,0 days 04:27:05.000000000,0 days 00:03:09.000000000
3152,Outside Fire,0 days 04:29:31.000000000,0 days 04:34:58.000000000,0 days 00:05:27.000000000
3153,Medical Incident,0 days 09:49:33.000000000,0 days 09:57:12.000000000,0 days 00:07:39.000000000
3154,Medical Incident,0 days 15:47:09.000000000,0 days 15:48:28.000000000,0 days 00:01:19.000000000
3155,Traffic Collision,0 days 20:26:10.000000000,0 days 20:27:09.000000000,0 days 00:00:59.000000000
3156,Medical Incident,0 days 12:44:18.000000000,0 days 12:45:24.000000000,0 days 00:01:06.000000000
3157,Medical Incident,0 days 23:56:15.000000000,0 days 23:57:23.000000000,0 days 00:01:08.000000000
3158,Medical Incident,0 days 21:23:25.000000000,0 days 21:27:08.000000000,0 days 00:03:43.000000000
3159,Medical Incident,0 days 19:48:14.000000000,0 days 19:49:13.000000000,0 days 00:00:59.000000000
3160,Medical Incident,0 days 01:08:09.000000000,0 days 01:12:44.000000000,0 days 00:04:35.000000000
3161,Train / Rail Incident,0 days 04:53:54.000000000,0 days 05:15:06.000000000,0 days 00:21:12.000000000
3162,Outside Fire,0 days 00:01:59.000000000,0 days 00:05:14.000000000,0 days 00:03:15.000000000
3163,Medical Incident,0 days 09:47:25.000000000,0 days 09:48:58.000000000,0 days 00:01:33.000000000
3164,Electrical Hazard,0 days 03:10:23.000000000,0 days 03:12:16.000000000,0 days 00:01:53.000000000
3165,Structure Fire,0 days 23:17:42.000000000,0 days 23:18:55.000000000,0 days 00:01:13.000000000
3166,Medical Incident,0 days 03:14:41.000000000,0 days 03:16:57.000000000,0 days 00:02:16.000000000
3167,Water Rescue,0 days 10:19:35.000000000,0 days 10:22:45.000000000,0 days 00:03:10.000000000
3168,Medical Incident,0 days 15:21:53.000000000,0 days 15:22:00.000000000,0 days 00:00:07.000000000
3169,Medical Incident,0 days 05:31:39.000000000,0 days 05:33:59.000000000,0 days 00:02:20.000000000
3170,Alarms,0 days 12:02:48.000000000,0 days 12:04:23.000000000,0 days 00:01:35.000000000
3171,Medical Incident,0 days 10:13:53.000000000,0 days 10:14:33.000000000,0 days 00:00:40.000000000
3172,Medical Incident,0 days 22:11:49.000000000,0 days 22:26:16.000000000,0 days 00:14:27.000000000
3173,Traffic Collision,0 days 07:08:20.000000000,0 days 07:08:33.000000000,0 days 00:00:13.000000000
3174,Traffic Collision,0 days 16:38:20.000000000,0 days 16:40:04.000000000,0 days 00:01:44.000000000
3175,Medical Incident,0 days 15:08:18.000000000,0 days 15:11:43.000000000,0 days 00:03:25.000000000
3176,Medical Incident,0 days 02:24:02.000000000,0 days 02:25:02.000000000,0 days 00:01:00.000000000
3177,Alarms,0 days 04:25:58.000000000,0 days 04:28:47.000000000,0 days 00:02:49.000000000
3178,Medical Incident,0 days 05:22:15.000000000,0 days 05:23:14.000000000,0 days 00:00:59.000000000
3179,Traffic Collision,0 days 15:53:34.000000000,0 days 15:54:01.000000000,0 days 00:00:27.000000000
3180,Medical Incident,0 days 14:25:19.000000000,0 days 14:25:57.000000000,0 days 00:00:38.000000000
3181,Alarms,0 days 18:25:02.000000000,0 days 18:26:25.000000000,0 days 00:01:23.000000000
3182,Medical Incident,0 days 21:32:38.000000000,0 days 21:34:06.000000000,0 days 00:01:28.000000000
3183,Train / Rail Incident,0 days 04:53:54.000000000,0 days 05:15:06.000000000,0 days 00:21:12.000000000
3184,Medical Incident,0 days 13:20:40.000000000,0 days 13:22:16.000000000,0 days 00:01:36.000000000
3185,Medical Incident,0 days 00:57:29.000000000,0 days 00:58:01.000000000,0 days 00:00:32.000000000
3186,Medical Incident,0 days 07:55:01.000000000,0 days 07:58:38.000000000,0 days 00:03:37.000000000
3187,Medical Incident,0 days 11:24:36.000000000,0 days 11:24:52.000000000,0 days 00:00:16.000000000
3188,Fuel Spill,0 days 12:19:03.000000000,0 days 12:23:27.000000000,0 days 00:04:24.000000000
3189,Medical Incident,0 days 22:00:12.000000000,0 days 22:00:59.000000000,0 days 00:00:47.000000000
3190,Medical Incident,0 days 19:41:53.000000000,0 days 19:46:15.000000000,0 days 00:04:22.000000000
3191,Medical Incident,0 days 01:48:59.000000000,0 days 01:49:49.000000000,0 days 00:00:50.000000000
3192,Medical Incident,0 days 07:47:27.000000000,0 days 07:49:14.000000000,0 days 00:01:47.000000000
3193,Medical Incident,0 days 22:22:34.000000000,0 days 22:23:27.000000000,0 days 00:00:53.000000000
3194,Medical Incident,0 days 21:32:26.000000000,0 days 21:35:33.000000000,0 days 00:03:07.000000000
3195,Medical Incident,0 days 00:11:46.000000000,0 days 00:14:51.000000000,0 days 00:03:05.000000000
3196,Alarms,0 days 10:56:16.000000000,0 days 10:58:17.000000000,0 days 00:02:01.000000000
3197,Medical Incident,0 days 15:06:02.000000000,0 days 15:07:44.000000000,0 days 00:01:42.000000000
3198,Alarms,0 days 15:55:46.000000000,0 days 15:57:38.000000000,0 days 00:01:52.000000000
3199,Medical Incident,0 days 12:17:12.000000000,0 days 12:18:37.000000000,0 days 00:01:25.000000000
3200,Medical Incident,0 days 13:20:40.000000000,0 days 13:22:16.000000000,0 days 00:01:36.000000000
3201,Medical Incident,0 days 15:08:46.000000000,0 days 15:09:21.000000000,0 days 00:00:35.000000000
3202,Medical Incident,0 days 14:25:19.000000000,0 days 14:25:57.000000000,0 days 00:00:38.000000000
3203,Medical Incident,0 days 12:00:03.000000000,0 days 12:00:46.000000000,0 days 00:00:43.000000000
3204,Medical Incident,0 days 00:36:42.000000000,0 days 00:38:12.000000000,0 days 00:01:30.000000000
3205,Medical Incident,0 days 23:16:54.000000000,0 days 23:20:00.000000000,0 days 00:03:06.000000000
3206,Medical Incident,0 days 22:52:43.000000000,0 days 23:07:42.000000000,0 days 00:14:59.000000000
3207,Medical Incident,0 days 15:48:39.000000000,0 days 15:51:08.000000000,0 days 00:02:29.000000000
3208,Medical Incident,0 days 21:05:44.000000000,0 days 21:10:17.000000000,0 days 00:04:33.000000000
3209,Structure Fire,0 days 12:03:12.000000000,0 days 12:05:38.000000000,0 days 00:02:26.000000000
3210,Medical Incident,0 days 16:43:11.000000000,0 days 16:47:33.000000000,0 days 00:04:22.000000000
3211,Medical Incident,0 days 21:01:30.000000000,0 days 21:03:57.000000000,0 days 00:02:27.000000000
3212,Structure Fire,0 days 23:25:39.000000000,0 days 23:30:43.000000000,0 days 00:05:04.000000000
3213,Medical Incident,0 days 23:05:52.000000000,0 days 23:11:01.000000000,0 days 00:05:09.000000000
3214,Train / Rail Incident,0 days 04:53:54.000000000,0 days 05:15:06.000000000,0 days 00:21:12.000000000
3215,Traffic Collision,0 days 20:43:36.000000000,0 days 20:46:10.000000000,0 days 00:02:34.000000000
3216,Train / Rail Incident,0 days 04:53:54.000000000,0 days 05:15:06.000000000,0 days 00:21:12.000000000
3217,Medical Incident,0 days 05:22:15.000000000,0 days 05:23:14.000000000,0 days 00:00:59.000000000
3218,Gas Leak (Natural and LP Gases),0 days 14:05:56.000000000,0 days 14:08:16.000000000,0 days 00:02:20.000000000
3219,Medical Incident,0 days 15:49:19.000000000,0 days 15:50:30.000000000,0 days 00:01:11.000000000
3220,Alarms,0 days 04:17:47.000000000,0 days 04:20:14.000000000,0 days 00:02:27.000000000
3221,Medical Incident,0 days 17:12:28.000000000,0 days 17:13:29.000000000,0 days 00:01:01.000000000
3222,Outside Fire,0 days 20:59:59.000000000,0 days 21:03:28.000000000,0 days 00:03:29.000000000
3223,Train / Rail Incident,0 days 04:53:54.000000000,0 days 05:15:06.000000000,0 days 00:21:12.000000000
3224,Medical Incident,0 days 01:08:09.000000000,0 days 01:12:44.000000000,0 days 00:04:35.000000000
3225,Structure Fire,0 days 13:27:31.000000000,0 days 13:27:36.000000000,0 days 00:00:05.000000000
3226,Medical Incident,0 days 08:42:05.000000000,0 days 08:43:37.000000000,0 days 00:01:32.000000000
3227,Medical Incident,0 days 12:22:02.000000000,0 days 12:23:55.000000000,0 days 00:01:53.000000000
3228,Medical Incident,0 days 07:09:35.000000000,0 days 07:10:34.000000000,0 days 00:00:59.000000000
3229,Medical Incident,0 days 05:18:45.000000000,0 days 05:19:05.000000000,0 days 00:00:20.000000000
3230,Medical Incident,0 days 08:23:21.000000000,0 days 08:26:45.000000000,0 days 00:03:24.000000000
3231,Medical Incident,0 days 09:53:14.000000000,0 days 09:55:27.000000000,0 days 00:02:13.000000000
3232,Medical Incident,0 days 16:13:07.000000000,0 days 16:16:44.000000000,0 days 00:03:37.000000000
3233,Medical Incident,0 days 17:44:50.000000000,0 days 17:48:58.000000000,0 days 00:04:08.000000000
3234,Medical Incident,0 days 11:42:51.000000000,0 days 11:44:02.000000000,0 days 00:01:11.000000000
3235,Alarms,0 days 23:12:05.000000000,0 days 23:14:08.000000000,0 days 00:02:03.000000000
3236,Medical Incident,0 days 20:39:34.000000000,0 days 20:41:56.000000000,0 days 00:02:22.000000000
3237,Medical Incident,0 days 14:51:38.000000000,0 days 14:54:44.000000000,0 days 00:03:06.000000000
3238,Medical Incident,0 days 19:06:31.000000000,0 days 19:09:23.000000000,0 days 00:02:52.000000000
3239,Medical Incident,0 days 20:16:01.000000000,0 days 20:17:04.000000000,0 days 00:01:03.000000000
3240,Medical Incident,0 days 22:02:16.000000000,0 days 22:10:38.000000000,0 days 00:08:22.000000000
3241,Medical Incident,0 days 19:34:24.000000000,0 days 19:36:07.000000000,0 days 00:01:43.000000000
3242,Medical Incident,0 days 19:28:34.000000000,0 days 19:31:47.000000000,0 days 00:03:13.000000000
3243,Medical Incident,0 days 11:42:16.000000000,0 days 11:43:50.000000000,0 days 00:01:34.000000000
3244,Medical Incident,0 days 22:43:37.000000000,0 days 22:45:41.000000000,0 days 00:02:04.000000000
3245,Medical Incident,0 days 04:14:19.000000000,0 days 04:14:35.000000000,0 days 00:00:16.000000000
3246,Medical Incident,0 days 16:15:49.000000000,0 days 16:16:14.000000000,0 days 00:00:25.000000000
3247,Alarms,0 days 10:19:57.000000000,0 days 10:23:44.000000000,0 days 00:03:47.000000000
3248,Traffic Collision,0 days 18:53:26.000000000,0 days 18:53:55.000000000,0 days 00:00:29.000000000
3249,Medical Incident,0 days 18:29:45.000000000,0 days 18:32:11.000000000,0 days 00:02:26.000000000
3250,Medical Incident,0 days 20:42:49.000000000,0 days 20:43:21.000000000,0 days 00:00:32.000000000
3251,Medical Incident,0 days 10:15:19.000000000,0 days 10:18:07.000000000,0 days 00:02:48.000000000
3252,Medical Incident,0 days 17:43:06.000000000,0 days 17:43:41.000000000,0 days 00:00:35.000000000
3253,Alarms,0 days 04:25:58.000000000,0 days 04:30:26.000000000,0 days 00:04:28.000000000
3254,Medical Incident,0 days 17:40:05.000000000,0 days 17:42:04.000000000,0 days 00:01:59.000000000
3255,Structure Fire,0 days 23:17:42.000000000,0 days 23:18:55.000000000,0 days 00:01:13.000000000
3256,Train / Rail Incident,0 days 04:53:54.000000000,0 days 05:15:06.000000000,0 days 00:21:12.000000000
3257,Medical Incident,0 days 22:02:16.000000000,0 days 22:10:38.000000000,0 days 00:08:22.000000000
3258,Medical Incident,0 days 22:19:08.000000000,0 days 22:21:25.000000000,0 days 00:02:17.000000000
3259,Medical Incident,0 days 03:02:03.000000000,0 days 03:02:38.000000000,0 days 00:00:35.000000000
3260,Structure Fire,0 days 23:17:42.000000000,0 days 23:18:55.000000000,0 days 00:01:13.000000000
3261,Medical Incident,0 days 22:06:44.000000000,0 days 22:09:10.000000000,0 days 00:02:26.000000000
3262,Medical Incident,0 days 07:55:01.000000000,0 days 07:56:57.000000000,0 days 00:01:56.000000000
3263,Alarms,0 days 10:36:23.000000000,0 days 10:37:44.000000000,0 days 00:01:21.000000000
3264,Medical Incident,0 days 09:59:46.000000000,0 days 10:00:57.000000000,0 days 00:01:11.000000000
3265,Medical Incident,0 days 16:24:19.000000000,0 days 16:27:13.000000000,0 days 00:02:54.000000000
3266,Medical Incident,0 days 11:34:54.000000000,0 days 11:40:29.000000000,0 days 00:05:35.000000000
3267,Medical Incident,0 days 19:11:15.000000000,0 days 19:14:33.000000000,0 days 00:03:18.000000000
3268,Alarms,0 days 23:13:02.000000000,0 days 23:14:36.000000000,0 days 00:01:34.000000000
3269,Medical Incident,0 days 21:29:01.000000000,0 days 21:30:37.000000000,0 days 00:01:36.000000000
3270,Outside Fire,0 days 01:54:22.000000000,0 days 01:57:24.000000000,0 days 00:03:02.000000000
3271,Structure Fire,0 days 23:17:42.000000000,0 days 23:18:55.000000000,0 days 00:01:13.000000000
3272,Medical Incident,0 days 16:58:20.000000000,0 days 17:07:17.000000000,0 days 00:08:57.000000000
3273,Medical Incident,0 days 19:26:01.000000000,0 days 19:28:05.000000000,0 days 00:02:04.000000000
3274,Medical Incident,0 days 15:31:22.000000000,0 days 15:31:59.000000000,0 days 00:00:37.000000000
3275,Medical Incident,0 days 08:59:51.000000000,0 days 09:09:13.000000000,0 days 00:09:22.000000000
3276,Medical Incident,0 days 17:56:37.000000000,0 days 18:01:02.000000000,0 days 00:04:25.000000000
3277,Traffic Collision,0 days 12:23:11.000000000,0 days 12:25:28.000000000,0 days 00:02:17.000000000
3278,Medical Incident,0 days 20:45:17.000000000,0 days 20:49:45.000000000,0 days 00:04:28.000000000
3279,Gas Leak (Natural and LP Gases),0 days 12:02:23.000000000,0 days 12:03:04.000000000,0 days 00:00:41.000000000
3280,Gas Leak (Natural and LP Gases),0 days 12:02:23.000000000,0 days 12:03:04.000000000,0 days 00:00:41.000000000
3281,Medical Incident,0 days 02:27:26.000000000,0 days 02:30:43.000000000,0 days 00:03:17.000000000
3282,Medical Incident,0 days 12:35:54.000000000,0 days 12:36:32.000000000,0 days 00:00:38.000000000
3283,Medical Incident,0 days 02:01:34.000000000,0 days 02:03:16.000000000,0 days 00:01:42.000000000
3284,Medical Incident,0 days 15:40:29.000000000,0 days 15:42:41.000000000,0 days 00:02:12.000000000
3285,Medical Incident,0 days 10:31:08.000000000,0 days 10:32:15.000000000,0 days 00:01:07.000000000
3286,Structure Fire,0 days 21:04:50.000000000,0 days 21:06:30.000000000,0 days 00:01:40.000000000
3287,Gas Leak (Natural and LP Gases),0 days 12:02:23.000000000,0 days 12:03:04.000000000,0 days 00:00:41.000000000
3288,Structure Fire,0 days 23:25:39.000000000,0 days 23:29:29.000000000,0 days 00:03:50.000000000
3289,Structure Fire,0 days 23:25:39.000000000,0 days 23:29:29.000000000,0 days 00:03:50.000000000
3290,Medical Incident,0 days 13:03:34.000000000,0 days 13:06:28.000000000,0 days 00:02:54.000000000
3291,Medical Incident,0 days 12:54:46.000000000,0 days 12:54:46.000000000,0 days 00:00:00.000000000
3292,Structure Fire,0 days 10:07:29.000000000,0 days 10:08:58.000000000,0 days 00:01:29.000000000
3293,Medical Incident,0 days 18:56:34.000000000,0 days 18:59:56.000000000,0 days 00:03:22.000000000
3294,Medical Incident,0 days 11:09:44.000000000,0 days 11:12:09.000000000,0 days 00:02:25.000000000
3295,Alarms,0 days 16:03:48.000000000,0 days 16:06:13.000000000,0 days 00:02:25.000000000
3296,Medical Incident,0 days 18:22:34.000000000,0 days 18:24:07.000000000,0 days 00:01:33.000000000
3297,Traffic Collision,0 days 07:35:58.000000000,0 days 07:37:36.000000000,0 days 00:01:38.000000000
3298,Medical Incident,0 days 03:36:51.000000000,0 days 03:50:16.000000000,0 days 00:13:25.000000000
3299,Medical Incident,0 days 11:18:08.000000000,0 days 11:19:46.000000000,0 days 00:01:38.000000000
3300,Outside Fire,0 days 19:41:59.000000000,0 days 19:43:36.000000000,0 days 00:01:37.000000000
3301,Medical Incident,0 days 16:31:49.000000000,0 days 16:34:32.000000000,0 days 00:02:43.000000000
3302,Structure Fire,0 days 05:47:33.000000000,0 days 05:48:34.000000000,0 days 00:01:01.000000000
3303,Medical Incident,0 days 22:49:17.000000000,0 days 22:51:23.000000000,0 days 00:02:06.000000000
3304,Structure Fire,0 days 13:29:45.000000000,0 days 13:40:05.000000000,0 days 00:10:20.000000000
3305,Medical Incident,0 days 07:47:58.000000000,0 days 07:50:17.000000000,0 days 00:02:19.000000000
3306,Structure Fire,0 days 05:47:33.000000000,0 days 05:48:34.000000000,0 days 00:01:01.000000000
3307,Medical Incident,0 days 06:13:45.000000000,0 days 06:16:40.000000000,0 days 00:02:55.000000000
3308,Medical Incident,0 days 08:11:16.000000000,0 days 08:11:36.000000000,0 days 00:00:20.000000000
3309,Other,0 days 15:15:00.000000000,0 days 15:15:44.000000000,0 days 00:00:44.000000000
3310,Medical Incident,0 days 10:59:27.000000000,0 days 11:02:09.000000000,0 days 00:02:42.000000000
3311,Medical Incident,0 days 17:42:18.000000000,0 days 17:45:05.000000000,0 days 00:02:47.000000000
3312,Traffic Collision,0 days 03:16:15.000000000,0 days 03:20:43.000000000,0 days 00:04:28.000000000
3313,Medical Incident,0 days 18:12:24.000000000,0 days 18:12:38.000000000,0 days 00:00:14.000000000
3314,Structure Fire,0 days 10:07:29.000000000,0 days 10:08:58.000000000,0 days 00:01:29.000000000
3315,Medical Incident,0 days 02:47:54.000000000,0 days 02:48:13.000000000,0 days 00:00:19.000000000
3316,Structure Fire,0 days 15:06:56.000000000,0 days 15:09:13.000000000,0 days 00:02:17.000000000
3317,Medical Incident,0 days 13:37:12.000000000,0 days 13:47:42.000000000,0 days 00:10:30.000000000
3318,Structure Fire,0 days 15:37:35.000000000,0 days 15:38:35.000000000,0 days 00:01:00.000000000
3319,Train / Rail Incident,0 days 21:57:31.000000000,0 days 04:39:09.000000000,-1 days +06:41:38.000000000
3320,Alarms,0 days 20:45:17.000000000,0 days 20:46:51.000000000,0 days 00:01:34.000000000
3321,Medical Incident,0 days 15:04:14.000000000,0 days 15:04:53.000000000,0 days 00:00:39.000000000
3322,Medical Incident,0 days 09:15:15.000000000,0 days 09:16:39.000000000,0 days 00:01:24.000000000
3323,Medical Incident,0 days 20:30:00.000000000,0 days 20:31:56.000000000,0 days 00:01:56.000000000
3324,Medical Incident,0 days 10:39:55.000000000,0 days 10:42:42.000000000,0 days 00:02:47.000000000
3325,Alarms,0 days 09:24:16.000000000,0 days 09:29:41.000000000,0 days 00:05:25.000000000
3326,Alarms,0 days 07:46:46.000000000,0 days 07:49:44.000000000,0 days 00:02:58.000000000
3327,Train / Rail Incident,0 days 13:48:08.000000000,0 days 14:03:39.000000000,0 days 00:15:31.000000000
3328,Medical Incident,0 days 00:37:51.000000000,0 days 00:38:04.000000000,0 days 00:00:13.000000000
3329,Medical Incident,0 days 05:44:03.000000000,0 days 05:44:11.000000000,0 days 00:00:08.000000000
3330,Medical Incident,0 days 21:14:15.000000000,0 days 21:14:51.000000000,0 days 00:00:36.000000000
3331,Medical Incident,0 days 08:51:07.000000000,0 days 08:52:17.000000000,0 days 00:01:10.000000000
3332,Medical Incident,0 days 06:46:43.000000000,0 days 06:49:27.000000000,0 days 00:02:44.000000000
3333,Medical Incident,0 days 01:28:18.000000000,0 days 01:33:11.000000000,0 days 00:04:53.000000000
3334,Medical Incident,0 days 13:48:00.000000000,0 days 13:49:36.000000000,0 days 00:01:36.000000000
3335,Medical Incident,0 days 15:17:15.000000000,0 days 15:20:24.000000000,0 days 00:03:09.000000000
3336,Medical Incident,0 days 20:51:59.000000000,0 days 20:52:07.000000000,0 days 00:00:08.000000000
3337,Alarms,0 days 09:27:58.000000000,0 days 09:29:43.000000000,0 days 00:01:45.000000000
3338,Alarms,0 days 15:37:30.000000000,0 days 15:39:26.000000000,0 days 00:01:56.000000000
3339,Alarms,0 days 15:57:12.000000000,0 days 15:58:41.000000000,0 days 00:01:29.000000000
3340,Medical Incident,0 days 01:32:23.000000000,0 days 01:32:37.000000000,0 days 00:00:14.000000000
3341,Traffic Collision,0 days 15:10:27.000000000,0 days 15:23:19.000000000,0 days 00:12:52.000000000
3342,Alarms,0 days 09:14:33.000000000,0 days 09:18:33.000000000,0 days 00:04:00.000000000
3343,Medical Incident,0 days 01:01:58.000000000,0 days 01:04:43.000000000,0 days 00:02:45.000000000
3344,Medical Incident,0 days 16:13:14.000000000,0 days 16:16:56.000000000,0 days 00:03:42.000000000
3345,Medical Incident,0 days 19:12:16.000000000,0 days 19:14:23.000000000,0 days 00:02:07.000000000
3346,Medical Incident,0 days 06:59:02.000000000,0 days 07:01:28.000000000,0 days 00:02:26.000000000
3347,Medical Incident,0 days 19:15:08.000000000,0 days 19:17:13.000000000,0 days 00:02:05.000000000
3348,Medical Incident,0 days 22:54:36.000000000,0 days 22:57:00.000000000,0 days 00:02:24.000000000
3349,Structure Fire,0 days 05:47:33.000000000,0 days 05:48:34.000000000,0 days 00:01:01.000000000
3350,Medical Incident,0 days 18:33:44.000000000,0 days 18:38:15.000000000,0 days 00:04:31.000000000
3351,Medical Incident,0 days 18:33:44.000000000,0 days 18:38:15.000000000,0 days 00:04:31.000000000
3352,Structure Fire,0 days 09:54:49.000000000,0 days 09:59:45.000000000,0 days 00:04:56.000000000
3353,Medical Incident,0 days 19:40:45.000000000,0 days 19:41:34.000000000,0 days 00:00:49.000000000
3354,Medical Incident,0 days 12:46:36.000000000,0 days 12:48:49.000000000,0 days 00:02:13.000000000
3355,Medical Incident,0 days 10:11:55.000000000,0 days 10:14:25.000000000,0 days 00:02:30.000000000
3356,Medical Incident,0 days 02:30:46.000000000,0 days 02:33:10.000000000,0 days 00:02:24.000000000
3357,Medical Incident,0 days 14:32:52.000000000,0 days 14:36:16.000000000,0 days 00:03:24.000000000
3358,Medical Incident,0 days 16:14:57.000000000,0 days 16:16:42.000000000,0 days 00:01:45.000000000
3359,Medical Incident,0 days 10:18:11.000000000,0 days 10:19:04.000000000,0 days 00:00:53.000000000
3360,Medical Incident,0 days 19:15:08.000000000,0 days 19:17:13.000000000,0 days 00:02:05.000000000
3361,Alarms,0 days 03:59:25.000000000,0 days 04:01:31.000000000,0 days 00:02:06.000000000
3362,Medical Incident,0 days 17:42:18.000000000,0 days 17:45:05.000000000,0 days 00:02:47.000000000
3363,Structure Fire,0 days 15:06:56.000000000,0 days 15:11:41.000000000,0 days 00:04:45.000000000
3364,Alarms,0 days 14:14:46.000000000,0 days 14:16:26.000000000,0 days 00:01:40.000000000
3365,Medical Incident,0 days 10:18:01.000000000,0 days 10:21:45.000000000,0 days 00:03:44.000000000
3366,Medical Incident,0 days 03:06:42.000000000,0 days 03:11:17.000000000,0 days 00:04:35.000000000
3367,Medical Incident,0 days 23:16:37.000000000,0 days 23:18:27.000000000,0 days 00:01:50.000000000
3368,Medical Incident,0 days 23:04:05.000000000,0 days 23:07:13.000000000,0 days 00:03:08.000000000
3369,Medical Incident,0 days 19:11:30.000000000,0 days 19:14:56.000000000,0 days 00:03:26.000000000
3370,Structure Fire,0 days 10:07:29.000000000,0 days 10:08:58.000000000,0 days 00:01:29.000000000
3371,Medical Incident,0 days 02:30:46.000000000,0 days 02:33:10.000000000,0 days 00:02:24.000000000
3372,Alarms,0 days 20:59:03.000000000,0 days 21:00:53.000000000,0 days 00:01:50.000000000
3373,Medical Incident,0 days 06:50:59.000000000,0 days 06:54:05.000000000,0 days 00:03:06.000000000
3374,Structure Fire,0 days 10:07:29.000000000,0 days 10:08:58.000000000,0 days 00:01:29.000000000
3375,Structure Fire,0 days 15:06:56.000000000,0 days 15:12:45.000000000,0 days 00:05:49.000000000
3376,Medical Incident,0 days 02:59:59.000000000,0 days 03:01:35.000000000,0 days 00:01:36.000000000
3377,Other,0 days 15:15:00.000000000,0 days 15:15:44.000000000,0 days 00:00:44.000000000
3378,Medical Incident,0 days 22:58:12.000000000,0 days 22:59:05.000000000,0 days 00:00:53.000000000
3379,Outside Fire,0 days 23:22:19.000000000,0 days 23:23:06.000000000,0 days 00:00:47.000000000
3380,Medical Incident,0 days 11:03:48.000000000,0 days 11:05:25.000000000,0 days 00:01:37.000000000
3381,Medical Incident,0 days 01:01:58.000000000,0 days 01:06:31.000000000,0 days 00:04:33.000000000
3382,Alarms,0 days 14:07:09.000000000,0 days 14:08:34.000000000,0 days 00:01:25.000000000
3383,Medical Incident,0 days 15:45:20.000000000,0 days 15:47:48.000000000,0 days 00:02:28.000000000
3384,Medical Incident,0 days 15:35:27.000000000,0 days 15:44:55.000000000,0 days 00:09:28.000000000
3385,Structure Fire,0 days 03:56:11.000000000,0 days 03:56:28.000000000,0 days 00:00:17.000000000
3386,Medical Incident,0 days 11:18:53.000000000,0 days 11:21:03.000000000,0 days 00:02:10.000000000
3387,Medical Incident,0 days 20:30:56.000000000,0 days 20:32:28.000000000,0 days 00:01:32.000000000
3388,Medical Incident,0 days 15:48:15.000000000,0 days 15:52:11.000000000,0 days 00:03:56.000000000
3389,Alarms,0 days 01:56:32.000000000,0 days 01:57:55.000000000,0 days 00:01:23.000000000
3390,Medical Incident,0 days 23:01:39.000000000,0 days 23:05:39.000000000,0 days 00:04:00.000000000
3391,Alarms,0 days 03:59:25.000000000,0 days 04:01:31.000000000,0 days 00:02:06.000000000
3392,Structure Fire,0 days 17:26:24.000000000,0 days 17:26:34.000000000,0 days 00:00:10.000000000
3393,Medical Incident,0 days 15:05:34.000000000,0 days 15:10:05.000000000,0 days 00:04:31.000000000
3394,Medical Incident,0 days 06:37:35.000000000,0 days 06:39:45.000000000,0 days 00:02:10.000000000
3395,Medical Incident,0 days 06:48:07.000000000,0 days 06:49:48.000000000,0 days 00:01:41.000000000
3396,Alarms,0 days 10:42:09.000000000,0 days 10:44:06.000000000,0 days 00:01:57.000000000
3397,Medical Incident,0 days 11:06:16.000000000,0 days 11:10:06.000000000,0 days 00:03:50.000000000
3398,Medical Incident,0 days 14:25:41.000000000,0 days 14:27:32.000000000,0 days 00:01:51.000000000
3399,Medical Incident,0 days 20:30:00.000000000,0 days 20:31:56.000000000,0 days 00:01:56.000000000
3400,Medical Incident,0 days 03:05:00.000000000,0 days 03:07:42.000000000,0 days 00:02:42.000000000
3401,Structure Fire,0 days 09:54:49.000000000,0 days 09:58:36.000000000,0 days 00:03:47.000000000
3402,Medical Incident,0 days 17:22:42.000000000,0 days 17:23:34.000000000,0 days 00:00:52.000000000
3403,Other,0 days 15:15:00.000000000,0 days 15:15:44.000000000,0 days 00:00:44.000000000
3404,Medical Incident,0 days 20:03:00.000000000,0 days 20:06:24.000000000,0 days 00:03:24.000000000
3405,Gas Leak (Natural and LP Gases),0 days 18:20:45.000000000,0 days 18:22:27.000000000,0 days 00:01:42.000000000
3406,Medical Incident,0 days 02:20:15.000000000,0 days 02:20:33.000000000,0 days 00:00:18.000000000
3407,Alarms,0 days 14:07:09.000000000,0 days 14:08:34.000000000,0 days 00:01:25.000000000
3408,Other,0 days 15:15:00.000000000,0 days 15:15:44.000000000,0 days 00:00:44.000000000
3409,Medical Incident,0 days 13:21:48.000000000,0 days 13:25:02.000000000,0 days 00:03:14.000000000
3410,Medical Incident,0 days 23:25:15.000000000,0 days 23:29:01.000000000,0 days 00:03:46.000000000
3411,Train / Rail Incident,0 days 13:48:08.000000000,0 days 14:03:39.000000000,0 days 00:15:31.000000000
