call_type,latitude,longitude,zipcode_of_incident,,row_id
Medical Incident,37.72976037,-122.3733604,94124,,180211505-E17
Structure Fire,37.79531294,-122.3979748,94111,,180210314-T13
Alarms,37.73448127,-122.3919121,94124,,180212555-E17
Medical Incident,37.78398364,-122.446072,94115,,180212054-E10
Medical Incident,37.78318152,-122.437809,94115,,180211444-E21
Alarms,37.80539124,-122.4448002,94123,,180211181-E51
Traffic Collision,37.77903729,-122.41062,94103,,180211524-87
Fuel Spill,37.78853817,-122.4362964,94115,,180211455-B04
Outside Fire,37.76088893,-122.4350007,94114,,180210528-B05
Alarms,37.72713728,-122.378969,94124,,180210437-T17
Medical Incident,37.78087726,-122.4145069,94102,,180212150-E03
Medical Incident,37.77996805,-122.4269014,94102,,180211054-RC1
Medical Incident,37.78384277,-122.4227674,94109,,180210520-AM124
Medical Incident,37.79318061,-122.4081471,94108,,180213336-RC3
Gas Leak (Natural and LP Gases),37.77993369,-122.428614,94115,,180211822-T05
Train / Rail Incident,37.79267912,-122.3968535,94105,,180210483-E02
Medical Incident,37.77771244,-122.4127367,94103,,180211511-E01
Medical Incident,37.77774474,-122.439207,94115,,180212291-E21
Medical Incident,37.76972086,-122.4179492,94103,,180210773-57
Outside Fire,37.73015769,-122.3759892,94124,,180210250-E17
Medical Incident,37.78626844,-122.4129972,94102,,180213512-E03
Medical Incident,37.74747921,-122.4813063,94116,,180210978-E40
Medical Incident,37.77753424,-122.4408637,94115,,180212322-T10
Medical Incident,37.78034755,-122.406488,94103,,180212892-82
Water Rescue,37.79804495,-122.3963671,94111,,180211077-E13
Medical Incident,37.75210113,-122.4008952,94107,,180210526-57
Medical Incident,37.72200064,-122.4394357,94112,,180213361-T15
Alarms,37.76497779,-122.4664456,94122,,180212178-B08
Medical Incident,37.78114586,-122.409026,94103,,180210839-AM106
Structure Fire,37.76642861,-122.45211,94117,,180213526-E12
Medical Incident,37.77779521,-122.3915231,94107,,180210108-AM120
Water Rescue,37.79804495,-122.3963671,94111,,180211077-FB1
Medical Incident,37.74790059,-122.4717535,94116,,180210047-E22
Medical Incident,37.74790059,-122.4717535,94116,,180210047-63
Structure Fire,37.80440729,-122.4133589,94133,,180212391-E28
Medical Incident,37.78153743,-122.4095183,94103,,180212963-B02
Medical Incident,37.76929129,-122.4065158,94103,,180210657-63
Medical Incident,37.73238073,-122.378268,94124,,180211640-60
Medical Incident,37.78331089,-122.4175288,94109,,180211542-E36
Medical Incident,37.72847605,-122.4154293,94134,,180211172-63
Medical Incident,37.77667245,-122.3945574,94107,,180212792-82
Medical Incident,37.76010129,-122.4214252,94110,,180213231-85
Medical Incident,37.7731448,-122.3914729,94158,,180210928-E04
Medical Incident,37.77021017,-122.445345,94117,,180212283-KM11
Medical Incident,37.79307213,-122.4081252,94108,,180211751-T02
Medical Incident,37.72993469,-122.3977444,94124,,180213272-85
Medical Incident,37.7890669,-122.3923394,94105,,180210580-E01
Medical Incident,37.76625361,-122.425864,94103,,180211309-64
Medical Incident,37.75483798,-122.4153277,94110,,180213462-55
Medical Incident,37.77644368,-122.4097748,94103,,180211081-KM02
Citizen Assist / Service Call,37.7817321,-122.4697676,94118,,180213098-E31
Water Rescue,37.79804495,-122.3963671,94111,,180211077-E02
Medical Incident,37.77604635,-122.4112888,94103,,180210315-E01
Medical Incident,37.73753926,-122.4003985,94124,,180212142-52
Medical Incident,37.72976037,-122.3733604,94124,,180211505-T17
Alarms,37.76712423,-122.39764,94107,,180211082-B03
Medical Incident,37.77973891,-122.4071595,94103,,180210661-E01
Medical Incident,37.79215071,-122.3944511,94105,,180213437-65
Alarms,37.79824546,-122.4357937,94123,,180211120-E51
Alarms,37.76712423,-122.39764,94107,,180211082-E29
Alarms,37.75517394,-122.4766224,94122,,180211159-B08
Medical Incident,37.7459563,-122.4542399,94131,,180213191-E39
Medical Incident,37.77514707,-122.4192556,94103,,180211787-AM114
Medical Incident,37.7850961,-122.4127588,94102,,180210647-62
Medical Incident,37.76177683,-122.4351517,94114,,180210445-E06
Medical Incident,37.78578701,-122.4125478,94102,,180213058-E03
Medical Incident,37.77985107,-122.5094329,94121,,180211907-SR34
Medical Incident,37.79046107,-122.3966897,94105,,180210407-63
Medical Incident,37.80858332,-122.4159225,94133,,180212675-E28
Medical Incident,37.73520816,-122.4117059,94110,,180213255-RC3
Medical Incident,37.78626844,-122.4129972,94102,,180213512-87
Medical Incident,37.77530725,-122.4574433,94118,,180211211-60
Outside Fire,37.78079148,-122.3996162,94107,,180211533-E01
Medical Incident,37.78153743,-122.4095183,94103,,180212963-T01
Traffic Collision,37.73243402,-122.3838033,94124,,180213084-KM01
Medical Incident,37.8038818,-122.4148703,94133,,180211928-AM108
Medical Incident,37.75210113,-122.4008952,94107,,180210526-65
Elevator / Escalator Rescue,37.7875045,-122.4141637,94109,,180212031-T03
Medical Incident,37.7650299,-122.4652417,94122,,180212710-KM06
Medical Incident,37.78086102,-122.4890161,94121,,180212847-E14
Medical Incident,37.78502466,-122.4119719,94102,,180210845-AM108
Medical Incident,37.71700209,-122.4679573,94132,,180212960-E33
Outside Fire,37.7423754,-122.4219688,94110,,180213167-E32
Medical Incident,37.7136148,-122.4643245,94132,,180210828-50
Alarms,37.71650618,-122.3904178,94124,,180210725-B10
Alarms,37.74795863,-122.467418,94116,,180212815-T18
Other,37.75703373,-122.4767584,94122,,180213004-E40
Structure Fire,37.76642861,-122.45211,94117,,180213526-E21
Traffic Collision,37.76559292,-122.4740453,94122,,180212357-61
Medical Incident,37.77771244,-122.4127367,94103,,180211511-RC1
Medical Incident,37.8079431,-122.4141381,94133,,180210673-E28
Medical Incident,37.79559693,-122.3961809,94111,,180210031-89
Medical Incident,37.76775042,-122.4295304,94114,,180212714-EMS6
Medical Incident,37.76103977,-122.4192137,94110,,180210356-85
Medical Incident,37.78491618,-122.41195,94102,,180210728-KM11
Alarms,37.76846225,-122.4312049,94114,,180212729-B02
Medical Incident,37.78480739,-122.4136154,94102,,180213550-E03
Medical Incident,37.75021164,-122.4463912,94131,,180211438-E24
Medical Incident,37.74917218,-122.4159546,94110,,180210221-78
Medical Incident,37.74790059,-122.4717535,94116,,180210047-55
Medical Incident,37.72063221,-122.437984,94112,,180212429-64
Medical Incident,37.75021164,-122.4463912,94131,,180211438-95
Gas Leak (Natural and LP Gases),37.77993369,-122.428614,94115,,180211822-B02
Medical Incident,37.76974505,-122.4451837,94117,,180211300-KM08
Medical Incident,37.78397351,-122.4160455,94109,,180212798-AM120
Alarms,37.79824546,-122.4357937,94123,,180211120-T05
Traffic Collision,37.77290912,-122.4221864,94103,,180213062-E36
Medical Incident,37.73588581,-122.3827051,94124,,180210081-E17
Alarms,37.79400711,-122.4332497,94115,,180210424-E38
Citizen Assist / Service Call,37.72773347,-122.3932328,94124,,180210412-E17
Medical Incident,37.78331089,-122.4175288,94109,,180211542-T03
Medical Incident,37.78480739,-122.4136154,94102,,180213550-AM124
Medical Incident,37.78331041,-122.3883799,94107,,180213214-82
Medical Incident,37.74093462,-122.5023423,94116,,180210664-AM124
Structure Fire,37.78486624,-122.4127821,94102,,180211402-E41
Medical Incident,37.78331089,-122.4175288,94109,,180211542-77
Train / Rail Incident,37.79267912,-122.3968535,94105,,180210483-T13
Medical Incident,37.77143376,-122.4277809,94102,,180211103-E06
Medical Incident,37.78791853,-122.4042776,94108,,180211071-E13
Alarms,37.77055901,-122.4179496,94103,,180210891-E36
Medical Incident,37.78316343,-122.4115993,94102,,180213287-82
Structure Fire,37.76642861,-122.45211,94117,,180213526-D2
Medical Incident,37.78276323,-122.4274692,94109,,180211108-KM11
Medical Incident,37.79215726,-122.4192434,94109,,180212392-E41
Medical Incident,37.78315191,-122.4183443,94102,,180212581-T03
Alarms,37.77685246,-122.419455,94102,,180210297-B02
Structure Fire,37.80531094,-122.4126984,94133,,180213514-E41
Medical Incident,37.72243161,-122.3956228,94124,,180211959-65
Medical Incident,37.79046318,-122.4059415,94108,,180211911-KM06
Medical Incident,37.79851107,-122.4097691,94133,,180210061-AM124
Medical Incident,37.79662477,-122.4311823,94123,,180211367-AM108
Outside Fire,37.72497357,-122.3933588,94124,,180211039-E17
Citizen Assist / Service Call,37.75354618,-122.3972118,94107,,180212289-E37
Alarms,37.76497779,-122.4664456,94122,,180212178-E22
Medical Incident,37.75810086,-122.4145468,94110,,180212713-AM114
Alarms,37.76846225,-122.4312049,94114,,180212729-T06
Medical Incident,37.80858332,-122.4159225,94133,,180212675-KM02
Medical Incident,37.77530725,-122.4574433,94118,,180211211-E21
Alarms,37.74795863,-122.467418,94116,,180212815-B08
Medical Incident,37.78331041,-122.3883799,94107,,180213214-E35
Medical Incident,37.73238073,-122.378268,94124,,180210903-70
Medical Incident,37.77143376,-122.4277809,94102,,180211103-E05
Medical Incident,37.73663509,-122.4940538,94116,,180212592-AM116
Medical Incident,37.73250288,-122.3843562,94124,,180213241-55
Alarms,37.76698711,-122.4278572,94114,,180211558-T06
Medical Incident,37.79267912,-122.3968535,94105,,180212268-AM114
Medical Incident,37.75050064,-122.4071312,94110,,180210566-82
Medical Incident,37.7882227,-122.4202104,94109,,180210257-E41
Alarms,37.756508,-122.406541,94110,,180212970-T09
Medical Incident,37.7953353,-122.3973622,94111,,180210969-E13
Medical Incident,37.82472164,-122.3749664,94130,,180212563-E48
Medical Incident,37.77674184,-122.4953117,94121,,180212577-77
Alarms,37.79388531,-122.4128518,94108,,180211662-B01
Medical Incident,37.71763115,-122.4052314,94134,,180210318-65
Medical Incident,37.8031354,-122.4181511,94109,,180211930-88
Medical Incident,37.72265444,-122.454042,94112,,180211011-54
Structure Fire,37.78486624,-122.4127821,94102,,180211402-E01
Medical Incident,37.76941119,-122.4109311,94103,,180210525-E29
Medical Incident,37.77000761,-122.4469338,94117,,180211876-AM102
Medical Incident,37.79053181,-122.4039142,94108,,180213145-AM120
Structure Fire,37.72623625,-122.4336236,94112,,180211872-T15
Outside Fire,37.74616295,-122.3940489,94124,,180210010-B10
Traffic Collision,37.77903729,-122.41062,94103,,180211524-E29
Medical Incident,37.8038818,-122.4148703,94133,,180211928-E02
Alarms,37.75517394,-122.4766224,94122,,180211159-T18
Medical Incident,37.77507443,-122.421768,94102,,180213560-KM07
Alarms,37.78983683,-122.4033445,94104,,180212085-T13
Medical Incident,37.76183586,-122.4193593,94110,,180212570-76
Medical Incident,37.79184209,-122.3949402,94105,,180210851-E35
Medical Incident,37.78003891,-122.4319778,94115,,180212649-E21
Alarms,37.79883609,-122.4062732,94133,,180213502-B01
Medical Incident,37.77953108,-122.4135425,94103,,180211107-50
Medical Incident,37.77985107,-122.5094329,94121,,180211907-57
Medical Incident,37.78906674,-122.4094078,94102,,180210125-62
Medical Incident,37.76338698,-122.4532469,94117,,180211823-95
Medical Incident,37.82903246,-122.374358,94130,,180210993-E48
Medical Incident,37.7586966,-122.3970571,94107,,180212922-E37
Medical Incident,37.73520816,-122.4117059,94110,,180213255-E32
Medical Incident,37.73745474,-122.4752886,94132,,180210786-E40
Alarms,37.73563597,-122.4184659,94110,,180213501-E32
Medical Incident,37.76310298,-122.4663147,94122,,180211838-E22
Structure Fire,37.78640961,-122.4080362,94102,,180210681-T03
Medical Incident,37.7731448,-122.3914729,94158,,180210928-60
Fuel Spill,37.78853817,-122.4362964,94115,,180211455-E38
Alarms,37.78983683,-122.4033445,94104,,180212085-B01
Structure Fire,37.78640961,-122.4080362,94102,,180210091-T01
Medical Incident,37.71226467,-122.4729324,94132,,180210955-61
Medical Incident,37.78845058,-122.4075972,94108,,180212049-82
Medical Incident,37.76613439,-122.4219351,94103,,180212718-KM01
Medical Incident,37.79176907,-122.4294268,94115,,180213328-E38
Medical Incident,37.78890961,-122.4186559,94109,,180210853-AM108
Medical Incident,37.77985107,-122.5094329,94121,,180211907-E34
Medical Incident,37.79508163,-122.4014666,94111,,180210810-E13
Medical Incident,37.72847605,-122.4154293,94134,,180211172-E42
Alarms,37.79400711,-122.4332497,94115,,180210424-T05
Structure Fire,37.78640961,-122.4080362,94102,,180210083-E03
Medical Incident,37.76613439,-122.4219351,94103,,180212718-E06
Medical Incident,37.80561471,-122.4177576,94133,,180210137-72
Medical Incident,37.78399834,-122.4177311,94109,,180210167-KM07
Structure Fire,37.80440729,-122.4133589,94133,,180212391-E02
Traffic Collision,37.7696026,-122.4263094,94114,,180212836-E05
Alarms,37.79510065,-122.4048478,94111,,180210128-B01
Alarms,37.79400711,-122.4332497,94115,,180210395-E38
Medical Incident,37.7887501,-122.4194704,94109,,180210814-E03
Medical Incident,37.73753926,-122.4003985,94124,,180211375-65
Medical Incident,37.74957409,-122.476228,94116,,180210023-E40
Medical Incident,37.77771244,-122.4127367,94103,,180211649-RS1
Water Rescue,37.79804495,-122.3963671,94111,,180211077-T13
Medical Incident,37.73585265,-122.4369151,94131,,180212008-E26
Train / Rail Incident,37.79267912,-122.3968535,94105,,180210483-T04
Medical Incident,37.77333766,-122.4091485,94103,,180213256-53
Medical Incident,37.78418669,-122.4185462,94109,,180212928-AM110
Structure Fire,37.80440729,-122.4133589,94133,,180212391-63
Smoke Investigation (Outside),37.78677895,-122.398257,94105,,180211604-E35
Medical Incident,37.71763115,-122.4052314,94134,,180210327-75
Structure Fire,37.72623625,-122.4336236,94112,,180211872-E43
Medical Incident,37.795649,-122.4091987,94108,,180211712-E02
Medical Incident,37.77000761,-122.4469338,94117,,180211876-KM11
Medical Incident,37.75909266,-122.4381124,94114,,180212982-83
Medical Incident,37.77604635,-122.4112888,94103,,180210909-64
Elevator / Escalator Rescue,37.77514707,-122.4192556,94103,,180212348-T03
Structure Fire,37.78486624,-122.4127821,94102,,180211402-50
Medical Incident,37.76103977,-122.4192137,94110,,180210356-RC3
Medical Incident,37.79307213,-122.4081252,94108,,180211751-E02
Medical Incident,37.7887501,-122.4194704,94109,,180210814-AM102
Medical Incident,37.78611721,-122.4198542,94109,,180211965-E03
Medical Incident,37.8038818,-122.4148703,94133,,180211928-RC1
Water Rescue,37.79804495,-122.3963671,94111,,180211077-E16
Traffic Collision,37.76587725,-122.4675151,94122,,180210612-60
Medical Incident,37.79307213,-122.4081252,94108,,180211751-KM06
Medical Incident,37.76047985,-122.4834267,94122,,180210711-95
Medical Incident,37.80547381,-122.4075701,94133,,180210763-63
Medical Incident,37.78594273,-122.4189026,94109,,180210400-74
Medical Incident,37.76257235,-122.4346687,94114,,180212253-E05
Medical Incident,37.76310298,-122.4663147,94122,,180211838-87
Water Rescue,37.79804495,-122.3963671,94111,,180211077-RS1
Medical Incident,37.72200064,-122.4394357,94112,,180213361-E15
Medical Incident,37.78398364,-122.446072,94115,,180212054-50
Alarms,37.79400711,-122.4332497,94115,,180210395-T05
Medical Incident,37.77674184,-122.4953117,94121,,180212577-E34
Medical Incident,37.7867795,-122.4509484,94118,,180210972-E10
Medical Incident,37.80566745,-122.4127664,94133,,180212938-AM118
Medical Incident,37.77921168,-122.4109366,94103,,180210007-85
Structure Fire,37.80531094,-122.4126984,94133,,180213514-E13
Structure Fire,37.80440729,-122.4133589,94133,,180212391-T13
Alarms,37.80539124,-122.4448002,94123,,180211181-T10
Medical Incident,37.74093462,-122.5023423,94116,,180210664-E23
Medical Incident,37.77683977,-122.4237569,94102,,180212964-79
Medical Incident,37.78906674,-122.4094078,94102,,180210125-63
Outside Fire,37.76088893,-122.4350007,94114,,180210528-T06
Medical Incident,37.71029652,-122.4189864,94134,,180213507-T15
Medical Incident,37.75356457,-122.3956354,94107,,180210635-65
Structure Fire,37.80440729,-122.4133589,94133,,180212391-RS1
Structure Fire,37.76642861,-122.45211,94117,,180213526-D3
Alarms,37.72713728,-122.378969,94124,,180210437-B10
Medical Incident,37.78276323,-122.4274692,94109,,180211108-E38
Medical Incident,37.79780791,-122.4186974,94109,,180210454-AM120
Outside Fire,37.73015769,-122.3759892,94124,,180210250-T17
Alarms,37.79388531,-122.4128518,94108,,180211662-E41
Medical Incident,37.77879789,-122.4225207,94102,,180210436-E41
Medical Incident,37.77376935,-122.4116101,94103,,180211060-E01
Medical Incident,37.78384277,-122.4227674,94109,,180213200-62
Medical Incident,37.75710109,-122.4976303,94122,,180210982-E18
Structure Fire,37.78486624,-122.4127821,94102,,180211402-D2
Medical Incident,37.80343276,-122.4077083,94133,,180210872-85
Medical Incident,37.76513693,-122.4555925,94117,,180213065-KM06
Medical Incident,37.77143376,-122.4277809,94102,,180211103-87
Medical Incident,37.72623625,-122.4336236,94112,,180210917-AM110
Medical Incident,37.78315191,-122.4183443,94102,,180212581-E03
Water Rescue,37.79804495,-122.3963671,94111,,180211077-RC1
Other,37.76565858,-122.423128,94103,,180210964-E06
Medical Incident,37.73663509,-122.4940538,94116,,180212592-E18
Alarms,37.73563597,-122.4184659,94110,,180213501-B06
Medical Incident,37.71831534,-122.4419211,94112,,180211765-52
Medical Incident,37.77953108,-122.4135425,94103,,180211107-E36
Traffic Collision,37.73190988,-122.4937188,94132,,180211606-KM01
Medical Incident,37.72976037,-122.3733604,94124,,180211505-85
Smoke Investigation (Outside),37.78677895,-122.398257,94105,,180211604-B03
Medical Incident,37.7890669,-122.3923394,94105,,180210580-AM102
Medical Incident,37.72993469,-122.3977444,94124,,180213272-E42
Medical Incident,37.78298351,-122.4066986,94103,,180210331-E01
Medical Incident,37.74221638,-122.4734191,94116,,180212736-66
Medical Incident,37.77771244,-122.4127367,94103,,180210617-E01
Medical Incident,37.71831534,-122.4419211,94112,,180211765-E43
Medical Incident,37.78316343,-122.4115993,94102,,180212821-T03
Medical Incident,37.7650299,-122.4652417,94122,,180212710-E12
Medical Incident,37.77996805,-122.4269014,94102,,180211054-E36
Outside Fire,37.74597423,-122.3970428,94124,,180210008-E09
Medical Incident,37.74747921,-122.4813063,94116,,180210978-88
Medical Incident,37.72086924,-122.3872476,94124,,180210510-75
Medical Incident,37.77978853,-122.415127,94102,,180212747-RC1
Medical Incident,37.78255696,-122.4163494,94102,,180212166-64
Vehicle Fire,37.71839561,-122.4486052,94112,,180213294-T15
Medical Incident,37.77871943,-122.4147412,94103,,180211007-58
Alarms,37.78295349,-122.4132437,94102,,180210240-B02
Medical Incident,37.78578701,-122.4125478,94102,,180213058-AM116
Medical Incident,37.7698677,-122.4223648,94103,,180212058-88
Water Rescue,37.79804495,-122.3963671,94111,,180211077-B01
Medical Incident,37.76177683,-122.4351517,94114,,180211561-KM11
Medical Incident,37.78725609,-122.4040947,94108,,180210936-KM08
Medical Incident,37.78153743,-122.4095183,94103,,180212963-E01
Medical Incident,37.74917218,-122.4159546,94110,,180210221-E11
Medical Incident,37.72740716,-122.3980092,94124,,180210186-67
Medical Incident,37.8038818,-122.4148703,94133,,180211928-62
Medical Incident,37.78315191,-122.4183443,94102,,180212581-RC1
Medical Incident,37.79662477,-122.4311823,94123,,180211367-E38
Traffic Collision,37.77290912,-122.4221864,94103,,180213062-53
Medical Incident,37.73753926,-122.4003985,94124,,180211375-E42
Medical Incident,37.77144882,-122.391172,94158,,180212591-E04
Medical Incident,37.73588581,-122.3827051,94124,,180210081-65
Outside Fire,37.78962044,-122.4204934,94109,,180210444-B05
Alarms,37.77386178,-122.413046,94103,,180210432-B02
Medical Incident,37.77879789,-122.4225207,94102,,180210436-62
Medical Incident,37.78611721,-122.4198542,94109,,180211965-AM114
Medical Incident,37.79184209,-122.3949402,94105,,180210851-52
Structure Fire,37.78640961,-122.4080362,94102,,180210091-E02
Medical Incident,37.73662045,-122.4248651,94110,,180210431-KM03
Outside Fire,37.78962044,-122.4204934,94109,,180210444-E03
Medical Incident,37.74747921,-122.4813063,94116,,180210978-E39
Medical Incident,37.73753926,-122.4003985,94124,,180212142-E42
Traffic Collision,37.73243402,-122.3838033,94124,,180213084-E17
Medical Incident,37.7868785,-122.4190885,94109,,180211537-KM09
Medical Incident,37.71447839,-122.436523,94112,,180213581-KM03
Medical Incident,37.78316343,-122.4115993,94102,,180213234-E03
Medical Incident,37.77912854,-122.4080301,94103,,180212992-66
Medical Incident,37.7880322,-122.3920003,94105,,180210166-E35
Train / Rail Incident,37.79267912,-122.3968535,94105,,180210483-RC1
Outside Fire,37.74616295,-122.3940489,94124,,180210010-E25
Medical Incident,37.7867795,-122.4509484,94118,,180210972-77
Electrical Hazard,37.73642025,-122.4457109,94131,,180210358-E39
Structure Fire,37.80531094,-122.4126984,94133,,180213514-53
Medical Incident,37.78875048,-122.4085666,94102,,180210362-KM03
Water Rescue,37.79804495,-122.3963671,94111,,180211077-T16
Medical Incident,37.78845058,-122.4075972,94108,,180212049-E03
Medical Incident,37.72086924,-122.3872476,94124,,180210510-E17
Alarms,37.80542259,-122.4259589,94123,,180211399-E28
Medical Incident,37.77996805,-122.4269014,94102,,180211054-62
Medical Incident,37.78176159,-122.4110582,94102,,180213374-68
Traffic Collision,37.72998042,-122.3888551,94124,,180210596-E17
Traffic Collision,37.76559292,-122.4740453,94122,,180212357-E22
Medical Incident,37.73585265,-122.4369151,94131,,180212008-54
Medical Incident,37.77302925,-122.4288759,94102,,180210299-63
Alarms,37.72713728,-122.378969,94124,,180210437-E42
Medical Incident,37.80325018,-122.4283736,94123,,180210498-KM07
Traffic Collision,37.73401387,-122.3909679,94124,,180212163-E17
Medical Incident,37.77000761,-122.4469338,94117,,180211876-E36
Alarms,37.76846225,-122.4312049,94114,,180212729-E05
Medical Incident,37.73520816,-122.4117059,94110,,180213255-71
Train / Rail Incident,37.79267912,-122.3968535,94105,,180210483-RS1
Medical Incident,37.78331041,-122.3883799,94107,,180211676-70
Medical Incident,37.76274366,-122.4217477,94110,,180210136-84
Medical Incident,37.8079431,-122.4141381,94133,,180210673-E02
Medical Incident,37.78294352,-122.4199884,94102,,180211264-AM110
Fuel Spill,37.78853817,-122.4362964,94115,,180211455-T05
Medical Incident,37.79176907,-122.4294268,94115,,180213328-RC1
Medical Incident,37.78383852,-122.4137755,94102,,180212984-85
Medical Incident,37.77749973,-122.4109993,94103,,180210237-89
Medical Incident,37.77973891,-122.4071595,94103,,180210661-70
Medical Incident,37.78175433,-122.4096933,94103,,180213396-RS1
Medical Incident,37.77333766,-122.4091485,94103,,180213256-AM124
Medical Incident,37.79559693,-122.3961809,94111,,180210031-E13
Alarms,37.80539124,-122.4448002,94123,,180211181-B04
Medical Incident,37.75414014,-122.4448142,94131,,180211997-KM01
Alarms,37.76497779,-122.4664456,94122,,180212178-B07
Medical Incident,37.78318152,-122.437809,94115,,180211444-KM06
Medical Incident,37.78331041,-122.3883799,94107,,180211676-E35
Medical Incident,37.75362875,-122.3955231,94107,,180212004-E37
Medical Incident,37.77000761,-122.4469338,94117,,180211876-E21
Medical Incident,37.79767064,-122.407807,94133,,180211380-KM02
Medical Incident,37.78429938,-122.4101413,94102,,180210079-63
Medical Incident,37.77310059,-122.4155614,94103,,180213515-E36
Medical Incident,37.71226467,-122.4729324,94132,,180213468-82
Medical Incident,37.77604635,-122.4112888,94103,,180212151-68
Medical Incident,37.7459563,-122.4542399,94131,,180213191-67
Structure Fire,37.78486624,-122.4127821,94102,,180211402-T03
Medical Incident,37.72452417,-122.4257328,94112,,180212378-E43
Medical Incident,37.77419657,-122.5100338,94121,,180213172-65
Structure Fire,37.76642861,-122.45211,94117,,180213526-E24
Medical Incident,37.80533759,-122.42282,94109,,180213493-AM124
Train / Rail Incident,37.79267912,-122.3968535,94105,,180210483-E04
Traffic Collision,37.73971001,-122.4119916,94110,,180213133-E32
Train / Rail Incident,37.79267912,-122.3968535,94105,,180210483-E13
Medical Incident,37.80325018,-122.4283736,94123,,180210498-E38
Gas Leak (Natural and LP Gases),37.77993369,-122.428614,94115,,180211822-E36
Medical Incident,37.78087726,-122.4145069,94102,,180212150-AM116
Alarms,37.79400711,-122.4332497,94115,,180210424-B04
Medical Incident,37.77683977,-122.4237569,94102,,180212471-KM09
Outside Fire,37.7423754,-122.4219688,94110,,180213174-E01
Train / Rail Incident,37.79267912,-122.3968535,94105,,180210483-B03
Medical Incident,37.7880322,-122.3920003,94105,,180210166-62
Structure Fire,37.79447972,-122.3947476,94105,,180211706-E13
Medical Incident,37.77386178,-122.413046,94103,,180210784-82
Medical Incident,37.78977942,-122.419679,94109,,180211457-50
Medical Incident,37.71963387,-122.4649083,94132,,180210599-57
Medical Incident,37.78611721,-122.4198542,94109,,180210492-AM124
Medical Incident,37.80447756,-122.4446146,94123,,180210746-E51
Medical Incident,37.82903246,-122.374358,94130,,180210993-65
Medical Incident,37.75545608,-122.4193083,94110,,180212254-E07
Medical Incident,37.76979785,-122.4485788,94117,,180212599-E12
Medical Incident,37.78554213,-122.3967052,94107,,180211326-70
Alarms,37.73563597,-122.4184659,94110,,180213501-T11
Medical Incident,37.78429938,-122.4101413,94102,,180213123-78
Medical Incident,37.7881263,-122.4176572,94109,,180211964-AM108
Medical Incident,37.71214951,-122.4171412,94134,,180212884-58
Medical Incident,37.76513693,-122.4555925,94117,,180213065-E12
Medical Incident,37.72200064,-122.4394357,94112,,180213361-E43
Medical Incident,37.71700209,-122.4679573,94132,,180212960-76
Medical Incident,37.75665514,-122.3882676,94107,,180212950-62
Medical Incident,37.75869827,-122.4179647,94110,,180211325-54
Medical Incident,37.76354593,-122.4787325,94122,,180213450-E22
Medical Incident,37.77269482,-122.4221883,94103,,180210416-65
Medical Incident,37.76257235,-122.4346687,94114,,180212253-KM08
Alarms,37.76712423,-122.39764,94107,,180211082-T08
Traffic Collision,37.7696026,-122.4263094,94114,,180212836-E06
Medical Incident,37.77978853,-122.415127,94102,,180212747-53
Medical Incident,37.73406125,-122.4156874,94110,,180213125-68
Medical Incident,37.77376935,-122.4116101,94103,,180211060-89
Medical Incident,37.78315191,-122.4183443,94102,,180212581-71
Alarms,37.72713728,-122.378969,94124,,180210437-E17
Medical Incident,37.76183586,-122.4193593,94110,,180212570-EMS6
Structure Fire,37.80531094,-122.4126984,94133,,180213514-B03
Train / Rail Incident,37.79267912,-122.3968535,94105,,180210483-78
Medical Incident,37.72200064,-122.4394357,94112,,180213361-KM03
Medical Incident,37.78211033,-122.4031964,94103,,180213390-E01
Medical Incident,37.78432123,-122.3890406,94107,,180210348-62
Structure Fire,37.80531094,-122.4126984,94133,,180213514-D2
Medical Incident,37.77462644,-122.4444304,94117,,180213351-E21
Medical Incident,37.8079431,-122.4141381,94133,,180210673-KM08
Alarms,37.79824546,-122.4357937,94123,,180211120-B04
Medical Incident,37.77871943,-122.4147412,94103,,180211007-E36
Medical Incident,37.77774474,-122.439207,94115,,180212291-50
Medical Incident,37.75199404,-122.4091229,94110,,180211306-E09
Medical Incident,37.72521883,-122.4075277,94134,,180212897-55
Alarms,37.79883609,-122.4062732,94133,,180213502-E02
Medical Incident,37.73987317,-122.4841366,94116,,180213248-E40
Outside Fire,37.73015769,-122.3759892,94124,,180210250-B10
Structure Fire,37.80531094,-122.4126984,94133,,180213514-T13
Medical Incident,37.78578701,-122.4125478,94102,,180212442-87
Medical Incident,37.80566745,-122.4127664,94133,,180212938-E28
Medical Incident,37.78331089,-122.4175288,94109,,180212079-70
Medical Incident,37.78114586,-122.409026,94103,,180210839-E01
Medical Incident,37.78003891,-122.4319778,94115,,180212649-57
Traffic Collision,37.73229105,-122.3761579,94124,,180211466-E17
Medical Incident,37.78276323,-122.4274692,94109,,180213141-E38
Gas Leak (Natural and LP Gases),37.70983846,-122.4105602,94134,,180211388-T17
Gas Leak (Natural and LP Gases),37.70983846,-122.4105602,94134,,180211388-B09
Medical Incident,37.7875045,-122.4141637,94109,,180210306-KM07
Medical Incident,37.77771244,-122.4127367,94103,,180211511-AM110
Medical Incident,37.77128553,-122.4132043,94103,,180210262-E29
Medical Incident,37.79230698,-122.4108438,94108,,180212119-E41
Medical Incident,37.78191397,-122.4130322,94102,,180211102-E03
Structure Fire,37.78640961,-122.4080362,94102,,180213182-E03
