call_type,zipcode_of_incident,dispatch_time
Medical Incident,94109,1:10
Alarms,94105,4:14
Medical Incident,94112,2:01
Medical Incident,94158,1:48
Medical Incident,94109,2:22
Medical Incident,94103,2:33
Medical Incident,94116,0:53
Medical Incident,94103,4:22
Other,94130,1:47
Traffic Collision,94110,2:57
Medical Incident,94111,1:43
Medical Incident,94131,6:39
Medical Incident,94102,4:13
Medical Incident,94116,2:25
Medical Incident,94103,2:13
Medical Incident,94102,0:55
Medical Incident,94109,1:09
Medical Incident,94102,3:16
Medical Incident,94102,3:28
Medical Incident,94102,1:33
Alarms,94132,2:17
Medical Incident,94102,0:33
Structure Fire,94108,1:03
Medical Incident,94121,4:31
Medical Incident,94131,3:39
Medical Incident,94110,0:28
Other,94130,1:49
Medical Incident,94102,1:47
Gas Leak (Natural and LP Gases),94109,1:27
Citizen Assist / Service Call,94114,1:25
Medical Incident,94102,2:13
Medical Incident,94132,0:32
Medical Incident,94124,4:19
Medical Incident,94107,1:49
Medical Incident,94132,1:49
Alarms,94132,0:45
Structure Fire,94103,0:59
Structure Fire,94108,1:26
Medical Incident,94104,5:43
Medical Incident,94103,1:49
Alarms,94105,0:50
Medical Incident,94117,1:49
Alarms,94105,2:22
Medical Incident,94103,0:41
Medical Incident,94127,1:10
Alarms,94105,2:37
Medical Incident,94105,0:22
Medical Incident,94117,1:24
Medical Incident,94116,0:16
Medical Incident,94114,2:23
Alarms,94103,0:23
Structure Fire,94118,1:16
Medical Incident,94117,2:11
Medical Incident,94103,0:03
Structure Fire,94105,0:21
Alarms,94105,0:23
Medical Incident,94109,2:27
Medical Incident,94102,2:01
Medical Incident,94158,2:40
Medical Incident,94102,0:07
Medical Incident,94117,2:54
Medical Incident,94117,1:17
Alarms,94124,2:30
Medical Incident,94109,0:26
Structure Fire,94109,0:40
Structure Fire,94102,3:03
Medical Incident,94133,2:49
Medical Incident,94110,5:37
Medical Incident,94102,1:09
Alarms,94103,2:02
Medical Incident,94124,28:16:00
Medical Incident,94110,0:49
Medical Incident,94103,1:46
Medical Incident,94103,2:25
Medical Incident,94134,3:05
Medical Incident,94110,1:06
Medical Incident,94118,1:27:15
Medical Incident,94130,3:11
Citizen Assist / Service Call,94110,0:11
Medical Incident,94109,2:49
Medical Incident,94110,7:41
Alarms,94108,0:00
Medical Incident,94103,2:35
Alarms,94111,3:34
Citizen Assist / Service Call,94132,3:10
Water Rescue,94111,0:14
Medical Incident,94123,1:38
Medical Incident,94109,2:28
Electrical Hazard,94109,0:38
Structure Fire,94133,6:01
Medical Incident,94108,1:05:51
Medical Incident,94133,1:30
Medical Incident,94102,2:48
Medical Incident,94102,3:47
Medical Incident,94107,1:01
Medical Incident,94102,1:57
Medical Incident,94112,0:59
Medical Incident,94132,27:46:00
Traffic Collision,94103,2:31
Medical Incident,94122,2:07
Medical Incident,94122,0:09
Medical Incident,94131,2:26
Medical Incident,94117,1:54
Medical Incident,94116,1:07
Medical Incident,94108,3:37
Medical Incident,94110,3:09
Medical Incident,94110,0:35
Medical Incident,94107,3:56
Medical Incident,94104,4:12
Structure Fire,94117,4:13
Medical Incident,94108,4:22
Medical Incident,94112,1:13
Structure Fire,94133,1:40
Medical Incident,94103,2:24
Medical Incident,94118,21:12
Train / Rail Incident,94105,0:16
Medical Incident,94102,1:27
Traffic Collision,94132,3:17
Medical Incident,94102,1:04
Medical Incident,94103,2:16
Medical Incident,94133,0:04
Medical Incident,94102,3:11
Outside Fire,94109,2:45
Medical Incident,94102,1:55
Medical Incident,94122,2:27
Medical Incident,94121,1:09
Medical Incident,94116,2:05
Medical Incident,94103,3:50
Structure Fire,94117,2:01
Medical Incident,94124,6:07
Medical Incident,94115,2:05
Medical Incident,94134,0:00
Other,94102,2:03
Medical Incident,94124,0:58
Medical Incident,94109,2:26
Structure Fire,94102,2:12
Alarms,94110,1:06
Medical Incident,94109,2:12
Medical Incident,94118,2:03
Alarms,94102,2:06
Citizen Assist / Service Call,94122,2:17
Medical Incident,94103,1:38
Alarms,94115,3:29
Medical Incident,94102,3:10
Water Rescue,94111,4:41
Medical Incident,94102,0:47
Medical Incident,94115,5:42
Medical Incident,94102,4:23
Medical Incident,94102,2:36
Medical Incident,94130,1:14
Medical Incident,94131,2:21
Medical Incident,94117,2:12
Medical Incident,94107,3:19
Medical Incident,94102,0:20
Medical Incident,94111,0:13
Outside Fire,94124,0:50
Medical Incident,94103,2:17
Outside Fire,94109,3:50
Medical Incident,94110,0:55
Other,94103,1:18
Alarms,94103,1:07
Medical Incident,94110,1:20
Medical Incident,94110,0:27
Traffic Collision,94124,2:26
Structure Fire,94102,2:06
Medical Incident,94132,0:31
Medical Incident,94114,1:55
Medical Incident,94122,0:11
Other,94103,1:07
Medical Incident,94110,1:36
Medical Incident,94116,8:59
Citizen Assist / Service Call,94107,2:32
Medical Incident,94102,1:20
Medical Incident,94110,0:35
Medical Incident,94102,0:52
Structure Fire,94102,3:00
Medical Incident,94124,0:07
Structure Fire,94122,3:19
Medical Incident,94102,2:25
Medical Incident,94111,4:28
Medical Incident,94109,3:06
Medical Incident,94103,0:05
Structure Fire,94105,0:16
Medical Incident,94103,2:17
Traffic Collision,94124,4:39
Medical Incident,94103,2:25
Medical Incident,94102,3:28
Alarms,94114,0:37
Medical Incident,94109,1:08
Medical Incident,94112,5:00
Medical Incident,94112,7:17
Medical Incident,94115,2:37
Medical Incident,94116,4:08
Medical Incident,94117,3:11
Outside Fire,94109,6:07
Medical Incident,94103,7:58
Medical Incident,94102,0:53
Medical Incident,94103,0:13
Traffic Collision,94124,2:31
Medical Incident,94109,2:17
Outside Fire,94109,2:47
Citizen Assist / Service Call,94115,2:35
Alarms,94111,0:38
Structure Fire,94133,3:35
Alarms,94103,2:06
Medical Incident,94132,1:35
Alarms,94123,2:47
Citizen Assist / Service Call,94115,21:12
Train / Rail Incident,94105,6:01
Medical Incident,94108,1:11
Medical Incident,94114,2:12
Alarms,94110,0:43
Medical Incident,94133,2:34
Medical Incident,94102,1:30
Alarms,94102,1:13
Structure Fire,94133,2:28
Medical Incident,94124,0:00
Outside Fire,94109,0:33
Medical Incident,94133,2:26
Medical Incident,94102,4:05
Medical Incident,94123,1:59
Medical Incident,94103,0:50
Medical Incident,94103,2:07
Medical Incident,94124,1:49
Medical Incident,94103,2:17
Medical Incident,94103,2:12
Medical Incident,94112,0:06
Structure Fire,94111,1:12
Medical Incident,94108,1:18
Alarms,94103,3:32
Medical Incident,94103,1:45
Citizen Assist / Service Call,94133,1:50
Medical Incident,94133,3:10
Water Rescue,94111,3:00
Medical Incident,94124,8:39
Medical Incident,94102,2:07
Medical Incident,94124,0:07
Structure Fire,94122,2:18
Medical Incident,94103,8:54
Medical Incident,94102,1:27
Medical Incident,94110,1:04
Medical Incident,94133,1:07
Medical Incident,94102,1:51
Citizen Assist / Service Call,94130,1:10
Medical Incident,94103,2:34
Medical Incident,94132,1:33
Medical Incident,94118,2:03
Alarms,94102,1:45
Medical Incident,94103,1:13
Structure Fire,94133,0:13
Smoke Investigation (Outside),94105,1:10
Medical Incident,94103,0:26
Medical Incident,94116,5:07
Medical Incident,94103,1:13
Structure Fire,94133,0:21
Medical Incident,94158,1:11
Medical Incident,94133,21:12
Train / Rail Incident,94105,2:12
Medical Incident,94108,2:13
Medical Incident,94110,1:44
Medical Incident,94124,2:39
Structure Fire,94102,0:59
Medical Incident,94103,0:07
Vehicle Fire,94112,1:34
Alarms,94133,1:42
Medical Incident,94103,1:52
Medical Incident,94107,2:34
Medical Incident,94102,2:26
Structure Fire,94102,1:18
Medical Incident,94108,2:17
Outside Fire,94109,1:46
Alarms,94122,2:34
Traffic Collision,94110,1:09
Medical Incident,94116,2:12
Medical Incident,94118,4:05
Medical Incident,94123,1:07
Medical Incident,94108,5:00
Medical Incident,94111,5:40
Medical Incident,94102,2:08
Alarms,94124,3:43
Medical Incident,94102,0:34
Medical Incident,94109,0:00
Medical Incident,94102,3:24
Medical Incident,94123,4:50
Medical Incident,94109,2:04
Medical Incident,94121,2:44
Medical Incident,94110,1:49
Medical Incident,94133,1:48
Outside Fire,94114,1:27
Medical Incident,94110,0:59
Medical Incident,94116,2:31
Medical Incident,94109,2:08
Alarms,94124,1:45
Medical Incident,94103,2:26
Structure Fire,94102,2:06
Medical Incident,94130,4:16
Medical Incident,94107,1:39
Alarms,94104,2:22
Medical Incident,94102,1:31
Alarms,94116,1:16
Medical Incident,94105,0:38
Structure Fire,94133,2:36
Medical Incident,94130,1:56
Medical Incident,94109,1:45
Medical Incident,94103,5:30
Medical Incident,94108,2:08
Medical Incident,94118,22:49
Traffic Collision,94124,1:20
Medical Incident,94110,8:06
Medical Incident,94107,0:56
Medical Incident,94132,0:29
Traffic Collision,94114,2:19
Medical Incident,94132,5:01
Medical Incident,94132,6:48
Medical Incident,94112,0:29
Medical Incident,94102,2:38
Medical Incident,94115,3:28
Alarms,94114,2:04
Medical Incident,94122,0:38
Structure Fire,94133,4:07
Medical Incident,94102,1:46
Medical Incident,94103,1:50
Medical Incident,94102,3:35
Citizen Assist / Service Call,94112,2:06
Medical Incident,94130,2:54
Outside Fire,94109,0:38
Structure Fire,94133,1:11
Medical Incident,94133,2:03
Medical Incident,94102,1:33
Citizen Assist / Service Call,94103,3:35
Alarms,94103,2:03
Medical Incident,94124,2:06
Medical Incident,94109,2:54
Medical Incident,94115,11:21
Traffic Collision,94103,0:29
Medical Incident,94102,2:43
Medical Incident,94124,2:06
Outside Fire,94105,1:40
Medical Incident,94102,2:00
Alarms,94124,1:40
Structure Fire,94102,2:00
Alarms,94124,3:50
Structure Fire,94117,1:35
Alarms,94123,5:13
Medical Incident,94117,4:41
Medical Incident,94102,3:25
Medical Incident,94114,2:26
Structure Fire,94102,2:59
Medical Incident,94102,0:13
Medical Incident,94102,2:40
Medical Incident,94103,1:04
Medical Incident,94103,2:35
Medical Incident,94112,2:07
Medical Incident,94116,2:06
Medical Incident,94110,1:36
Medical Incident,94114,0:05
Structure Fire,94102,3:32
Medical Incident,94103,2:31
Medical Incident,94116,1:09
Medical Incident,94116,2:06
Medical Incident,94130,4:49
Medical Incident,94102,1:49
Medical Incident,94133,0:29
Medical Incident,94102,3:10
Water Rescue,94111,1:52
Alarms,94122,2:35
Medical Incident,94112,1:25
Medical Incident,94124,5:01
Medical Incident,94132,1:30
Alarms,94102,3:29
Medical Incident,94102,2:34
Citizen Assist / Service Call,94109,3:15
Outside Fire,94124,21:12
Train / Rail Incident,94105,1:44
Medical Incident,94102,1:56
Medical Incident,94107,5:35
Medical Incident,94110,3:50
Structure Fire,94117,2:43
Medical Incident,94124,0:28
Medical Incident,94103,0:09
Medical Incident,94158,2:28
Medical Incident,94124,6:09
Medical Incident,94115,5:04
Medical Incident,94102,1:54
Medical Incident,94132,6:28
Medical Incident,94110,0:58
Medical Incident,94103,1:20
Alarms,94108,1:59
Medical Incident,94103,3:43
Medical Incident,94102,10:11
Medical Incident,94124,0:06
Structure Fire,94111,2:00
Alarms,94124,2:44
Medical Incident,94115,1:25
Medical Incident,94115,2:01
Alarms,94123,2:05
Traffic Collision,94103,4:24
Fuel Spill,94115,1:48
Outside Fire,94114,2:49
Alarms,94124,1:11
Medical Incident,94102,2:24
Medical Incident,94102,1:34
Medical Incident,94109,1:07
Medical Incident,94108,2:20
Gas Leak (Natural and LP Gases),94115,21:12
Train / Rail Incident,94105,0:38
Medical Incident,94103,2:54
Medical Incident,94115,0:23
Medical Incident,94103,3:02
Outside Fire,94124,3:31
Medical Incident,94102,2:07
Medical Incident,94116,6:09
Medical Incident,94115,1:40
Medical Incident,94103,7:23
Water Rescue,94111,3:58
Medical Incident,94107,8:22
Medical Incident,94112,7:21
Alarms,94122,3:04
Medical Incident,94103,3:50
Structure Fire,94117,5:43
Medical Incident,94107,3:10
Water Rescue,94111,0:42
Medical Incident,94116,0:42
Medical Incident,94116,0:38
Structure Fire,94133,3:32
Medical Incident,94103,0:50
Medical Incident,94103,2:34
Medical Incident,94124,1:14
Medical Incident,94109,3:25
Medical Incident,94134,1:42
Medical Incident,94107,4:56
Medical Incident,94110,1:12
Medical Incident,94158,0:11
Medical Incident,94117,1:23
Medical Incident,94108,0:16
Medical Incident,94124,4:01
Medical Incident,94105,3:15
Medical Incident,94103,1:20
Medical Incident,94110,3:14
Medical Incident,94103,2:23
Citizen Assist / Service Call,94118,3:10
Water Rescue,94111,1:49
Medical Incident,94103,1:19
Medical Incident,94124,0:14
Medical Incident,94124,3:47
Alarms,94107,1:47
Medical Incident,94103,0:25
Medical Incident,94105,1:21
Alarms,94123,3:47
Alarms,94107,1:46
Alarms,94122,4:33
Medical Incident,94131,2:51
Medical Incident,94103,1:48
Medical Incident,94102,0:31
Medical Incident,94114,1:16
Medical Incident,94102,5:57
Medical Incident,94121,1:16
Medical Incident,94105,3:00
Medical Incident,94133,1:54
Medical Incident,94110,3:31
Medical Incident,94102,1:23
Medical Incident,94118,2:02
Outside Fire,94107,3:32
Medical Incident,94103,0:59
Traffic Collision,94124,1:04
Medical Incident,94133,4:45
Medical Incident,94107,1:58
Elevator / Escalator Rescue,94109,2:07
Medical Incident,94122,2:04
Medical Incident,94121,3:27
Medical Incident,94102,2:27
Medical Incident,94132,1:29
Outside Fire,94110,1:59
Medical Incident,94132,2:08
Alarms,94124,1:31
Alarms,94116,2:37
Other,94122,3:50
Structure Fire,94117,1:44
Traffic Collision,94122,1:27
Medical Incident,94103,1:56
Medical Incident,94133,3:05
Medical Incident,94111,24:07:00
Medical Incident,94114,2:44
Medical Incident,94110,2:22
Medical Incident,94102,1:23
Alarms,94114,2:58
Medical Incident,94102,0:41
Medical Incident,94131,0:42
Medical Incident,94110,8:34
Medical Incident,94116,5:00
Medical Incident,94112,0:41
Medical Incident,94131,2:20
Gas Leak (Natural and LP Gases),94115,2:14
Medical Incident,94117,1:38
Medical Incident,94109,1:21
Alarms,94123,0:37
Traffic Collision,94103,3:45
Medical Incident,94124,2:27
Alarms,94115,2:25
Citizen Assist / Service Call,94124,1:14
Medical Incident,94109,2:58
Medical Incident,94102,1:16
Medical Incident,94107,2:03
Medical Incident,94116,2:26
Structure Fire,94102,1:14
Medical Incident,94109,21:12
Train / Rail Incident,94105,6:27
Medical Incident,94102,1:18
Medical Incident,94108,1:18
Alarms,94103,2:58
Medical Incident,94102,6:18
Structure Fire,94117,1:36
Medical Incident,94109,4:50
Medical Incident,94109,0:35
Medical Incident,94102,1:30
Alarms,94102,1:13
Structure Fire,94133,0:10
Medical Incident,94124,9:28
Medical Incident,94108,0:33
Medical Incident,94133,2:10
Medical Incident,94123,0:43
Outside Fire,94124,1:32
Citizen Assist / Service Call,94107,1:52
Alarms,94122,2:06
Medical Incident,94110,1:23
Alarms,94114,3:00
Medical Incident,94133,1:23
Medical Incident,94118,1:31
Alarms,94116,1:16
Medical Incident,94107,2:03
Medical Incident,94124,4:07
Medical Incident,94102,4:02
Medical Incident,94116,2:14
Medical Incident,94124,3:28
Alarms,94114,0:12
Medical Incident,94105,3:30
Medical Incident,94110,0:58
Medical Incident,94109,2:12
Alarms,94110,2:25
Medical Incident,94111,2:36
Medical Incident,94130,3:34
Medical Incident,94121,1:20
Alarms,94108,0:53
Medical Incident,94134,2:04
Medical Incident,94109,5:30
Medical Incident,94112,2:26
Structure Fire,94102,1:45
Medical Incident,94103,1:32
Medical Incident,94117,3:17
Medical Incident,94108,0:09
Structure Fire,94112,3:15
Outside Fire,94124,2:05
Traffic Collision,94103,2:07
Medical Incident,94133,1:46
Alarms,94122,0:18
Medical Incident,94102,1:39
Alarms,94104,0:17
Medical Incident,94110,2:23
Medical Incident,94105,4:25
Medical Incident,94115,1:34
Alarms,94133,8:04
Medical Incident,94103,1:36
Medical Incident,94121,1:50
Medical Incident,94102,2:21
Medical Incident,94117,2:13
Medical Incident,94130,1:52
Medical Incident,94107,1:28
Medical Incident,94110,2:34
Medical Incident,94132,2:03
Alarms,94110,0:09
Medical Incident,94122,0:05
Structure Fire,94102,1:12
Medical Incident,94158,4:24
Fuel Spill,94115,1:39
Alarms,94104,1:05
Structure Fire,94102,2:19
Medical Incident,94132,0:07
Medical Incident,94108,0:59
Medical Incident,94103,0:47
Medical Incident,94115,0:29
Medical Incident,94109,1:36
Medical Incident,94121,0:00
Medical Incident,94111,31:53:00
Medical Incident,94134,2:27
Alarms,94115,0:52
Structure Fire,94102,0:59
Medical Incident,94103,4:02
Medical Incident,94133,4:49
Medical Incident,94109,0:38
Structure Fire,94133,0:29
Traffic Collision,94114,2:35
Alarms,94111,1:38
Alarms,94115,1:40
Medical Incident,94109,0:33
Medical Incident,94124,1:09
Medical Incident,94116,1:40
Medical Incident,94103,3:10
Water Rescue,94111,3:25
Medical Incident,94131,21:12
Train / Rail Incident,94105,2:40
Medical Incident,94103,1:28
Medical Incident,94109,0:38
Structure Fire,94133,0:13
Smoke Investigation (Outside),94105,0:12
Medical Incident,94134,0:09
Structure Fire,94112,1:12
Medical Incident,94108,0:38
Medical Incident,94117,1:52
Medical Incident,94114,0:58
Medical Incident,94103,3:23
Elevator / Escalator Rescue,94103,2:26
Structure Fire,94102,2:44
Medical Incident,94110,2:02
Medical Incident,94108,1:40
Medical Incident,94109,0:37
Medical Incident,94109,2:07
Medical Incident,94133,3:10
Water Rescue,94111,0:00
Traffic Collision,94122,1:23
Medical Incident,94108,0:22
Medical Incident,94122,1:50
Medical Incident,94133,2:23
Medical Incident,94109,0:25
Medical Incident,94114,0:09
Medical Incident,94122,3:10
Water Rescue,94111,9:15
Medical Incident,94112,2:44
Medical Incident,94115,1:38
Alarms,94115,3:34
Medical Incident,94121,1:33
Medical Incident,94118,2:04
Medical Incident,94133,0:00
Medical Incident,94103,1:13
Structure Fire,94133,0:38
Structure Fire,94133,2:01
Alarms,94123,2:03
Medical Incident,94116,2:25
Medical Incident,94102,3:57
Medical Incident,94102,1:48
Outside Fire,94114,20:28
Medical Incident,94134,4:16
Medical Incident,94107,0:38
Structure Fire,94133,3:50
Structure Fire,94117,2:49
Alarms,94124,1:36
Medical Incident,94109,2:47
Medical Incident,94109,3:02
Outside Fire,94124,1:20
Alarms,94108,7:17
Medical Incident,94102,2:48
Medical Incident,94103,0:34
Medical Incident,94109,2:31
Medical Incident,94122,2:26
Structure Fire,94102,2:05
Medical Incident,94133,1:03
Medical Incident,94117,4:28
Medical Incident,94102,1:57
Medical Incident,94112,0:35
Medical Incident,94102,3:10
Water Rescue,94111,1:19
Other,94103,4:02
Medical Incident,94116,2:03
Alarms,94110,2:07
Medical Incident,94112,4:22
Medical Incident,94103,1:27
Traffic Collision,94132,0:14
Medical Incident,94124,0:13
Smoke Investigation (Outside),94105,4:01
Medical Incident,94105,0:16
Medical Incident,94124,2:16
Medical Incident,94103,2:31
Medical Incident,94116,2:17
Medical Incident,94103,15:19
Medical Incident,94112,5:04
Medical Incident,94102,2:07
Medical Incident,94122,0:40
Medical Incident,94102,3:06
Outside Fire,94124,4:53
Medical Incident,94116,2:20
Medical Incident,94124,2:26
Medical Incident,94102,1:44
Medical Incident,94102,0:07
Vehicle Fire,94112,1:11
Medical Incident,94103,2:03
Alarms,94102,1:16
Medical Incident,94102,2:39
Medical Incident,94103,3:10
Water Rescue,94111,1:11
Medical Incident,94114,0:25
Medical Incident,94108,3:32
Medical Incident,94103,0:42
Medical Incident,94110,2:33
Medical Incident,94124,1:33
Medical Incident,94133,0:35
Medical Incident,94102,2:10
Medical Incident,94123,0:37
Traffic Collision,94103,0:33
Medical Incident,94124,0:09
Medical Incident,94158,3:45
Medical Incident,94124,3:11
Outside Fire,94109,3:35
Alarms,94103,2:03
Medical Incident,94102,0:37
Medical Incident,94109,2:23
Medical Incident,94105,1:05
Structure Fire,94102,3:09
Medical Incident,94110,5:27
Outside Fire,94109,7:39
Medical Incident,94116,1:19
Medical Incident,94124,0:59
Traffic Collision,94124,1:06
Medical Incident,94109,1:08
Medical Incident,94112,3:43
Medical Incident,94102,0:59
Medical Incident,94103,4:35
Medical Incident,94105,21:12
Train / Rail Incident,94105,3:15
Outside Fire,94124,1:33
Medical Incident,94118,1:53
Electrical Hazard,94131,1:13
Structure Fire,94133,2:16
Medical Incident,94102,3:10
Water Rescue,94111,0:07
Medical Incident,94108,2:20
Medical Incident,94124,1:35
Alarms,94123,0:40
Medical Incident,94102,14:27
Medical Incident,94102,0:13
Traffic Collision,94124,1:44
Traffic Collision,94122,3:25
Medical Incident,94131,1:00
Medical Incident,94102,2:49
Alarms,94124,0:59
Medical Incident,94123,0:27
Traffic Collision,94124,0:38
Medical Incident,94117,1:23
Alarms,94114,1:28
Medical Incident,94110,21:12
Train / Rail Incident,94105,1:36
Medical Incident,94107,0:32
Medical Incident,94110,3:37
Medical Incident,94133,0:16
Medical Incident,94102,4:24
Fuel Spill,94115,0:47
Medical Incident,94115,4:22
Medical Incident,94102,0:50
Medical Incident,94103,1:47
Medical Incident,94103,0:53
Medical Incident,94103,3:07
Medical Incident,94103,3:05
Medical Incident,94111,2:01
Alarms,94123,1:42
Medical Incident,94131,1:52
Alarms,94122,1:25
Medical Incident,94115,1:36
Medical Incident,94107,0:35
Medical Incident,94107,0:38
Medical Incident,94117,0:43
Medical Incident,94133,1:30
Medical Incident,94102,3:06
Medical Incident,94103,14:59
Medical Incident,94132,2:29
Medical Incident,94103,4:33
Medical Incident,94131,2:26
Structure Fire,94102,4:22
Medical Incident,94112,2:27
Medical Incident,94121,5:04
Structure Fire,94117,5:09
Medical Incident,94109,21:12
Train / Rail Incident,94105,2:34
Traffic Collision,94110,21:12
Train / Rail Incident,94105,0:59
Medical Incident,94123,2:20
Gas Leak (Natural and LP Gases),94115,1:11
Medical Incident,94102,2:27
Alarms,94115,1:01
Medical Incident,94102,3:29
Outside Fire,94110,21:12
Train / Rail Incident,94105,4:35
Medical Incident,94105,0:05
Structure Fire,94105,1:32
Medical Incident,94103,1:53
Medical Incident,94109,0:59
Medical Incident,94132,0:20
Medical Incident,94109,3:24
Medical Incident,94123,2:13
Medical Incident,94130,3:37
Medical Incident,94110,4:08
Medical Incident,94117,1:11
Medical Incident,94107,2:03
Alarms,94110,2:22
Medical Incident,94102,3:06
Medical Incident,94109,2:52
Medical Incident,94134,1:03
Medical Incident,94117,8:22
Medical Incident,94112,1:43
Medical Incident,94132,3:13
Medical Incident,94107,1:34
Medical Incident,94110,2:04
Medical Incident,94122,0:16
Medical Incident,94103,0:25
Medical Incident,94114,3:47
Alarms,94107,0:29
Traffic Collision,94114,2:26
Medical Incident,94102,0:32
Medical Incident,94110,2:48
Medical Incident,94103,0:35
Medical Incident,94102,4:28
Alarms,94124,1:59
Medical Incident,94110,1:13
Structure Fire,94133,21:12
Train / Rail Incident,94105,8:22
Medical Incident,94112,2:17
Medical Incident,94103,0:35
Medical Incident,94107,1:13
Structure Fire,94133,2:26
Medical Incident,94117,1:56
Medical Incident,94133,1:21
Alarms,94123,1:11
Medical Incident,94103,2:54
Medical Incident,94115,5:35
Medical Incident,94110,3:18
Medical Incident,94134,1:34
Alarms,94133,1:36
Medical Incident,94116,3:02
Outside Fire,94124,1:13
Structure Fire,94133,8:57
Medical Incident,94102,2:04
Medical Incident,94133,0:37
Medical Incident,94109,9:22
Medical Incident,94103,4:25
Medical Incident,94115,2:17
Traffic Collision,94124,4:28
Medical Incident,94109,0:41
Gas Leak (Natural and LP Gases),94134,0:41
Gas Leak (Natural and LP Gases),94134,3:17
Medical Incident,94109,0:38
Medical Incident,94103,1:42
Medical Incident,94103,2:12
Medical Incident,94108,1:07
Medical Incident,94102,1:40
Structure Fire,94102,0:41
Gas Leak (Natural and LP Gases),94134,3:50
Structure Fire,94117,3:50
Structure Fire,94117,2:54
Medical Incident,94102,0:00
Medical Incident,94134,1:29
Structure Fire,94102,3:22
Medical Incident,94108,2:25
Medical Incident,94103,2:25
Alarms,94102,1:33
Medical Incident,94112,1:38
Traffic Collision,94121,13:25
Medical Incident,94110,1:38
Medical Incident,94134,1:37
Outside Fire,94118,2:43
Medical Incident,94115,1:01
Structure Fire,94102,2:06
Medical Incident,94124,10:20
Structure Fire,94133,2:19
Medical Incident,94124,1:01
Structure Fire,94102,2:55
Medical Incident,94102,0:20
Medical Incident,94124,0:44
Other,94114,2:42
Medical Incident,94110,2:47
Medical Incident,94108,4:28
Traffic Collision,94103,0:14
Medical Incident,94118,1:29
Structure Fire,94102,0:19
Medical Incident,94109,2:17
Structure Fire,94110,10:30
Medical Incident,94118,1:00
Structure Fire,94114,6:41:38
Train / Rail Incident,94105,1:34
Alarms,94102,0:39
Medical Incident,94102,1:24
Medical Incident,94102,1:56
Medical Incident,94109,2:47
Medical Incident,94103,5:25
Alarms,94115,2:58
Alarms,94124,15:31
Train / Rail Incident,94105,0:13
Medical Incident,94110,0:08
Medical Incident,94118,0:36
Medical Incident,94115,1:10
Medical Incident,94116,2:44
Medical Incident,94110,4:53
Medical Incident,94102,1:36
Medical Incident,94109,3:09
Medical Incident,94103,0:08
Medical Incident,94109,1:45
Alarms,94105,1:56
Alarms,94102,1:29
Alarms,94109,0:14
Medical Incident,94110,12:52
Traffic Collision,94112,4:00
Alarms,94102,2:45
Medical Incident,94112,3:42
Medical Incident,94110,2:07
Medical Incident,94102,2:26
Medical Incident,94103,2:05
Medical Incident,94109,2:24
Medical Incident,94123,1:01
Structure Fire,94102,4:31
Medical Incident,94122,4:31
Medical Incident,94122,4:56
Structure Fire,94114,0:49
Medical Incident,94123,2:13
Medical Incident,94112,2:30
Medical Incident,94121,2:24
Medical Incident,94107,3:24
Medical Incident,94103,1:45
Medical Incident,94107,0:53
Medical Incident,94110,2:05
Medical Incident,94109,2:06
Alarms,94102,2:47
Medical Incident,94108,4:45
Structure Fire,94110,1:40
Alarms,94123,3:44
Medical Incident,94132,4:35
Medical Incident,94107,1:50
Medical Incident,94133,3:08
Medical Incident,94122,3:26
Medical Incident,94132,1:29
Structure Fire,94102,2:24
Medical Incident,94107,1:50
Alarms,94109,3:06
Medical Incident,94107,1:29
Structure Fire,94102,5:49
Structure Fire,94110,1:36
Medical Incident,94121,0:44
Other,94114,0:53
Medical Incident,94103,0:47
Outside Fire,94111,1:37
Medical Incident,94109,4:33
Medical Incident,94112,1:25
Alarms,94122,2:28
Medical Incident,94109,9:28
Medical Incident,94103,0:17
Structure Fire,94103,2:10
Medical Incident,94110,1:32
Medical Incident,94115,3:56
Medical Incident,94118,1:23
Alarms,94108,4:00
Medical Incident,94102,2:06
Alarms,94102,0:10
Structure Fire,94109,4:31
Medical Incident,94102,2:10
Medical Incident,94124,1:41
Medical Incident,94110,1:57
Alarms,94133,3:50
Medical Incident,94116,1:51
Medical Incident,94124,1:56
Medical Incident,94109,2:42
Medical Incident,94109,3:47
Structure Fire,94114,0:52
Medical Incident,94109,0:44
Other,94114,3:24
Medical Incident,94115,1:42
Gas Leak (Natural and LP Gases),94132,0:18
Medical Incident,94102,1:25
Alarms,94122,0:44
Other,94114,3:14
Medical Incident,94121,3:46
Medical Incident,94110,15:31
Train / Rail Incident,94105,1:10
Alarms,94103,1:40
Alarms,94123,0:14
Medical Incident,94110,0:40
Medical Incident,94122,3:01
Medical Incident,94112,1:43
Alarms,94109,1:04
Medical Incident,94109,1:17
Medical Incident,94102,1:43
Medical Incident,94102,1:50
Alarms,94109,15:31
Train / Rail Incident,94105,3:14
Medical Incident,94124,0:01:49
Medical Incident,94102,2:32
Medical Incident,94103,1:25
Alarms,94102,1:29
Alarms,94109,0:52
Citizen Assist / Service Call,94102,2:50
Alarms,94102,12:05
Medical Incident,94110,1:29
Medical Incident,94110,2:51
Medical Incident,94133,0:16
Medical Incident,94102,1:54
Alarms,94131,0:17
Medical Incident,94114,0:14
Medical Incident,94102,0:49
Medical Incident,94123,1:45
Medical Incident,94107,0:21
