,call_type,received_timestamp,row_id,zipcode_of_incident
2864,Medical Incident,2018-01-21 08:59:51.000000 UTC,180210839-AM106,94103
2865,Structure Fire,2018-01-21 23:25:39.000000 UTC,180213526-E12,94117
2866,Medical Incident,2018-01-21 00:47:28.000000 UTC,180210108-AM120,94107
2867,Water Rescue,2018-01-21 10:19:35.000000 UTC,180211077-FB1,94111
2868,Medical Incident,2018-01-21 00:21:48.000000 UTC,180210047-E22,94116
2869,Medical Incident,2018-01-21 00:21:48.000000 UTC,180210047-63,94116
2870,Structure Fire,2018-01-21 16:51:12.000000 UTC,180212391-E28,94133
2871,Medical Incident,2018-01-21 19:31:09.000000 UTC,180212963-B02,94103
2872,Medical Incident,2018-01-21 07:44:40.000000 UTC,180210657-63,94103
2873,Medical Incident,2018-01-21 13:11:33.000000 UTC,180211640-60,94124
2874,Medical Incident,2018-01-21 12:45:03.000000 UTC,180211542-E36,94109
2875,Medical Incident,2018-01-21 10:53:08.000000 UTC,180211172-63,94134
2876,Medical Incident,2018-01-21 18:39:38.000000 UTC,180212792-82,94107
2877,Medical Incident,2018-01-21 21:21:38.000000 UTC,180213231-85,94110
2878,Medical Incident,2018-01-21 09:33:17.000000 UTC,180210928-E04,94158
2879,Medical Incident,2018-01-21 16:23:42.000000 UTC,180212283-KM11,94117
2880,Medical Incident,2018-01-21 13:41:57.000000 UTC,180211751-T02,94108
2881,Medical Incident,2018-01-21 21:39:39.000000 UTC,180213272-85,94124
2882,Medical Incident,2018-01-21 06:45:42.000000 UTC,180210580-E01,94105
2883,Medical Incident,2018-01-21 11:37:59.000000 UTC,180211309-64,94103
2884,Medical Incident,2018-01-21 22:50:24.000000 UTC,180213462-55,94110
2885,Medical Incident,2018-01-21 10:21:37.000000 UTC,180211081-KM02,94103
2886,Citizen Assist / Service Call,2018-01-21 20:29:03.000000 UTC,180213098-E31,94118
2887,Water Rescue,2018-01-21 10:19:35.000000 UTC,180211077-E02,94111
2888,Medical Incident,2018-01-21 02:34:03.000000 UTC,180210315-E01,94103
2889,Medical Incident,2018-01-21 15:47:09.000000 UTC,180212142-52,94124
2890,Medical Incident,2018-01-21 12:34:18.000000 UTC,180211505-T17,94124
2891,Alarms,2018-01-21 10:19:57.000000 UTC,180211082-B03,94107
2892,Medical Incident,2018-01-21 07:47:27.000000 UTC,180210661-E01,94103
2893,Medical Incident,2018-01-21 22:39:16.000000 UTC,180213437-65,94105
2894,Alarms,2018-01-21 10:36:23.000000 UTC,180211120-E51,94123
2895,Alarms,2018-01-21 10:19:57.000000 UTC,180211082-E29,94107
2896,Alarms,2018-01-21 10:47:22.000000 UTC,180211159-B08,94122
2897,Medical Incident,2018-01-21 21:05:44.000000 UTC,180213191-E39,94131
2898,Medical Incident,2018-01-21 13:51:22.000000 UTC,180211787-AM114,94103
2899,Medical Incident,2018-01-21 07:37:37.000000 UTC,180210647-62,94102
2900,Medical Incident,2018-01-21 04:32:45.000000 UTC,180210445-E06,94114
2901,Medical Incident,2018-01-21 20:12:52.000000 UTC,180213058-E03,94102
2902,Medical Incident,2018-01-21 14:31:35.000000 UTC,180211907-SR34,94121
2903,Medical Incident,2018-01-21 04:00:14.000000 UTC,180210407-63,94105
2904,Medical Incident,2018-01-21 18:04:30.000000 UTC,180212675-E28,94133
2905,Medical Incident,2018-01-21 21:32:38.000000 UTC,180213255-RC3,94110
2906,Medical Incident,2018-01-21 23:14:35.000000 UTC,180213512-87,94102
2907,Medical Incident,2018-01-21 11:05:30.000000 UTC,180211211-60,94118
2908,Outside Fire,2018-01-21 12:41:22.000000 UTC,180211533-E01,94107
2909,Medical Incident,2018-01-21 19:31:09.000000 UTC,180212963-T01,94103
2910,Traffic Collision,2018-01-21 20:26:10.000000 UTC,180213084-KM01,94124
2911,Medical Incident,2018-01-21 14:40:57.000000 UTC,180211928-AM108,94133
2912,Medical Incident,2018-01-21 05:48:37.000000 UTC,180210526-65,94107
2913,Elevator / Escalator Rescue,2018-01-21 15:16:23.000000 UTC,180212031-T03,94109
2914,Medical Incident,2018-01-21 18:18:47.000000 UTC,180212710-KM06,94122
2915,Medical Incident,2018-01-21 18:56:33.000000 UTC,180212847-E14,94121
2916,Medical Incident,2018-01-21 09:02:56.000000 UTC,180210845-AM108,94102
2917,Medical Incident,2018-01-21 19:34:24.000000 UTC,180212960-E33,94132
2918,Outside Fire,2018-01-21 20:58:55.000000 UTC,180213167-E32,94110
2919,Medical Incident,2018-01-21 08:57:21.000000 UTC,180210828-50,94132
2920,Alarms,2018-01-21 08:15:44.000000 UTC,180210725-B10,94124
2921,Alarms,2018-01-21 18:46:33.000000 UTC,180212815-T18,94116
2922,Other,2018-01-21 19:51:11.000000 UTC,180213004-E40,94122
2923,Structure Fire,2018-01-21 23:25:39.000000 UTC,180213526-E21,94117
2924,Traffic Collision,2018-01-21 16:38:20.000000 UTC,180212357-61,94122
2925,Medical Incident,2018-01-21 12:35:54.000000 UTC,180211511-RC1,94103
2926,Medical Incident,2018-01-21 07:55:01.000000 UTC,180210673-E28,94133
2927,Medical Incident,2018-01-21 00:11:46.000000 UTC,180210031-89,94111
2928,Medical Incident,2018-01-21 18:19:17.000000 UTC,180212714-EMS6,94114
2929,Medical Incident,2018-01-21 03:06:19.000000 UTC,180210356-85,94110
2930,Medical Incident,2018-01-21 08:16:46.000000 UTC,180210728-KM11,94102
2931,Alarms,2018-01-21 18:25:02.000000 UTC,180212729-B02,94114
2932,Medical Incident,2018-01-21 23:39:45.000000 UTC,180213550-E03,94102
2933,Medical Incident,2018-01-21 12:14:09.000000 UTC,180211438-E24,94131
2934,Medical Incident,2018-01-21 01:37:34.000000 UTC,180210221-78,94110
2935,Medical Incident,2018-01-21 00:21:48.000000 UTC,180210047-55,94116
2936,Medical Incident,2018-01-21 17:03:25.000000 UTC,180212429-64,94112
2937,Medical Incident,2018-01-21 12:14:09.000000 UTC,180211438-95,94131
2938,Gas Leak (Natural and LP Gases),2018-01-21 14:05:56.000000 UTC,180211822-B02,94115
2939,Medical Incident,2018-01-21 11:36:10.000000 UTC,180211300-KM08,94117
2940,Medical Incident,2018-01-21 18:42:45.000000 UTC,180212798-AM120,94109
2941,Alarms,2018-01-21 10:36:23.000000 UTC,180211120-T05,94123
2942,Traffic Collision,2018-01-21 20:15:33.000000 UTC,180213062-E36,94103
2943,Medical Incident,2018-01-21 00:35:31.000000 UTC,180210081-E17,94124
2944,Alarms,2018-01-21 04:17:47.000000 UTC,180210424-E38,94115
2945,Citizen Assist / Service Call,2018-01-21 04:07:39.000000 UTC,180210412-E17,94124
2946,Medical Incident,2018-01-21 12:45:03.000000 UTC,180211542-T03,94109
2947,Medical Incident,2018-01-21 23:39:45.000000 UTC,180213550-AM124,94102
2948,Medical Incident,2018-01-21 21:16:48.000000 UTC,180213214-82,94107
2949,Medical Incident,2018-01-21 07:48:59.000000 UTC,180210664-AM124,94116
2950,Structure Fire,2018-01-21 12:03:12.000000 UTC,180211402-E41,94102
2951,Medical Incident,2018-01-21 12:45:03.000000 UTC,180211542-77,94109
2952,Train / Rail Incident,2018-01-21 04:53:54.000000 UTC,180210483-T13,94105
2953,Medical Incident,2018-01-21 10:30:10.000000 UTC,180211103-E06,94102
2954,Medical Incident,2018-01-21 10:18:35.000000 UTC,180211071-E13,94108
2955,Alarms,2018-01-21 09:19:00.000000 UTC,180210891-E36,94103
2956,Medical Incident,2018-01-21 21:41:11.000000 UTC,180213287-82,94102
2957,Structure Fire,2018-01-21 23:25:39.000000 UTC,180213526-D2,94117
2958,Medical Incident,2018-01-21 10:33:32.000000 UTC,180211108-KM11,94109
2959,Medical Incident,2018-01-21 16:49:43.000000 UTC,180212392-E41,94109
2960,Medical Incident,2018-01-21 17:43:06.000000 UTC,180212581-T03,94102
2961,Alarms,2018-01-21 02:21:41.000000 UTC,180210297-B02,94102
2962,Structure Fire,2018-01-21 23:17:42.000000 UTC,180213514-E41,94133
2963,Medical Incident,2018-01-21 14:51:23.000000 UTC,180211959-65,94124
2964,Medical Incident,2018-01-21 14:30:35.000000 UTC,180211911-KM06,94108
2965,Medical Incident,2018-01-21 00:28:50.000000 UTC,180210061-AM124,94133
2966,Medical Incident,2018-01-21 11:55:00.000000 UTC,180211367-AM108,94123
2967,Outside Fire,2018-01-21 10:10:10.000000 UTC,180211039-E17,94124
2968,Citizen Assist / Service Call,2018-01-21 16:24:46.000000 UTC,180212289-E37,94107
2969,Alarms,2018-01-21 15:55:46.000000 UTC,180212178-E22,94122
2970,Medical Incident,2018-01-21 18:19:43.000000 UTC,180212713-AM114,94110
2971,Alarms,2018-01-21 18:25:02.000000 UTC,180212729-T06,94114
2972,Medical Incident,2018-01-21 18:04:30.000000 UTC,180212675-KM02,94133
2973,Medical Incident,2018-01-21 11:05:30.000000 UTC,180211211-E21,94118
2974,Alarms,2018-01-21 18:46:33.000000 UTC,180212815-B08,94116
2975,Medical Incident,2018-01-21 21:16:48.000000 UTC,180213214-E35,94107
2976,Medical Incident,2018-01-21 09:21:11.000000 UTC,180210903-70,94124
2977,Medical Incident,2018-01-21 10:30:10.000000 UTC,180211103-E05,94102
2978,Medical Incident,2018-01-21 17:42:58.000000 UTC,180212592-AM116,94116
2979,Medical Incident,2018-01-21 21:27:05.000000 UTC,180213241-55,94124
2980,Alarms,2018-01-21 12:47:08.000000 UTC,180211558-T06,94114
2981,Medical Incident,2018-01-21 16:20:25.000000 UTC,180212268-AM114,94105
2982,Medical Incident,2018-01-21 06:38:46.000000 UTC,180210566-82,94110
2983,Medical Incident,2018-01-21 01:59:43.000000 UTC,180210257-E41,94109
2984,Alarms,2018-01-21 19:35:19.000000 UTC,180212970-T09,94110
2985,Medical Incident,2018-01-21 09:45:39.000000 UTC,180210969-E13,94111
2986,Medical Incident,2018-01-21 17:36:07.000000 UTC,180212563-E48,94130
2987,Medical Incident,2018-01-21 17:38:43.000000 UTC,180212577-77,94121
2988,Alarms,2018-01-21 13:17:07.000000 UTC,180211662-B01,94108
2989,Medical Incident,2018-01-21 02:39:20.000000 UTC,180210318-65,94134
2990,Medical Incident,2018-01-21 14:41:29.000000 UTC,180211930-88,94109
2991,Medical Incident,2018-01-21 09:57:07.000000 UTC,180211011-54,94112
2992,Structure Fire,2018-01-21 12:03:12.000000 UTC,180211402-E01,94102
2993,Medical Incident,2018-01-21 05:49:54.000000 UTC,180210525-E29,94103
2994,Medical Incident,2018-01-21 14:25:19.000000 UTC,180211876-AM102,94117
2995,Medical Incident,2018-01-21 20:48:29.000000 UTC,180213145-AM120,94108
2996,Structure Fire,2018-01-21 14:23:39.000000 UTC,180211872-T15,94112
2997,Outside Fire,2018-01-21 00:01:59.000000 UTC,180210010-B10,94124
2998,Traffic Collision,2018-01-21 12:38:58.000000 UTC,180211524-E29,94103
2999,Medical Incident,2018-01-21 14:40:57.000000 UTC,180211928-E02,94133
3000,Alarms,2018-01-21 10:47:22.000000 UTC,180211159-T18,94122
3001,Medical Incident,2018-01-21 23:44:55.000000 UTC,180213560-KM07,94102
3002,Alarms,2018-01-21 15:32:00.000000 UTC,180212085-T13,94104
3003,Medical Incident,2018-01-21 17:40:05.000000 UTC,180212570-76,94110
3004,Medical Incident,2018-01-21 09:05:49.000000 UTC,180210851-E35,94105
3005,Medical Incident,2018-01-21 17:56:37.000000 UTC,180212649-E21,94115
3006,Alarms,2018-01-21 23:13:02.000000 UTC,180213502-B01,94133
3007,Medical Incident,2018-01-21 10:31:23.000000 UTC,180211107-50,94103
3008,Medical Incident,2018-01-21 14:31:35.000000 UTC,180211907-57,94121
3009,Medical Incident,2018-01-21 00:52:53.000000 UTC,180210125-62,94102
3010,Medical Incident,2018-01-21 14:06:43.000000 UTC,180211823-95,94117
3011,Medical Incident,2018-01-21 09:53:14.000000 UTC,180210993-E48,94130
3012,Medical Incident,2018-01-21 19:22:41.000000 UTC,180212922-E37,94107
3013,Medical Incident,2018-01-21 21:32:38.000000 UTC,180213255-E32,94110
3014,Medical Incident,2018-01-21 08:41:45.000000 UTC,180210786-E40,94132
3015,Alarms,2018-01-21 23:12:05.000000 UTC,180213501-E32,94110
3016,Medical Incident,2018-01-21 14:14:10.000000 UTC,180211838-E22,94122
3017,Structure Fire,2018-01-21 08:00:35.000000 UTC,180210681-T03,94102
3018,Medical Incident,2018-01-21 09:33:17.000000 UTC,180210928-60,94158
3019,Fuel Spill,2018-01-21 12:19:03.000000 UTC,180211455-E38,94115
3020,Alarms,2018-01-21 15:32:00.000000 UTC,180212085-B01,94104
3021,Structure Fire,2018-01-21 00:40:33.000000 UTC,180210091-T01,94102
3022,Medical Incident,2018-01-21 09:40:16.000000 UTC,180210955-61,94132
3023,Medical Incident,2018-01-21 15:21:53.000000 UTC,180212049-82,94108
3024,Medical Incident,2018-01-21 18:23:34.000000 UTC,180212718-KM01,94103
3025,Medical Incident,2018-01-21 22:00:12.000000 UTC,180213328-E38,94115
3026,Medical Incident,2018-01-21 09:07:15.000000 UTC,180210853-AM108,94109
3027,Medical Incident,2018-01-21 14:31:35.000000 UTC,180211907-E34,94121
3028,Medical Incident,2018-01-21 08:52:04.000000 UTC,180210810-E13,94111
3029,Medical Incident,2018-01-21 10:53:08.000000 UTC,180211172-E42,94134
3030,Alarms,2018-01-21 04:17:47.000000 UTC,180210424-T05,94115
3031,Structure Fire,2018-01-21 00:38:02.000000 UTC,180210083-E03,94102
3032,Medical Incident,2018-01-21 18:23:34.000000 UTC,180212718-E06,94103
3033,Medical Incident,2018-01-21 00:55:36.000000 UTC,180210137-72,94133
3034,Medical Incident,2018-01-21 01:10:19.000000 UTC,180210167-KM07,94109
3035,Structure Fire,2018-01-21 16:51:12.000000 UTC,180212391-E02,94133
3036,Traffic Collision,2018-01-21 18:53:26.000000 UTC,180212836-E05,94114
3037,Alarms,2018-01-21 00:52:41.000000 UTC,180210128-B01,94111
3038,Alarms,2018-01-21 03:47:43.000000 UTC,180210395-E38,94115
3039,Medical Incident,2018-01-21 08:51:40.000000 UTC,180210814-E03,94109
3040,Medical Incident,2018-01-21 11:58:34.000000 UTC,180211375-65,94124
3041,Medical Incident,2018-01-21 00:08:26.000000 UTC,180210023-E40,94116
3042,Medical Incident,2018-01-21 13:13:31.000000 UTC,180211649-RS1,94103
3043,Water Rescue,2018-01-21 10:19:35.000000 UTC,180211077-T13,94111
3044,Medical Incident,2018-01-21 15:08:18.000000 UTC,180212008-E26,94131
3045,Train / Rail Incident,2018-01-21 04:53:54.000000 UTC,180210483-T04,94105
3046,Medical Incident,2018-01-21 21:32:26.000000 UTC,180213256-53,94103
3047,Medical Incident,2018-01-21 19:23:52.000000 UTC,180212928-AM110,94109
3048,Structure Fire,2018-01-21 16:51:12.000000 UTC,180212391-63,94133
3049,Smoke Investigation (Outside),2018-01-21 13:03:09.000000 UTC,180211604-E35,94105
3050,Medical Incident,2018-01-21 02:46:08.000000 UTC,180210327-75,94134
3051,Structure Fire,2018-01-21 14:23:39.000000 UTC,180211872-E43,94112
3052,Medical Incident,2018-01-21 13:27:21.000000 UTC,180211712-E02,94108
3053,Medical Incident,2018-01-21 14:25:19.000000 UTC,180211876-KM11,94117
3054,Medical Incident,2018-01-21 19:41:21.000000 UTC,180212982-83,94114
3055,Medical Incident,2018-01-21 09:24:47.000000 UTC,180210909-64,94103
3056,Elevator / Escalator Rescue,2018-01-21 16:34:11.000000 UTC,180212348-T03,94103
3057,Structure Fire,2018-01-21 12:03:12.000000 UTC,180211402-50,94102
3058,Medical Incident,2018-01-21 03:06:19.000000 UTC,180210356-RC3,94110
3059,Medical Incident,2018-01-21 13:41:57.000000 UTC,180211751-E02,94108
3060,Medical Incident,2018-01-21 08:51:40.000000 UTC,180210814-AM102,94109
3061,Medical Incident,2018-01-21 14:54:19.000000 UTC,180211965-E03,94109
3062,Medical Incident,2018-01-21 14:40:57.000000 UTC,180211928-RC1,94133
3063,Water Rescue,2018-01-21 10:19:35.000000 UTC,180211077-E16,94111
3064,Traffic Collision,2018-01-21 07:15:39.000000 UTC,180210612-60,94122
3065,Medical Incident,2018-01-21 13:41:57.000000 UTC,180211751-KM06,94108
3066,Medical Incident,2018-01-21 08:12:49.000000 UTC,180210711-95,94122
3067,Medical Incident,2018-01-21 08:33:44.000000 UTC,180210763-63,94133
3068,Medical Incident,2018-01-21 03:53:13.000000 UTC,180210400-74,94109
3069,Medical Incident,2018-01-21 16:15:49.000000 UTC,180212253-E05,94114
3070,Medical Incident,2018-01-21 14:14:10.000000 UTC,180211838-87,94122
3071,Water Rescue,2018-01-21 10:19:35.000000 UTC,180211077-RS1,94111
3072,Medical Incident,2018-01-21 22:02:16.000000 UTC,180213361-E15,94112
3073,Medical Incident,2018-01-21 15:21:24.000000 UTC,180212054-50,94115
3074,Alarms,2018-01-21 03:47:43.000000 UTC,180210395-T05,94115
3075,Medical Incident,2018-01-21 17:38:43.000000 UTC,180212577-E34,94121
3076,Medical Incident,2018-01-21 09:47:25.000000 UTC,180210972-E10,94118
3077,Medical Incident,2018-01-21 19:26:01.000000 UTC,180212938-AM118,94133
3078,Medical Incident,2018-01-21 00:02:55.000000 UTC,180210007-85,94103
3079,Structure Fire,2018-01-21 23:17:42.000000 UTC,180213514-E13,94133
3080,Structure Fire,2018-01-21 16:51:12.000000 UTC,180212391-T13,94133
3081,Alarms,2018-01-21 10:56:16.000000 UTC,180211181-T10,94123
3082,Medical Incident,2018-01-21 07:48:59.000000 UTC,180210664-E23,94116
3083,Medical Incident,2018-01-21 19:33:18.000000 UTC,180212964-79,94102
3084,Medical Incident,2018-01-21 00:52:53.000000 UTC,180210125-63,94102
3085,Outside Fire,2018-01-21 05:52:27.000000 UTC,180210528-T06,94114
3086,Medical Incident,2018-01-21 23:14:40.000000 UTC,180213507-T15,94134
3087,Medical Incident,2018-01-21 07:28:37.000000 UTC,180210635-65,94107
3088,Structure Fire,2018-01-21 16:51:12.000000 UTC,180212391-RS1,94133
3089,Structure Fire,2018-01-21 23:25:39.000000 UTC,180213526-D3,94117
3090,Alarms,2018-01-21 04:25:58.000000 UTC,180210437-B10,94124
3091,Medical Incident,2018-01-21 10:33:32.000000 UTC,180211108-E38,94109
3092,Medical Incident,2018-01-21 04:38:40.000000 UTC,180210454-AM120,94109
3093,Outside Fire,2018-01-21 01:54:22.000000 UTC,180210250-T17,94124
3094,Alarms,2018-01-21 13:17:07.000000 UTC,180211662-E41,94108
3095,Medical Incident,2018-01-21 04:27:41.000000 UTC,180210436-E41,94102
3096,Medical Incident,2018-01-21 10:15:19.000000 UTC,180211060-E01,94103
3097,Medical Incident,2018-01-21 21:13:32.000000 UTC,180213200-62,94109
3098,Medical Incident,2018-01-21 09:50:43.000000 UTC,180210982-E18,94122
3099,Structure Fire,2018-01-21 12:03:12.000000 UTC,180211402-D2,94102
3100,Medical Incident,2018-01-21 09:12:57.000000 UTC,180210872-85,94133
3101,Medical Incident,2018-01-21 20:16:01.000000 UTC,180213065-KM06,94117
3102,Medical Incident,2018-01-21 10:30:10.000000 UTC,180211103-87,94102
3103,Medical Incident,2018-01-21 09:27:39.000000 UTC,180210917-AM110,94112
3104,Medical Incident,2018-01-21 17:43:06.000000 UTC,180212581-E03,94102
3105,Water Rescue,2018-01-21 10:19:35.000000 UTC,180211077-RC1,94111
3106,Other,2018-01-21 09:44:28.000000 UTC,180210964-E06,94103
3107,Medical Incident,2018-01-21 17:42:58.000000 UTC,180212592-E18,94116
3108,Alarms,2018-01-21 23:12:05.000000 UTC,180213501-B06,94110
3109,Medical Incident,2018-01-21 13:44:03.000000 UTC,180211765-52,94112
3110,Medical Incident,2018-01-21 10:31:23.000000 UTC,180211107-E36,94103
3111,Traffic Collision,2018-01-21 13:03:28.000000 UTC,180211606-KM01,94132
3112,Medical Incident,2018-01-21 12:34:18.000000 UTC,180211505-85,94124
3113,Smoke Investigation (Outside),2018-01-21 13:03:09.000000 UTC,180211604-B03,94105
3114,Medical Incident,2018-01-21 06:45:42.000000 UTC,180210580-AM102,94105
3115,Medical Incident,2018-01-21 21:39:39.000000 UTC,180213272-E42,94124
3116,Medical Incident,2018-01-21 02:48:40.000000 UTC,180210331-E01,94103
3117,Medical Incident,2018-01-21 18:25:42.000000 UTC,180212736-66,94116
3118,Medical Incident,2018-01-21 07:19:05.000000 UTC,180210617-E01,94103
3119,Medical Incident,2018-01-21 13:44:03.000000 UTC,180211765-E43,94112
3120,Medical Incident,2018-01-21 18:44:48.000000 UTC,180212821-T03,94102
3121,Medical Incident,2018-01-21 18:18:47.000000 UTC,180212710-E12,94122
3122,Medical Incident,2018-01-21 10:13:53.000000 UTC,180211054-E36,94102
3123,Outside Fire,2018-01-21 00:00:52.000000 UTC,180210008-E09,94124
3124,Medical Incident,2018-01-21 09:49:33.000000 UTC,180210978-88,94116
3125,Medical Incident,2018-01-21 05:31:39.000000 UTC,180210510-75,94124
3126,Medical Incident,2018-01-21 18:29:45.000000 UTC,180212747-RC1,94102
3127,Medical Incident,2018-01-21 15:52:49.000000 UTC,180212166-64,94102
3128,Vehicle Fire,2018-01-21 21:45:56.000000 UTC,180213294-T15,94112
3129,Medical Incident,2018-01-21 09:59:46.000000 UTC,180211007-58,94103
3130,Alarms,2018-01-21 01:48:55.000000 UTC,180210240-B02,94102
3131,Medical Incident,2018-01-21 20:12:52.000000 UTC,180213058-AM116,94102
3132,Medical Incident,2018-01-21 15:22:39.000000 UTC,180212058-88,94103
3133,Water Rescue,2018-01-21 10:19:35.000000 UTC,180211077-B01,94111
3134,Medical Incident,2018-01-21 12:50:11.000000 UTC,180211561-KM11,94114
3135,Medical Incident,2018-01-21 09:35:59.000000 UTC,180210936-KM08,94108
3136,Medical Incident,2018-01-21 19:31:09.000000 UTC,180212963-E01,94103
3137,Medical Incident,2018-01-21 01:37:34.000000 UTC,180210221-E11,94110
3138,Medical Incident,2018-01-21 01:17:47.000000 UTC,180210186-67,94124
3139,Medical Incident,2018-01-21 14:40:57.000000 UTC,180211928-62,94133
3140,Medical Incident,2018-01-21 17:43:06.000000 UTC,180212581-RC1,94102
3141,Medical Incident,2018-01-21 11:55:00.000000 UTC,180211367-E38,94123
3142,Traffic Collision,2018-01-21 20:15:33.000000 UTC,180213062-53,94103
3143,Medical Incident,2018-01-21 11:58:34.000000 UTC,180211375-E42,94124
3144,Medical Incident,2018-01-21 17:46:29.000000 UTC,180212591-E04,94158
3145,Medical Incident,2018-01-21 00:35:31.000000 UTC,180210081-65,94124
3146,Outside Fire,2018-01-21 04:29:31.000000 UTC,180210444-B05,94109
3147,Alarms,2018-01-21 04:24:42.000000 UTC,180210432-B02,94103
3148,Medical Incident,2018-01-21 04:27:41.000000 UTC,180210436-62,94102
3149,Medical Incident,2018-01-21 14:54:19.000000 UTC,180211965-AM114,94109
3150,Medical Incident,2018-01-21 09:05:49.000000 UTC,180210851-52,94105
3151,Structure Fire,2018-01-21 00:40:33.000000 UTC,180210091-E02,94102
3152,Medical Incident,2018-01-21 04:23:56.000000 UTC,180210431-KM03,94110
3153,Outside Fire,2018-01-21 04:29:31.000000 UTC,180210444-E03,94109
3154,Medical Incident,2018-01-21 09:49:33.000000 UTC,180210978-E39,94116
3155,Medical Incident,2018-01-21 15:47:09.000000 UTC,180212142-E42,94124
3156,Traffic Collision,2018-01-21 20:26:10.000000 UTC,180213084-E17,94124
3157,Medical Incident,2018-01-21 12:44:18.000000 UTC,180211537-KM09,94109
3158,Medical Incident,2018-01-21 23:56:15.000000 UTC,180213581-KM03,94112
3159,Medical Incident,2018-01-21 21:23:25.000000 UTC,180213234-E03,94102
3160,Medical Incident,2018-01-21 19:48:14.000000 UTC,180212992-66,94103
3161,Medical Incident,2018-01-21 01:08:09.000000 UTC,180210166-E35,94105
3162,Train / Rail Incident,2018-01-21 04:53:54.000000 UTC,180210483-RC1,94105
3163,Outside Fire,2018-01-21 00:01:59.000000 UTC,180210010-E25,94124
3164,Medical Incident,2018-01-21 09:47:25.000000 UTC,180210972-77,94118
3165,Electrical Hazard,2018-01-21 03:10:23.000000 UTC,180210358-E39,94131
3166,Structure Fire,2018-01-21 23:17:42.000000 UTC,180213514-53,94133
3167,Medical Incident,2018-01-21 03:14:41.000000 UTC,180210362-KM03,94102
3168,Water Rescue,2018-01-21 10:19:35.000000 UTC,180211077-T16,94111
3169,Medical Incident,2018-01-21 15:21:53.000000 UTC,180212049-E03,94108
3170,Medical Incident,2018-01-21 05:31:39.000000 UTC,180210510-E17,94124
3171,Alarms,2018-01-21 12:02:48.000000 UTC,180211399-E28,94123
3172,Medical Incident,2018-01-21 10:13:53.000000 UTC,180211054-62,94102
3173,Medical Incident,2018-01-21 22:11:49.000000 UTC,180213374-68,94102
3174,Traffic Collision,2018-01-21 07:08:20.000000 UTC,180210596-E17,94124
3175,Traffic Collision,2018-01-21 16:38:20.000000 UTC,180212357-E22,94122
3176,Medical Incident,2018-01-21 15:08:18.000000 UTC,180212008-54,94131
3177,Medical Incident,2018-01-21 02:24:02.000000 UTC,180210299-63,94102
3178,Alarms,2018-01-21 04:25:58.000000 UTC,180210437-E42,94124
3179,Medical Incident,2018-01-21 05:22:15.000000 UTC,180210498-KM07,94123
3180,Traffic Collision,2018-01-21 15:53:34.000000 UTC,180212163-E17,94124
3181,Medical Incident,2018-01-21 14:25:19.000000 UTC,180211876-E36,94117
3182,Alarms,2018-01-21 18:25:02.000000 UTC,180212729-E05,94114
3183,Medical Incident,2018-01-21 21:32:38.000000 UTC,180213255-71,94110
3184,Train / Rail Incident,2018-01-21 04:53:54.000000 UTC,180210483-RS1,94105
3185,Medical Incident,2018-01-21 13:20:40.000000 UTC,180211676-70,94107
3186,Medical Incident,2018-01-21 00:57:29.000000 UTC,180210136-84,94110
3187,Medical Incident,2018-01-21 07:55:01.000000 UTC,180210673-E02,94133
3188,Medical Incident,2018-01-21 11:24:36.000000 UTC,180211264-AM110,94102
3189,Fuel Spill,2018-01-21 12:19:03.000000 UTC,180211455-T05,94115
3190,Medical Incident,2018-01-21 22:00:12.000000 UTC,180213328-RC1,94115
3191,Medical Incident,2018-01-21 19:41:53.000000 UTC,180212984-85,94102
3192,Medical Incident,2018-01-21 01:48:59.000000 UTC,180210237-89,94103
3193,Medical Incident,2018-01-21 07:47:27.000000 UTC,180210661-70,94103
3194,Medical Incident,2018-01-21 22:22:34.000000 UTC,180213396-RS1,94103
3195,Medical Incident,2018-01-21 21:32:26.000000 UTC,180213256-AM124,94103
3196,Medical Incident,2018-01-21 00:11:46.000000 UTC,180210031-E13,94111
3197,Alarms,2018-01-21 10:56:16.000000 UTC,180211181-B04,94123
3198,Medical Incident,2018-01-21 15:06:02.000000 UTC,180211997-KM01,94131
3199,Alarms,2018-01-21 15:55:46.000000 UTC,180212178-B07,94122
3200,Medical Incident,2018-01-21 12:17:12.000000 UTC,180211444-KM06,94115
3201,Medical Incident,2018-01-21 13:20:40.000000 UTC,180211676-E35,94107
3202,Medical Incident,2018-01-21 15:08:46.000000 UTC,180212004-E37,94107
3203,Medical Incident,2018-01-21 14:25:19.000000 UTC,180211876-E21,94117
3204,Medical Incident,2018-01-21 12:00:03.000000 UTC,180211380-KM02,94133
3205,Medical Incident,2018-01-21 00:36:42.000000 UTC,180210079-63,94102
3206,Medical Incident,2018-01-21 23:16:54.000000 UTC,180213515-E36,94103
3207,Medical Incident,2018-01-21 22:52:43.000000 UTC,180213468-82,94132
3208,Medical Incident,2018-01-21 15:48:39.000000 UTC,180212151-68,94103
3209,Medical Incident,2018-01-21 21:05:44.000000 UTC,180213191-67,94131
3210,Structure Fire,2018-01-21 12:03:12.000000 UTC,180211402-T03,94102
3211,Medical Incident,2018-01-21 16:43:11.000000 UTC,180212378-E43,94112
3212,Medical Incident,2018-01-21 21:01:30.000000 UTC,180213172-65,94121
