call_type,call_date,zipcode
Medical Incident,1/21/2018,94103
Alarms,1/21/2018,94111
Citizen Assist / Service Call,1/21/2018,94132
Water Rescue,1/21/2018,94111
Medical Incident,1/21/2018,94123
Medical Incident,1/21/2018,94109
Electrical Hazard,1/21/2018,94109
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94132
Traffic Collision,1/21/2018,94103
Medical Incident,1/21/2018,94122
Medical Incident,1/21/2018,94122
Medical Incident,1/21/2018,94131
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94104
Structure Fire,1/21/2018,94117
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94112
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94118
Train / Rail Incident,1/21/2018,94105
Medical Incident,1/21/2018,94102
Traffic Collision,1/21/2018,94132
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94102
Outside Fire,1/21/2018,94109
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94122
Medical Incident,1/21/2018,94121
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94103
Structure Fire,1/21/2018,94117
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94115
Medical Incident,1/21/2018,94134
Other,1/21/2018,94102
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94109
Structure Fire,1/21/2018,94102
Alarms,1/21/2018,94110
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94118
Alarms,1/21/2018,94102
Citizen Assist / Service Call,1/21/2018,94122
Medical Incident,1/21/2018,94103
Alarms,1/21/2018,94115
Medical Incident,1/21/2018,94102
Water Rescue,1/21/2018,94111
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94115
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94130
Medical Incident,1/21/2018,94131
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94111
Outside Fire,1/21/2018,94124
Medical Incident,1/21/2018,94103
Outside Fire,1/21/2018,94109
Medical Incident,1/21/2018,94110
Other,1/21/2018,94103
Alarms,1/21/2018,94103
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94110
Traffic Collision,1/21/2018,94124
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94132
Medical Incident,1/21/2018,94114
Medical Incident,1/21/2018,94122
Other,1/21/2018,94103
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94116
Citizen Assist / Service Call,1/21/2018,94107
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94102
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94124
Structure Fire,1/21/2018,94122
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94111
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94103
Structure Fire,1/21/2018,94105
Medical Incident,1/21/2018,94103
Traffic Collision,1/21/2018,94124
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94102
Alarms,1/21/2018,94114
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94115
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94117
Outside Fire,1/21/2018,94109
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94103
Traffic Collision,1/21/2018,94124
Medical Incident,1/21/2018,94109
Outside Fire,1/21/2018,94109
Citizen Assist / Service Call,1/21/2018,94115
Alarms,1/21/2018,94111
Structure Fire,1/21/2018,94133
Alarms,1/21/2018,94103
Medical Incident,1/21/2018,94132
Alarms,1/21/2018,94123
Citizen Assist / Service Call,1/21/2018,94115
Train / Rail Incident,1/21/2018,94105
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94114
Alarms,1/21/2018,94110
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94102
Alarms,1/21/2018,94102
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94124
Outside Fire,1/21/2018,94109
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94123
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94112
Structure Fire,1/21/2018,94111
Medical Incident,1/21/2018,94108
Alarms,1/21/2018,94103
Medical Incident,1/21/2018,94103
Citizen Assist / Service Call,1/21/2018,94133
Medical Incident,1/21/2018,94133
Water Rescue,1/21/2018,94111
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94124
Structure Fire,1/21/2018,94122
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94102
Citizen Assist / Service Call,1/21/2018,94130
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94132
Medical Incident,1/21/2018,94118
Alarms,1/21/2018,94102
Medical Incident,1/21/2018,94103
Structure Fire,1/21/2018,94133
Smoke Investigation (Outside),1/21/2018,94105
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94103
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94158
Medical Incident,1/21/2018,94133
Train / Rail Incident,1/21/2018,94105
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94124
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94103
Vehicle Fire,1/21/2018,94112
Alarms,1/21/2018,94133
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94102
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94108
Outside Fire,1/21/2018,94109
Alarms,1/21/2018,94122
Traffic Collision,1/21/2018,94110
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94118
Medical Incident,1/21/2018,94123
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94111
Medical Incident,1/21/2018,94102
Alarms,1/21/2018,94124
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94123
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94121
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94133
Outside Fire,1/21/2018,94114
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94109
Alarms,1/21/2018,94124
Medical Incident,1/21/2018,94103
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94130
Medical Incident,1/21/2018,94107
Alarms,1/21/2018,94104
Medical Incident,1/21/2018,94102
Alarms,1/21/2018,94116
Medical Incident,1/21/2018,94105
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94130
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94118
Traffic Collision,1/21/2018,94124
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94132
Traffic Collision,1/21/2018,94114
Medical Incident,1/21/2018,94132
Medical Incident,1/21/2018,94132
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94115
Alarms,1/21/2018,94114
Medical Incident,1/21/2018,94122
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94102
Citizen Assist / Service Call,1/21/2018,94112
Medical Incident,1/21/2018,94130
Outside Fire,1/21/2018,94109
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94102
Citizen Assist / Service Call,1/21/2018,94103
Alarms,1/21/2018,94103
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94115
Traffic Collision,1/21/2018,94103
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94124
Outside Fire,1/21/2018,94105
Medical Incident,1/21/2018,94102
Alarms,1/21/2018,94124
Structure Fire,1/21/2018,94102
Alarms,1/21/2018,94124
Structure Fire,1/21/2018,94117
Alarms,1/21/2018,94123
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94114
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94114
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94130
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94102
Water Rescue,1/21/2018,94111
Alarms,1/21/2018,94122
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94132
Alarms,1/21/2018,94102
Medical Incident,1/21/2018,94102
Citizen Assist / Service Call,1/21/2018,94109
Outside Fire,1/21/2018,94124
Train / Rail Incident,1/21/2018,94105
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94110
Structure Fire,1/21/2018,94117
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94158
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94115
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94132
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94103
Alarms,1/21/2018,94108
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94124
Structure Fire,1/21/2018,94111
Alarms,1/21/2018,94124
Medical Incident,1/21/2018,94115
Medical Incident,1/21/2018,94115
Alarms,1/21/2018,94123
Traffic Collision,1/21/2018,94103
Fuel Spill,1/21/2018,94115
Outside Fire,1/21/2018,94114
Alarms,1/21/2018,94124
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94108
Gas Leak (Natural and LP Gases),1/21/2018,94115
Train / Rail Incident,1/21/2018,94105
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94115
Medical Incident,1/21/2018,94103
Outside Fire,1/21/2018,94124
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94115
Medical Incident,1/21/2018,94103
Water Rescue,1/21/2018,94111
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94112
Alarms,1/21/2018,94122
Medical Incident,1/21/2018,94103
Structure Fire,1/21/2018,94117
Medical Incident,1/21/2018,94107
Water Rescue,1/21/2018,94111
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94116
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94134
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94158
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94105
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94103
Citizen Assist / Service Call,1/21/2018,94118
Water Rescue,1/21/2018,94111
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94124
Alarms,1/21/2018,94107
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94105
Alarms,1/21/2018,94123
Alarms,1/21/2018,94107
Alarms,1/21/2018,94122
Medical Incident,1/21/2018,94131
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94114
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94121
Medical Incident,1/21/2018,94105
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94118
Outside Fire,1/21/2018,94107
Medical Incident,1/21/2018,94103
Traffic Collision,1/21/2018,94124
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94107
Elevator / Escalator Rescue,1/21/2018,94109
Medical Incident,1/21/2018,94122
Medical Incident,1/21/2018,94121
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94132
Outside Fire,1/21/2018,94110
Medical Incident,1/21/2018,94132
Alarms,1/21/2018,94124
Alarms,1/21/2018,94116
Other,1/21/2018,94122
Structure Fire,1/21/2018,94117
Traffic Collision,1/21/2018,94122
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94111
Medical Incident,1/21/2018,94114
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94102
Alarms,1/21/2018,94114
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94131
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94131
Gas Leak (Natural and LP Gases),1/21/2018,94115
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94109
Alarms,1/21/2018,94123
Traffic Collision,1/21/2018,94103
Medical Incident,1/21/2018,94124
Alarms,1/21/2018,94115
Citizen Assist / Service Call,1/21/2018,94124
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94116
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94109
Train / Rail Incident,1/21/2018,94105
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94108
Alarms,1/21/2018,94103
Medical Incident,1/21/2018,94102
Structure Fire,1/21/2018,94117
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94102
Alarms,1/21/2018,94102
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94123
Outside Fire,1/21/2018,94124
Citizen Assist / Service Call,1/21/2018,94107
Alarms,1/21/2018,94122
Medical Incident,1/21/2018,94110
Alarms,1/21/2018,94114
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94118
Alarms,1/21/2018,94116
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94124
Alarms,1/21/2018,94114
Medical Incident,1/21/2018,94105
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94109
Alarms,1/21/2018,94110
Medical Incident,1/21/2018,94111
Medical Incident,1/21/2018,94130
Medical Incident,1/21/2018,94121
Alarms,1/21/2018,94108
Medical Incident,1/21/2018,94134
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94112
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94108
Structure Fire,1/21/2018,94112
Outside Fire,1/21/2018,94124
Traffic Collision,1/21/2018,94103
Medical Incident,1/21/2018,94133
Alarms,1/21/2018,94122
Medical Incident,1/21/2018,94102
Alarms,1/21/2018,94104
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94105
Medical Incident,1/21/2018,94115
Alarms,1/21/2018,94133
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94121
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94130
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94132
Alarms,1/21/2018,94110
Medical Incident,1/21/2018,94122
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94158
Fuel Spill,1/21/2018,94115
Alarms,1/21/2018,94104
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94132
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94115
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94121
Medical Incident,1/21/2018,94111
Medical Incident,1/21/2018,94134
Alarms,1/21/2018,94115
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94109
Structure Fire,1/21/2018,94133
Traffic Collision,1/21/2018,94114
Alarms,1/21/2018,94111
Alarms,1/21/2018,94115
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94103
Water Rescue,1/21/2018,94111
Medical Incident,1/21/2018,94131
Train / Rail Incident,1/21/2018,94105
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94109
Structure Fire,1/21/2018,94133
Smoke Investigation (Outside),1/21/2018,94105
Medical Incident,1/21/2018,94134
Structure Fire,1/21/2018,94112
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94114
Medical Incident,1/21/2018,94103
Elevator / Escalator Rescue,1/21/2018,94103
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94133
Water Rescue,1/21/2018,94111
Traffic Collision,1/21/2018,94122
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94122
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94114
Medical Incident,1/21/2018,94122
Water Rescue,1/21/2018,94111
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94115
Alarms,1/21/2018,94115
Medical Incident,1/21/2018,94121
Medical Incident,1/21/2018,94118
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94103
Structure Fire,1/21/2018,94133
Structure Fire,1/21/2018,94133
Alarms,1/21/2018,94123
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94102
Outside Fire,1/21/2018,94114
Medical Incident,1/21/2018,94134
Medical Incident,1/21/2018,94107
Structure Fire,1/21/2018,94133
Structure Fire,1/21/2018,94117
Alarms,1/21/2018,94124
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94109
Outside Fire,1/21/2018,94124
Alarms,1/21/2018,94108
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94122
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94102
Water Rescue,1/21/2018,94111
Other,1/21/2018,94103
Medical Incident,1/21/2018,94116
Alarms,1/21/2018,94110
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94103
Traffic Collision,1/21/2018,94132
Medical Incident,1/21/2018,94124
Smoke Investigation (Outside),1/21/2018,94105
Medical Incident,1/21/2018,94105
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94122
Medical Incident,1/21/2018,94102
Outside Fire,1/21/2018,94124
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94102
Vehicle Fire,1/21/2018,94112
Medical Incident,1/21/2018,94103
Alarms,1/21/2018,94102
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94103
Water Rescue,1/21/2018,94111
Medical Incident,1/21/2018,94114
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94123
Traffic Collision,1/21/2018,94103
Medical Incident,1/21/2018,94124
Medical Incident,1/21/2018,94158
Medical Incident,1/21/2018,94124
Outside Fire,1/21/2018,94109
Alarms,1/21/2018,94103
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94105
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94110
Outside Fire,1/21/2018,94109
Medical Incident,1/21/2018,94116
Medical Incident,1/21/2018,94124
Traffic Collision,1/21/2018,94124
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94105
Train / Rail Incident,1/21/2018,94105
Outside Fire,1/21/2018,94124
Medical Incident,1/21/2018,94118
Electrical Hazard,1/21/2018,94131
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94102
Water Rescue,1/21/2018,94111
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94124
Alarms,1/21/2018,94123
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94102
Traffic Collision,1/21/2018,94124
Traffic Collision,1/21/2018,94122
Medical Incident,1/21/2018,94131
Medical Incident,1/21/2018,94102
Alarms,1/21/2018,94124
Medical Incident,1/21/2018,94123
Traffic Collision,1/21/2018,94124
Medical Incident,1/21/2018,94117
Alarms,1/21/2018,94114
Medical Incident,1/21/2018,94110
Train / Rail Incident,1/21/2018,94105
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94102
Fuel Spill,1/21/2018,94115
Medical Incident,1/21/2018,94115
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94111
Alarms,1/21/2018,94123
Medical Incident,1/21/2018,94131
Alarms,1/21/2018,94122
Medical Incident,1/21/2018,94115
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94132
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94131
Structure Fire,1/21/2018,94102
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94121
Structure Fire,1/21/2018,94117
Medical Incident,1/21/2018,94109
Train / Rail Incident,1/21/2018,94105
Traffic Collision,1/21/2018,94110
Train / Rail Incident,1/21/2018,94105
Medical Incident,1/21/2018,94123
Gas Leak (Natural and LP Gases),1/21/2018,94115
Medical Incident,1/21/2018,94102
Alarms,1/21/2018,94115
Medical Incident,1/21/2018,94102
Outside Fire,1/21/2018,94110
Train / Rail Incident,1/21/2018,94105
Medical Incident,1/21/2018,94105
Structure Fire,1/21/2018,94105
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94132
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94123
Medical Incident,1/21/2018,94130
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94107
Alarms,1/21/2018,94110
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94134
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94132
Medical Incident,1/21/2018,94107
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94122
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94114
Alarms,1/21/2018,94107
Traffic Collision,1/21/2018,94114
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94102
Alarms,1/21/2018,94124
Medical Incident,1/21/2018,94110
Structure Fire,1/21/2018,94133
Train / Rail Incident,1/21/2018,94105
Medical Incident,1/21/2018,94112
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94107
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94117
Medical Incident,1/21/2018,94133
Alarms,1/21/2018,94123
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94115
Medical Incident,1/21/2018,94110
Medical Incident,1/21/2018,94134
Alarms,1/21/2018,94133
Medical Incident,1/21/2018,94116
Outside Fire,1/21/2018,94124
Structure Fire,1/21/2018,94133
Medical Incident,1/21/2018,94102
Medical Incident,1/21/2018,94133
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94115
Traffic Collision,1/21/2018,94124
Medical Incident,1/21/2018,94109
Gas Leak (Natural and LP Gases),1/21/2018,94134
Gas Leak (Natural and LP Gases),1/21/2018,94134
Medical Incident,1/21/2018,94109
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94103
Medical Incident,1/21/2018,94108
Medical Incident,1/21/2018,94102
Structure Fire,1/21/2018,94102
Gas Leak (Natural and LP Gases),1/21/2018,94134
Structure Fire,1/21/2018,94117
Structure Fire,1/21/2018,94117
Medical Incident,1/20/2018,94102
Medical Incident,1/20/2018,94134
Structure Fire,1/20/2018,94102
Medical Incident,1/20/2018,94108
Medical Incident,1/20/2018,94103
Alarms,1/20/2018,94102
Medical Incident,1/20/2018,94112
Traffic Collision,1/20/2018,94121
Medical Incident,1/20/2018,94110
Medical Incident,1/20/2018,94134
Outside Fire,1/20/2018,94118
Medical Incident,1/20/2018,94115
Structure Fire,1/20/2018,94102
Medical Incident,1/20/2018,94124
Structure Fire,1/20/2018,94133
Medical Incident,1/20/2018,94124
Structure Fire,1/20/2018,94102
Medical Incident,1/20/2018,94102
Medical Incident,1/20/2018,94124
Other,1/20/2018,94114
Medical Incident,1/20/2018,94110
Medical Incident,1/20/2018,94108
Traffic Collision,1/20/2018,94103
Medical Incident,1/20/2018,94118
Structure Fire,1/20/2018,94102
Medical Incident,1/20/2018,94109
Structure Fire,1/20/2018,94110
Medical Incident,1/20/2018,94118
Structure Fire,1/20/2018,94114
Train / Rail Incident,1/20/2018,94105
Alarms,1/20/2018,94102
Medical Incident,1/20/2018,94102
Medical Incident,1/20/2018,94102
Medical Incident,1/20/2018,94109
Medical Incident,1/20/2018,94103
Alarms,1/20/2018,94115
Alarms,1/20/2018,94124
Train / Rail Incident,1/20/2018,94105
Medical Incident,1/20/2018,94110
Medical Incident,1/20/2018,94118
Medical Incident,1/20/2018,94115
Medical Incident,1/20/2018,94116
Medical Incident,1/20/2018,94110
Medical Incident,1/20/2018,94102
Medical Incident,1/20/2018,94109
Medical Incident,1/20/2018,94103
Medical Incident,1/20/2018,94109
Alarms,1/20/2018,94105
Alarms,1/20/2018,94102
Alarms,1/20/2018,94109
Medical Incident,1/20/2018,94110
Traffic Collision,1/20/2018,94112
Alarms,1/20/2018,94102
Medical Incident,1/20/2018,94112
Medical Incident,1/20/2018,94110
